source_period_code,outlet_code,outlet_name,source_period_start,source_period_end,deployment_name,store_kitchen_name,item_code,item_name,category_name,super_category_name,average_price,opening_date,opening_qty,canonical_uom,opening_amt,purchase_qty,purchase_amt,stock_in_qty,stock_in_amt,consumption_qty,consumption_amt,source_yield_wastage_qty,source_yield_wastage_amt,stock_out_qty,stock_out_amt,stock_out_plus_consumption_qty,stock_out_plus_consumption_amt,wastage_qty,wastage_amt,reuse_qty,reuse_amt,return_qty,return_amt,closing_date,closing_qty,closing_amt,latest_physical_date,physical_qty,physical_amt,variance_qty,variance_amt,variance_percent,physical_gain_loss_qty,physical_gain_loss_amt,actual_consumption_qty,actual_consumption_amt,ideal_closing_qty,ideal_closing_amt,physical_adjusted_closing_qty,physical_adjusted_closing_amt,theoretical_qty,variance_value,leakage_value,low_consumption_qty,low_consumption_value
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING011,Tortilla,Bakery,Raw Material,15.24,2026-01-01,225.0,pcs,3429.0,475.0,7239.0,0.0,0.0,32.704,498.41,0,0,0.0,0.0,32.704,498.41,0.0,0.0,0,0,0.0,0.0,2026-01-31,667.296,10169.59,2026-01-31,667.096,10166.54,0.704,10.73,2.2,-0.2,-3.05,32.704,498.41,668.0,10180.32,667.096,10166.54,32.0,10.73,10.73,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING012,Croissant Base,Bakery,Raw Material,0.0,2026-01-01,150.0,pcs,0.0,0.0,0.0,0.0,0.0,111.289,0.0,0,0,0.0,0.0,111.289,0.0,0.763,0.0,0,0,0.0,0.0,2026-01-31,37.948,0.0,2026-01-31,37.818,0.0,3.052,0.0,2.8,-0.13,-0.0,112.052,0.0,40.237,0.0,37.818,0.0,109.0,0.0,0.0,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING013,Brownie Base,Dessert Inputs,Raw Material,33.56,2026-01-01,165.0,pcs,5537.4,495.0,16612.2,0.0,0.0,19.304,647.84,0,0,0.0,0.0,19.304,647.84,0.0,0.0,0,0,0.0,0.0,2026-01-31,640.696,21501.76,2026-01-31,640.836,21506.46,0.304,10.2,1.6,0.14,4.7,19.304,647.84,641.0,21511.96,640.836,21506.46,19.0,10.2,10.2,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING014,Cake Base,Dessert Inputs,Raw Material,46.49,2026-01-01,121.455,pcs,5646.44,341.04,15854.95,0.0,0.0,136.8393,6361.66,0,0,0.0,0.0,136.8393,6361.66,0.9446,43.91,0,0,0.0,0.0,2026-01-31,324.7111,15095.82,2026-01-31,324.5111,15086.52,2.8339,131.75,2.1,-0.2,-9.3,137.7839,6405.57,326.6004,15183.65,324.5111,15086.52,134.95,131.75,131.75,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING015,Cheesecake Base,Dessert Inputs,Raw Material,70.96,2026-01-01,82.5,pcs,5854.2,245.0,17385.2,0.0,0.0,11.088,786.8,0,0,0.0,0.0,11.088,786.8,0.0,0.0,0,0,0.0,0.0,2026-01-31,316.412,22452.6,2026-01-31,316.622,22467.5,0.088,6.24,0.8,0.21,14.9,11.088,786.8,316.5,22458.84,316.622,22467.5,11.0,6.24,6.24,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING016,Chocolate Sauce,Syrups & Sauces,Raw Material,254.25,2026-01-01,27.0,litre,6864.75,0.0,0.0,0.0,0.0,13.3047,3382.72,0,0,0.0,0.0,13.3047,3382.72,0.0,0.0,0,0,0.0,0.0,2026-01-31,13.6953,3482.03,2026-01-31,13.7673,3500.34,0.1707,43.4,1.3,0.072,18.31,13.3047,3382.72,13.866,3525.43,13.7673,3500.34,13.134,43.4,43.4,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING017,Caramel Syrup,Syrups & Sauces,Raw Material,243.9,2026-01-01,24.0,litre,5853.6,80.2,19560.78,0.0,0.0,3.7721,920.02,0,0,0.0,0.0,3.7721,920.02,0.0,0.0,0,0,0.0,0.0,2026-01-31,100.4279,24494.36,2026-01-31,100.4079,24489.49,0.0594,14.49,1.6,-0.02,-4.88,3.7721,920.02,100.4873,24508.85,100.4079,24489.49,3.7127,14.49,14.49,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,240.0,2026-01-01,24.0,litre,5760.0,0.0,0.0,0.0,0.0,2.6128,627.07,0,0,0.0,0.0,2.6128,627.07,0.0,0.0,0,0,0.0,0.0,2026-01-31,21.3872,5132.93,2026-01-31,21.4272,5142.53,0.0207,4.97,0.8,0.04,9.6,2.6128,627.07,21.4079,5137.9,21.4272,5142.53,2.5921,4.97,4.97,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,89.51,2026-01-01,39.6,litre,3544.6,35.63,3189.24,0.0,0.0,33.2832,2979.18,0,0,0.0,0.0,33.2832,2979.18,0.0,0.0,0,0,0.0,0.0,2026-01-31,41.9468,3754.66,2026-01-31,42.0548,3764.33,0.4919,44.03,1.5,0.108,9.67,33.2832,2979.18,42.4387,3798.69,42.0548,3764.33,32.7913,44.03,44.03,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING020,Tea Leaves,Tea Inputs,Raw Material,615.77,2026-01-01,13.5,kg,8312.9,12.27,7555.5,0.0,0.0,0.4613,284.05,0,0,0.0,0.0,0.4613,284.05,0.0,0.0,0,0,0.0,0.0,2026-01-31,25.3087,15584.34,2026-01-31,25.2787,15565.87,0.0059,3.63,1.3,-0.03,-18.47,0.4613,284.05,25.3146,15587.97,25.2787,15565.87,0.4554,3.63,3.63,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING021,Matcha Powder,Tea Inputs,Raw Material,2158.58,2026-01-01,6.0,kg,12951.48,7.3,15757.63,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,2026-01-31,13.3,28709.11,2026-01-31,13.288,28683.21,0.0,0.0,0.0,-0.012,-25.9,0.0,0.0,13.3,28709.11,13.288,28683.21,0.0,0.0,0.0,-0.0,-0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING022,Ice,Beverage Inputs,Raw Material,12.0,2026-01-01,300.0,kg,3600.0,0.0,0.0,0.0,0.0,81.8767,982.52,0,0,0.0,0.0,81.8767,982.52,0.5658,6.79,0,0,0.0,0.0,2026-01-31,217.5575,2610.69,2026-01-31,217.3175,2607.81,1.6165,19.4,2.0,-0.24,-2.88,82.4425,989.31,218.6082,2623.3,217.3175,2607.81,80.826,19.4,19.4,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING023,Lemon,Produce,Raw Material,116.37,2026-01-01,27.0,kg,3141.99,48.41,5633.47,0.0,0.0,3.7688,438.58,0,0,0.0,0.0,3.7688,438.58,0.0,0.0,0,0,0.0,0.0,2026-01-31,71.6412,8336.89,2026-01-31,71.6012,8332.23,0.052,6.05,1.4,-0.04,-4.65,3.7688,438.58,71.6932,8342.94,71.6012,8332.23,3.7168,6.05,6.05,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING024,Hibiscus Concentrate,Beverage Inputs,Raw Material,391.4,2026-01-01,12.0,litre,4696.8,36.66,14348.72,0.0,0.0,1.7791,696.34,0,0,0.0,0.0,1.7791,696.34,0.0,0.0,0,0,0.0,0.0,2026-01-31,46.8809,18349.18,2026-01-31,46.8809,18349.18,0.0194,7.59,1.1,0.0,0.0,1.7791,696.34,46.9003,18356.78,46.8809,18349.18,1.7597,7.59,7.59,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,420.0,2026-01-01,22.5,kg,9450.0,0.0,0.0,0.0,0.0,3.7023,1554.97,0,0,0.0,0.0,3.7023,1554.97,0.0,0.0,0,0,0.0,0.0,2026-01-31,18.7977,7895.03,2026-01-31,18.7977,7895.03,0.0583,24.49,1.6,0.0,0.0,3.7023,1554.97,18.856,7919.52,18.7977,7895.03,3.644,24.49,24.49,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING026,Banana,Produce,Raw Material,72.0,2026-01-01,45.0,kg,3240.0,0.0,0.0,0.0,0.0,2.859,205.85,0,0,0.0,0.0,2.859,205.85,0.0,0.0,0,0,0.0,0.0,2026-01-31,42.141,3034.15,2026-01-31,42.069,3028.97,0.045,3.24,1.6,-0.072,-5.18,2.859,205.85,42.186,3037.39,42.069,3028.97,2.814,3.24,3.24,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING027,Butter,Dairy,Raw Material,525.55,2026-01-01,18.0,kg,9459.9,26.76,14063.72,0.0,0.0,2.5705,1350.93,0,0,0.0,0.0,2.5705,1350.93,0.0,0.0,0,0,0.0,0.0,2026-01-31,42.1895,22172.69,2026-01-31,42.2055,22181.1,0.0305,16.03,1.2,0.016,8.41,2.5705,1350.93,42.22,22188.72,42.2055,22181.1,2.54,16.03,16.03,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING028,Lettuce,Produce,Raw Material,95.0,2026-01-01,18.0,kg,1710.0,0.0,0.0,0.0,0.0,3.0401,288.81,0,0,0.0,0.0,3.0401,288.81,0.0,0.0,0,0,0.0,0.0,2026-01-31,14.9599,1421.19,2026-01-31,14.9599,1421.19,0.0301,2.86,1.0,0.0,0.0,3.0401,288.81,14.99,1424.05,14.9599,1421.19,3.01,2.86,2.86,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING029,Onion,Produce,Raw Material,41.9,2026-01-01,45.0,kg,1885.5,216.31,9063.39,0.0,0.0,0.6477,27.14,0,0,0.0,0.0,0.6477,27.14,0.0,0.0,0,0,0.0,0.0,2026-01-31,260.6623,10921.75,2026-01-31,260.7343,10924.77,0.0077,0.32,1.2,0.072,3.02,0.6477,27.14,260.67,10922.07,260.7343,10924.77,0.64,0.32,0.32,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING030,Capsicum,Produce,Raw Material,85.17,2026-01-01,27.0,kg,2299.59,31.71,2700.74,0.0,0.0,0.8104,69.02,0,0,0.0,0.0,0.8104,69.02,0.0,0.0,0,0,0.0,0.0,2026-01-31,57.8996,4931.31,2026-01-31,57.8796,4929.61,0.0104,0.89,1.3,-0.02,-1.7,0.8104,69.02,57.91,4932.19,57.8796,4929.61,0.8,0.89,0.89,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING031,Tomato,Produce,Raw Material,54.97,2026-01-01,45.0,kg,2473.65,99.78,5484.91,0.0,0.0,3.3361,183.39,0,0,0.0,0.0,3.3361,183.39,0.0,0.0,0,0,0.9408,51.72,2026-01-31,140.5031,7723.46,2026-01-31,140.5751,7727.41,0.0461,2.53,1.4,0.072,3.96,3.3361,183.39,140.5492,7725.99,140.5751,7727.41,3.29,2.53,2.53,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING032,Pesto Sauce,Syrups & Sauces,Raw Material,341.63,2026-01-01,18.0,kg,6149.34,15.43,5271.35,0.0,0.0,0.8408,287.24,0,0,0.0,0.0,0.8408,287.24,0.0,0.0,0,0,0.0,0.0,2026-01-31,32.5892,11133.45,2026-01-31,32.5732,11127.98,0.0108,3.69,1.3,-0.016,-5.47,0.8408,287.24,32.6,11137.14,32.5732,11127.98,0.83,3.69,3.69,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING033,Chipotle Sauce,Syrups & Sauces,Raw Material,280.19,2026-01-01,18.0,kg,5043.42,0.0,0.0,0.0,0.0,2.4038,673.52,0,0,0.0,0.0,2.4038,673.52,0.0,0.0,0,0,0.0,0.0,2026-01-31,15.5962,4369.9,2026-01-31,15.6122,4374.38,0.0238,6.67,1.0,0.016,4.48,2.4038,673.52,15.62,4376.57,15.6122,4374.38,2.38,6.67,6.67,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING034,Salsa,Syrups & Sauces,Raw Material,187.86,2026-01-01,18.0,kg,3381.48,18.14,3407.78,0.0,0.0,0.1261,23.69,0,0,0.0,0.0,0.1261,23.69,0.0,0.0,0,0,0.0,0.0,2026-01-31,36.0139,6765.57,2026-01-31,36.0619,6774.59,0.0011,0.21,0.88,0.048,9.02,0.1261,23.69,36.015,6765.78,36.0619,6774.59,0.125,0.21,0.21,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING035,Aioli,Syrups & Sauces,Raw Material,310.0,2026-01-01,18.0,kg,5580.0,0.0,0.0,0.0,0.0,0.5561,172.39,0,0,0.0,0.0,0.5561,172.39,0.0,0.0,0,0,0.0,0.0,2026-01-31,17.4439,5407.61,2026-01-31,17.3959,5392.73,0.0061,1.89,1.11,-0.048,-14.88,0.5561,172.39,17.45,5409.5,17.3959,5392.73,0.55,1.89,1.89,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING036,Cold Cup,Packaging,Consumable,3.18,2026-01-01,1540.0,pcs,4897.2,4239.03,13480.12,0.0,0.0,604.344,1921.81,0,0,140.0,445.2,744.344,2367.01,4.172,13.27,0,0,0.0,0.0,2026-01-31,5030.514,15997.03,2026-01-31,5027.714,15988.13,12.516,39.8,2.1,-2.8,-8.9,608.516,1935.08,5038.858,16023.57,5027.714,15988.13,596.0,39.8,39.8,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING037,Hot Cup,Packaging,Consumable,2.88,2026-01-01,1540.0,pcs,4435.2,2355.0,6782.4,0.0,0.0,1336.925,3850.34,0,0,0.0,0.0,1336.925,3850.34,9.275,26.71,0,0,0.0,0.0,2026-01-31,2548.8,7340.54,2026-01-31,2551.6,7348.61,21.2,61.06,1.6,2.8,8.06,1346.2,3877.06,2560.725,7374.89,2551.6,7348.61,1325.0,61.06,61.06,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING038,Lid,Packaging,Consumable,1.1,2026-01-01,1728.9,pcs,1901.79,0.0,0.0,0.0,0.0,1646.297,1810.93,0,0,0.0,0.0,1646.297,1810.93,13.447,14.79,0,0,0.0,0.0,2026-01-31,69.156,76.07,2026-01-31,67.756,74.53,-261.256,-287.38,-13.6,-1.4,-1.54,1659.744,1825.72,-205.547,-226.1,67.756,74.53,1921.0,-287.38,0.0,261.256,287.38
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING039,Straw,Packaging,Consumable,0.55,2026-01-01,1100.0,pcs,605.0,1165.0,640.75,0.0,0.0,603.152,331.73,0,0,0.0,0.0,603.152,331.73,4.172,2.29,0,0,0.0,0.0,2026-01-31,1657.676,911.72,2026-01-31,1654.676,910.07,11.324,6.23,1.9,-3.0,-1.65,607.324,334.03,1664.828,915.66,1654.676,910.07,596.0,6.23,6.23,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING040,Napkin,Packaging,Consumable,0.33,2026-01-01,2490.3,pcs,821.8,2865.0,945.45,0.0,0.0,2805.738,925.89,0,0,0.0,0.0,2805.738,925.89,19.369,6.39,0,0,0.0,0.0,2026-01-31,2530.193,834.96,2026-01-31,2530.193,834.96,58.107,19.18,2.1,0.0,0.0,2825.107,932.29,2568.931,847.75,2530.193,834.96,2767.0,19.18,19.18,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING041,Dessert Box,Packaging,Consumable,5.17,2026-01-01,396.0,pcs,2047.32,1760.0,9099.2,0.0,0.0,272.228,1407.42,0,0,0.0,0.0,272.228,1407.42,1.883,9.74,0,0,0.0,0.0,2026-01-31,1881.889,9729.37,2026-01-31,1880.809,9723.78,5.111,26.42,1.9,-1.08,-5.58,274.111,1417.15,1885.117,9746.05,1880.809,9723.78,269.0,26.42,26.42,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING042,Sandwich Box,Packaging,Consumable,6.73,2026-01-01,396.0,pcs,2665.08,445.0,2994.85,0.0,0.0,213.15,1434.5,0,0,0.0,0.0,213.15,1434.5,1.47,9.89,0,0,0.0,0.0,2026-01-31,626.38,4215.54,2026-01-31,626.38,4215.54,4.62,31.09,2.2,0.0,0.0,214.62,1444.39,629.53,4236.74,626.38,4215.54,210.0,31.09,31.09,0.0,0.0
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ING043,Wrap Packaging,Packaging,Consumable,5.89,2026-01-01,396.0,pcs,2332.44,625.0,3681.25,35.0,206.15,32.416,190.93,0,0,0.0,0.0,32.416,190.93,0.0,0.0,0,0,0.0,0.0,2026-01-31,1023.584,6028.91,2026-01-31,1024.304,6033.15,0.416,2.45,1.3,0.72,4.24,32.416,190.93,1024.0,6031.36,1024.304,6033.15,32.0,2.45,2.45,0.0,0.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ING001,Coffee Beans,Coffee Inputs,Raw Material,1005.92,2026-01-01,27.797,kg,27961.56,11.03,11095.3,0.0,0.0,31.9975,32186.93,0,0,0.0,0.0,31.9975,32186.93,0.0,0.0,0,0,0.0,0.0,2026-01-31,6.8295,6869.93,2026-01-31,6.8135,6853.84,1.1119,1118.48,3.6,-0.016,-16.09,31.9975,32186.93,7.9414,7988.41,6.8135,6853.84,30.8856,1118.48,1118.48,0.0,0.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ING002,Milk,Dairy,Raw Material,71.95,2026-01-01,232.9479,litre,16760.6,0.0,0.0,12.0,863.4,229.9734,16546.59,0,0,0.0,0.0,229.9734,16546.59,5.1766,372.46,0,0,0.0,0.0,2026-01-31,9.7979,704.96,2026-01-31,10.0379,722.23,-23.681,-1703.85,-9.15,0.24,17.27,235.15,16919.04,-19.0597,-1371.35,10.0379,722.23,258.831,-1703.85,0.0,23.681,1703.85
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ING003,Oat Milk,Dairy Alternative,Raw Material,185.0,2026-01-01,30.8,litre,5698.0,0.0,0.0,0.0,0.0,13.4245,2483.53,0,0,0.0,0.0,13.4245,2483.53,0.0,0.0,0,0,0.0,0.0,2026-01-31,17.3755,3214.47,2026-01-31,17.3195,3204.11,0.4915,90.93,3.8,-0.056,-10.36,13.4245,2483.53,17.867,3305.39,17.3195,3204.11,12.933,90.93,90.93,0.0,0.0
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ING004,Cream,Dairy,Raw Material,215.36,2026-01-01,22.5,litre,4845.6,19.05,4102.61,0.0,0.0,7.8447,1689.43,0,0,0.0,0.0,7.8447,1689.43,0.0,0.0,0,0,0.0,0.0,2026-01-31,33.7053,7258.77,2026-01-31,33.7453,7267.39,0.416,89.59,5.6,0.04,8.61,7.8447,1689.43,34.1213,7348.36,33.7453,7267.39,7.4287,89.59,89.59,0.0,0.0
