source_period_code,outlet_code,outlet_name,item_name,theoretical_qty,item_code,category_name,super_category_name,unit,average_price
month_01,OUT003,ABNAH Cafe Saket Premium,Oat Milk,22.518,ING003,Dairy Alternative,Raw Material,litre,185.0
month_01,OUT003,ABNAH Cafe Saket Premium,Cream,10.4292,ING004,Dairy,Raw Material,litre,210.0
month_01,OUT003,ABNAH Cafe Saket Premium,Paneer,8.0,ING005,Dairy,Raw Material,kg,360.0
month_01,OUT003,ABNAH Cafe Saket Premium,Cheese,6.0600000000000005,ING006,Dairy,Raw Material,kg,480.0
month_01,OUT003,ABNAH Cafe Saket Premium,Chicken,10.770000000000001,ING007,Protein,Raw Material,kg,330.0
month_01,OUT003,ABNAH Cafe Saket Premium,Egg,36.0,ING008,Protein,Raw Material,pcs,7.0
month_01,OUT003,ABNAH Cafe Saket Premium,Bread,230.0,ING009,Bakery,Raw Material,pcs,12.0
month_01,OUT003,ABNAH Cafe Saket Premium,Bagel,25.0,ING010,Bakery,Raw Material,pcs,28.0
month_01,OUT003,ABNAH Cafe Saket Premium,Tortilla,57.0,ING011,Bakery,Raw Material,pcs,15.0
month_01,OUT003,ABNAH Cafe Saket Premium,Croissant Base,162.0,ING012,Bakery,Raw Material,pcs,42.0
month_01,OUT003,ABNAH Cafe Saket Premium,Brownie Base,31.0,ING013,Dessert Inputs,Raw Material,pcs,34.0
month_01,OUT003,ABNAH Cafe Saket Premium,Cake Base,218.15,ING014,Dessert Inputs,Raw Material,pcs,46.0
month_01,OUT003,ABNAH Cafe Saket Premium,Cheesecake Base,34.0,ING015,Dessert Inputs,Raw Material,pcs,72.0
month_01,OUT003,ABNAH Cafe Saket Premium,Chocolate Sauce,16.3486,ING016,Syrups & Sauces,Raw Material,litre,260.0
month_01,OUT003,ABNAH Cafe Saket Premium,Caramel Syrup,5.2626,ING017,Syrups & Sauces,Raw Material,litre,250.0
month_01,OUT003,ABNAH Cafe Saket Premium,Vanilla Syrup,2.5044,ING018,Syrups & Sauces,Raw Material,litre,240.0
month_01,OUT003,ABNAH Cafe Saket Premium,Sugar Syrup,33.3661,ING019,Syrups & Sauces,Raw Material,litre,90.0
month_01,OUT003,ABNAH Cafe Saket Premium,Tea Leaves,0.4676,ING020,Tea Inputs,Raw Material,kg,620.0
month_01,OUT003,ABNAH Cafe Saket Premium,Ice,106.644,ING022,Beverage Inputs,Raw Material,kg,12.0
month_01,OUT003,ABNAH Cafe Saket Premium,Lemon,4.1717,ING023,Produce,Raw Material,kg,110.0
month_01,OUT003,ABNAH Cafe Saket Premium,Hibiscus Concentrate,1.2993000000000001,ING024,Beverage Inputs,Raw Material,litre,390.0
month_01,OUT003,ABNAH Cafe Saket Premium,Mixed Berry Pulp,4.748,ING025,Fruit Inputs,Raw Material,kg,420.0
month_01,OUT003,ABNAH Cafe Saket Premium,Banana,5.998,ING026,Produce,Raw Material,kg,72.0
month_01,OUT003,ABNAH Cafe Saket Premium,Butter,4.325,ING027,Dairy,Raw Material,kg,520.0
month_01,OUT003,ABNAH Cafe Saket Premium,Lettuce,3.2150000000000003,ING028,Produce,Raw Material,kg,95.0
month_01,OUT003,ABNAH Cafe Saket Premium,Onion,1.1400000000000001,ING029,Produce,Raw Material,kg,42.0
month_01,OUT003,ABNAH Cafe Saket Premium,Capsicum,1.425,ING030,Produce,Raw Material,kg,84.0
month_01,OUT003,ABNAH Cafe Saket Premium,Tomato,2.67,ING031,Produce,Raw Material,kg,54.0
month_01,OUT003,ABNAH Cafe Saket Premium,Pesto Sauce,0.76,ING032,Syrups & Sauces,Raw Material,kg,340.0
month_01,OUT003,ABNAH Cafe Saket Premium,Chipotle Sauce,2.665,ING033,Syrups & Sauces,Raw Material,kg,280.0
month_01,OUT003,ABNAH Cafe Saket Premium,Salsa,0.25,ING034,Syrups & Sauces,Raw Material,kg,190.0
month_01,OUT003,ABNAH Cafe Saket Premium,Aioli,0.37,ING035,Syrups & Sauces,Raw Material,kg,310.0
month_01,OUT003,ABNAH Cafe Saket Premium,Cold Cup,787.0,ING036,Packaging,Consumable,pcs,3.2
month_01,OUT003,ABNAH Cafe Saket Premium,Hot Cup,1163.0,ING037,Packaging,Consumable,pcs,2.8
month_01,OUT003,ABNAH Cafe Saket Premium,Lid,1950.0,ING038,Packaging,Consumable,pcs,1.1
month_01,OUT003,ABNAH Cafe Saket Premium,Straw,787.0,ING039,Packaging,Consumable,pcs,0.55
month_01,OUT003,ABNAH Cafe Saket Premium,Napkin,3035.0,ING040,Packaging,Consumable,pcs,0.32
month_01,OUT003,ABNAH Cafe Saket Premium,Dessert Box,458.0,ING041,Packaging,Consumable,pcs,5.0
month_01,OUT003,ABNAH Cafe Saket Premium,Sandwich Box,187.0,ING042,Packaging,Consumable,pcs,6.5
month_01,OUT003,ABNAH Cafe Saket Premium,Wrap Packaging,57.0,ING043,Packaging,Consumable,pcs,5.8
month_02,OUT001,ABNAH Cafe Connaught Place,Coffee Beans,34.9206,ING001,Coffee Inputs,Raw Material,kg,980.0
month_02,OUT001,ABNAH Cafe Connaught Place,Milk,290.632,ING002,Dairy,Raw Material,litre,72.0
month_02,OUT001,ABNAH Cafe Connaught Place,Oat Milk,13.707,ING003,Dairy Alternative,Raw Material,litre,185.0
month_02,OUT001,ABNAH Cafe Connaught Place,Cream,6.587000000000001,ING004,Dairy,Raw Material,litre,210.0
month_02,OUT001,ABNAH Cafe Connaught Place,Paneer,8.3,ING005,Dairy,Raw Material,kg,360.0
month_02,OUT001,ABNAH Cafe Connaught Place,Cheese,6.83,ING006,Dairy,Raw Material,kg,480.0
month_02,OUT001,ABNAH Cafe Connaught Place,Chicken,9.690000000000001,ING007,Protein,Raw Material,kg,330.0
month_02,OUT001,ABNAH Cafe Connaught Place,Egg,32.0,ING008,Protein,Raw Material,pcs,7.0
month_02,OUT001,ABNAH Cafe Connaught Place,Bread,280.0,ING009,Bakery,Raw Material,pcs,12.0
month_02,OUT001,ABNAH Cafe Connaught Place,Bagel,41.0,ING010,Bakery,Raw Material,pcs,28.0
month_02,OUT001,ABNAH Cafe Connaught Place,Tortilla,29.0,ING011,Bakery,Raw Material,pcs,15.0
month_02,OUT001,ABNAH Cafe Connaught Place,Croissant Base,124.0,ING012,Bakery,Raw Material,pcs,42.0
month_02,OUT001,ABNAH Cafe Connaught Place,Brownie Base,9.0,ING013,Dessert Inputs,Raw Material,pcs,34.0
month_02,OUT001,ABNAH Cafe Connaught Place,Cake Base,117.85000000000001,ING014,Dessert Inputs,Raw Material,pcs,46.0
month_02,OUT001,ABNAH Cafe Connaught Place,Cheesecake Base,11.0,ING015,Dessert Inputs,Raw Material,pcs,72.0
month_02,OUT001,ABNAH Cafe Connaught Place,Chocolate Sauce,13.3678,ING016,Syrups & Sauces,Raw Material,litre,260.0
month_02,OUT001,ABNAH Cafe Connaught Place,Caramel Syrup,3.9315,ING017,Syrups & Sauces,Raw Material,litre,250.0
month_02,OUT001,ABNAH Cafe Connaught Place,Vanilla Syrup,2.2172,ING018,Syrups & Sauces,Raw Material,litre,240.0
month_02,OUT001,ABNAH Cafe Connaught Place,Sugar Syrup,33.439,ING019,Syrups & Sauces,Raw Material,litre,90.0
month_02,OUT001,ABNAH Cafe Connaught Place,Tea Leaves,0.5794,ING020,Tea Inputs,Raw Material,kg,620.0
month_02,OUT001,ABNAH Cafe Connaught Place,Ice,82.33800000000001,ING022,Beverage Inputs,Raw Material,kg,12.0
month_02,OUT001,ABNAH Cafe Connaught Place,Lemon,4.2846,ING023,Produce,Raw Material,kg,110.0
month_02,OUT001,ABNAH Cafe Connaught Place,Hibiscus Concentrate,1.8297,ING024,Beverage Inputs,Raw Material,litre,390.0
month_02,OUT001,ABNAH Cafe Connaught Place,Mixed Berry Pulp,3.468,ING025,Fruit Inputs,Raw Material,kg,420.0
month_02,OUT001,ABNAH Cafe Connaught Place,Banana,3.088,ING026,Produce,Raw Material,kg,72.0
month_02,OUT001,ABNAH Cafe Connaught Place,Butter,3.195,ING027,Dairy,Raw Material,kg,520.0
month_02,OUT001,ABNAH Cafe Connaught Place,Lettuce,3.115,ING028,Produce,Raw Material,kg,95.0
month_02,OUT001,ABNAH Cafe Connaught Place,Onion,0.58,ING029,Produce,Raw Material,kg,42.0
month_02,OUT001,ABNAH Cafe Connaught Place,Capsicum,0.7250000000000001,ING030,Produce,Raw Material,kg,84.0
month_02,OUT001,ABNAH Cafe Connaught Place,Tomato,3.56,ING031,Produce,Raw Material,kg,54.0
month_02,OUT001,ABNAH Cafe Connaught Place,Pesto Sauce,0.735,ING032,Syrups & Sauces,Raw Material,kg,340.0
month_02,OUT001,ABNAH Cafe Connaught Place,Chipotle Sauce,2.4050000000000002,ING033,Syrups & Sauces,Raw Material,kg,280.0
month_02,OUT001,ABNAH Cafe Connaught Place,Salsa,0.225,ING034,Syrups & Sauces,Raw Material,kg,190.0
month_02,OUT001,ABNAH Cafe Connaught Place,Aioli,0.43,ING035,Syrups & Sauces,Raw Material,kg,310.0
month_02,OUT001,ABNAH Cafe Connaught Place,Cold Cup,611.0,ING036,Packaging,Consumable,pcs,3.2
month_02,OUT001,ABNAH Cafe Connaught Place,Hot Cup,1349.0,ING037,Packaging,Consumable,pcs,2.8
month_02,OUT001,ABNAH Cafe Connaught Place,Lid,1960.0,ING038,Packaging,Consumable,pcs,1.1
month_02,OUT001,ABNAH Cafe Connaught Place,Straw,611.0,ING039,Packaging,Consumable,pcs,0.55
month_02,OUT001,ABNAH Cafe Connaught Place,Napkin,2838.0,ING040,Packaging,Consumable,pcs,0.32
month_02,OUT001,ABNAH Cafe Connaught Place,Dessert Box,262.0,ING041,Packaging,Consumable,pcs,5.0
month_02,OUT001,ABNAH Cafe Connaught Place,Sandwich Box,225.0,ING042,Packaging,Consumable,pcs,6.5
month_02,OUT001,ABNAH Cafe Connaught Place,Wrap Packaging,29.0,ING043,Packaging,Consumable,pcs,5.8
month_02,OUT002,ABNAH Cafe Hauz Khas,Coffee Beans,29.836199999999998,ING001,Coffee Inputs,Raw Material,kg,980.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Milk,250.714,ING002,Dairy,Raw Material,litre,72.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Oat Milk,11.511,ING003,Dairy Alternative,Raw Material,litre,185.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Cream,6.8399,ING004,Dairy,Raw Material,litre,210.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Paneer,8.19,ING005,Dairy,Raw Material,kg,360.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Cheese,5.885,ING006,Dairy,Raw Material,kg,480.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Chicken,8.56,ING007,Protein,Raw Material,kg,330.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Egg,22.0,ING008,Protein,Raw Material,pcs,7.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Bread,218.0,ING009,Bakery,Raw Material,pcs,12.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Bagel,24.0,ING010,Bakery,Raw Material,pcs,28.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Tortilla,51.0,ING011,Bakery,Raw Material,pcs,15.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Croissant Base,151.0,ING012,Bakery,Raw Material,pcs,42.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Brownie Base,24.0,ING013,Dessert Inputs,Raw Material,pcs,34.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Cake Base,153.4,ING014,Dessert Inputs,Raw Material,pcs,46.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Cheesecake Base,25.0,ING015,Dessert Inputs,Raw Material,pcs,72.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Chocolate Sauce,12.2156,ING016,Syrups & Sauces,Raw Material,litre,260.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Caramel Syrup,4.5485,ING017,Syrups & Sauces,Raw Material,litre,250.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Vanilla Syrup,1.3341,ING018,Syrups & Sauces,Raw Material,litre,240.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Sugar Syrup,29.1201,ING019,Syrups & Sauces,Raw Material,litre,90.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Tea Leaves,0.6768,ING020,Tea Inputs,Raw Material,kg,620.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Ice,105.27,ING022,Beverage Inputs,Raw Material,kg,12.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Lemon,4.7289,ING023,Produce,Raw Material,kg,110.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Hibiscus Concentrate,2.4178,ING024,Beverage Inputs,Raw Material,litre,390.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Mixed Berry Pulp,2.512,ING025,Fruit Inputs,Raw Material,kg,420.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Banana,2.8000000000000003,ING026,Produce,Raw Material,kg,72.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Butter,3.7600000000000002,ING027,Dairy,Raw Material,kg,520.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Lettuce,3.025,ING028,Produce,Raw Material,kg,95.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Onion,1.02,ING029,Produce,Raw Material,kg,42.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Capsicum,1.2750000000000001,ING030,Produce,Raw Material,kg,84.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Tomato,2.58,ING031,Produce,Raw Material,kg,54.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Pesto Sauce,0.85,ING032,Syrups & Sauces,Raw Material,kg,340.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Chipotle Sauce,2.255,ING033,Syrups & Sauces,Raw Material,kg,280.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Salsa,0.325,ING034,Syrups & Sauces,Raw Material,kg,190.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Aioli,0.55,ING035,Syrups & Sauces,Raw Material,kg,310.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Cold Cup,785.0,ING036,Packaging,Consumable,pcs,3.2
month_02,OUT002,ABNAH Cafe Hauz Khas,Hot Cup,948.0,ING037,Packaging,Consumable,pcs,2.8
month_02,OUT002,ABNAH Cafe Hauz Khas,Lid,1733.0,ING038,Packaging,Consumable,pcs,1.1
month_02,OUT002,ABNAH Cafe Hauz Khas,Straw,785.0,ING039,Packaging,Consumable,pcs,0.55
month_02,OUT002,ABNAH Cafe Hauz Khas,Napkin,2679.0,ING040,Packaging,Consumable,pcs,0.32
month_02,OUT002,ABNAH Cafe Hauz Khas,Dessert Box,360.0,ING041,Packaging,Consumable,pcs,5.0
month_02,OUT002,ABNAH Cafe Hauz Khas,Sandwich Box,183.0,ING042,Packaging,Consumable,pcs,6.5
month_02,OUT002,ABNAH Cafe Hauz Khas,Wrap Packaging,51.0,ING043,Packaging,Consumable,pcs,5.8
month_02,OUT003,ABNAH Cafe Saket Premium,Coffee Beans,31.747799999999998,ING001,Coffee Inputs,Raw Material,kg,980.0
month_02,OUT003,ABNAH Cafe Saket Premium,Milk,280.62,ING002,Dairy,Raw Material,litre,72.0
month_02,OUT003,ABNAH Cafe Saket Premium,Oat Milk,17.775,ING003,Dairy Alternative,Raw Material,litre,185.0
month_02,OUT003,ABNAH Cafe Saket Premium,Cream,9.770800000000001,ING004,Dairy,Raw Material,litre,210.0
month_02,OUT003,ABNAH Cafe Saket Premium,Paneer,7.21,ING005,Dairy,Raw Material,kg,360.0
month_02,OUT003,ABNAH Cafe Saket Premium,Cheese,6.16,ING006,Dairy,Raw Material,kg,480.0
month_02,OUT003,ABNAH Cafe Saket Premium,Chicken,10.39,ING007,Protein,Raw Material,kg,330.0
month_02,OUT003,ABNAH Cafe Saket Premium,Egg,22.0,ING008,Protein,Raw Material,pcs,7.0
month_02,OUT003,ABNAH Cafe Saket Premium,Bread,229.0,ING009,Bakery,Raw Material,pcs,12.0
month_02,OUT003,ABNAH Cafe Saket Premium,Bagel,23.0,ING010,Bakery,Raw Material,pcs,28.0
month_02,OUT003,ABNAH Cafe Saket Premium,Tortilla,47.0,ING011,Bakery,Raw Material,pcs,15.0
month_02,OUT003,ABNAH Cafe Saket Premium,Croissant Base,169.0,ING012,Bakery,Raw Material,pcs,42.0
month_02,OUT003,ABNAH Cafe Saket Premium,Brownie Base,26.0,ING013,Dessert Inputs,Raw Material,pcs,34.0
month_02,OUT003,ABNAH Cafe Saket Premium,Cake Base,203.3,ING014,Dessert Inputs,Raw Material,pcs,46.0
month_02,OUT003,ABNAH Cafe Saket Premium,Cheesecake Base,22.0,ING015,Dessert Inputs,Raw Material,pcs,72.0
month_02,OUT003,ABNAH Cafe Saket Premium,Chocolate Sauce,15.221,ING016,Syrups & Sauces,Raw Material,litre,260.0
month_02,OUT003,ABNAH Cafe Saket Premium,Caramel Syrup,5.542,ING017,Syrups & Sauces,Raw Material,litre,250.0
month_02,OUT003,ABNAH Cafe Saket Premium,Vanilla Syrup,2.9293,ING018,Syrups & Sauces,Raw Material,litre,240.0
month_02,OUT003,ABNAH Cafe Saket Premium,Sugar Syrup,31.2572,ING019,Syrups & Sauces,Raw Material,litre,90.0
