source_period_code,as_of_date,outlet_code,outlet_name,region,city,market_area,latitude,longitude,store_name,batch_allocation_id,batch_number,receipt_date,grn_number,po_number,vendor_name,receipt_source_status,item_code,item_name,category_name,unit,received_qty,batch_remaining_qty,item_closing_qty,available_qty,average_unit_cost,shelf_life_days_assumption,estimated_fifo_tranche_qty,daily_theoretical_demand,expected_consumption_before_expiry,estimated_expiry_date,days_to_expiry,qty_at_risk,expiry_risk_value,risk_status,is_estimated,estimation_method,source_evidence,production_use_status
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING013,SYN-EXP-month_01-OUT001-ING013,2026-01-25,,,,synthetic_near_expiry_opening_tranche,ING013,Brownie Base,Dessert Inputs,pcs,640.696,76.8835,640.696,640.696,33.56,10,76.8835,0.6129,2.4516,2026-02-04,4,74.4319,2497.93,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,BATCH-2601-ING014-91|GRN-OUT001-260119-00092,BATCH-2601-ING014-91,2026-01-19,GRN-OUT001-260119-00092,PO-20260116-OUT001-0016,Delhi Bakery Supply Co,synthetic_internal_receipt_lineage,ING014,Cake Base,Dessert Inputs,pcs,175.0,64.9422,324.7111,324.7111,46.1,10,64.9422,4.3532,0.0,2026-01-29,-2,64.9422,2993.84,EXPIRED,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,BATCH-2601-ING015-12|GRN-OUT001-260120-00110,BATCH-2601-ING015-12,2026-01-20,GRN-OUT001-260120-00110,PO-20260119-OUT001-0019,Delhi Bakery Supply Co,synthetic_internal_receipt_lineage,ING015,Cheesecake Base,Dessert Inputs,pcs,140.0,50.6259,316.412,316.412,72.11,10,50.6259,0.3548,0.0,2026-01-30,-1,50.6259,3650.63,EXPIRED,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING022,SYN-EXP-month_01-OUT001-ING022,2026-01-06,,,,synthetic_near_expiry_opening_tranche,ING022,Ice,Beverage Inputs,kg,217.5575,34.8092,217.5575,217.5575,12.0,30,34.8092,2.6073,13.0365,2026-02-05,5,21.7727,261.27,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,BATCH-2601-ING023-71|GRN-OUT001-260131-00169,BATCH-2601-ING023-71,2026-01-31,GRN-OUT001-260131-00169,PO-20260128-OUT001-0028,GreenLeaf Produce Delhi,synthetic_internal_receipt_lineage,ING023,Lemon,Produce,kg,48.41,8.5969,71.6412,71.6412,116.37,5,8.5969,0.1199,0.5995,2026-02-05,5,7.9975,930.67,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,BATCH-2601-ING024-24|GRN-OUT001-260106-00025,BATCH-2601-ING024-24,2026-01-06,GRN-OUT001-260106-00025,PO-20260104-OUT001-0004,SweetBase Foods,synthetic_internal_receipt_lineage,ING024,Hibiscus Concentrate,Beverage Inputs,litre,17.71,7.0321,46.8809,46.8809,381.18,30,7.0321,0.0568,0.2838,2026-02-05,5,6.7483,2572.32,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING025,SYN-EXP-month_01-OUT001-ING025,2026-01-22,,,,synthetic_near_expiry_opening_tranche,ING025,Mixed Berry Pulp,Fruit Inputs,kg,18.7977,3.5716,18.7977,18.7977,420.0,10,3.5716,0.1175,0.1175,2026-02-01,1,3.454,1450.68,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING026,SYN-EXP-month_01-OUT001-ING026,2026-01-30,,,,synthetic_near_expiry_opening_tranche,ING026,Banana,Produce,kg,42.141,7.164,42.141,42.141,72.0,5,7.164,0.0908,0.3631,2026-02-04,4,6.8009,489.66,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING027,SYN-EXP-month_01-OUT001-ING027,2026-01-28,,,,synthetic_near_expiry_opening_tranche,ING027,Butter,Dairy,kg,42.1895,5.0627,42.1895,42.1895,525.55,7,5.0627,0.0819,0.3277,2026-02-04,4,4.735,2488.48,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING028,SYN-EXP-month_01-OUT001-ING028,2026-01-28,,,,synthetic_near_expiry_opening_tranche,ING028,Lettuce,Produce,kg,14.9599,2.0944,14.9599,14.9599,95.0,5,2.0944,0.0971,0.1942,2026-02-02,2,1.9002,180.52,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,BATCH-2601-ING029-32|GRN-OUT001-260126-00130,BATCH-2601-ING029-32,2026-01-26,GRN-OUT001-260126-00130,PO-20260122-OUT001-0022,GreenLeaf Produce Delhi,synthetic_internal_receipt_lineage,ING029,Onion,Produce,kg,61.78,46.9192,260.6623,260.6623,41.32,5,46.9192,0.0206,0.0,2026-01-31,0,46.9192,1938.7,EXPIRES_TODAY,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING030,SYN-EXP-month_01-OUT001-ING030,2026-01-30,,,,synthetic_near_expiry_opening_tranche,ING030,Capsicum,Produce,kg,57.8996,8.6849,57.8996,57.8996,85.17,5,8.6849,0.0258,0.1032,2026-02-04,4,8.5817,730.9,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT001,ABNAH Cafe Connaught Place,North,Delhi,Connaught Place,28.6315,77.2167,Main Store,SYN-EXP-month_01-OUT001-ING031,SYN-EXP-month_01-OUT001-ING031,2026-01-28,,,,synthetic_near_expiry_opening_tranche,ING031,Tomato,Produce,kg,140.5031,23.8855,140.5031,140.5031,54.97,5,23.8855,0.1061,0.2123,2026-02-02,2,23.6733,1301.32,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,SYN-EXP-month_01-OUT002-ING003,SYN-EXP-month_01-OUT002-ING003,2026-01-20,,,,synthetic_near_expiry_opening_tranche,ING003,Oat Milk,Dairy Alternative,litre,17.3755,2.2588,17.3755,17.3755,185.0,12,2.2588,0.4172,0.4172,2026-02-01,1,1.8416,340.7,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,SYN-EXP-month_01-OUT002-ING004,SYN-EXP-month_01-OUT002-ING004,2026-01-31,,,,synthetic_near_expiry_opening_tranche,ING004,Cream,Dairy,litre,33.7053,4.0446,33.7053,33.7053,215.36,7,4.0446,0.2396,1.6774,2026-02-07,7,2.3672,509.8,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,BATCH-2601-ING005-16|GRN-OUT002-260124-00114,BATCH-2601-ING005-16,2026-01-24,GRN-OUT002-260124-00114,PO-20260119-OUT002-0020,FreshDairy Foods NCR,synthetic_internal_receipt_lineage,ING005,Paneer,Dairy,kg,40.35,16.7533,88.1753,88.1753,350.84,7,16.7533,0.2897,0.0,2026-01-31,0,16.7533,5877.73,EXPIRES_TODAY,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,SYN-EXP-month_01-OUT002-ING006,SYN-EXP-month_01-OUT002-ING006,2026-01-26,,,,synthetic_near_expiry_opening_tranche,ING006,Cheese,Dairy,kg,15.077,2.8646,15.077,15.077,0.0,7,2.8646,0.2105,0.421,2026-02-02,2,2.4437,0.0,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,BATCH-2601-ING007-35|GRN-OUT002-260124-00133,BATCH-2601-ING007-35,2026-01-24,GRN-OUT002-260124-00133,PO-20260122-OUT002-0023,NorthStar Poultry,synthetic_internal_receipt_lineage,ING007,Chicken,Protein,kg,62.59,34.7244,182.7602,182.7602,329.81,5,34.7244,0.3535,0.0,2026-01-29,-2,34.7244,11452.45,EXPIRED,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,SYN-EXP-month_01-OUT002-ING008,SYN-EXP-month_01-OUT002-ING008,2026-01-30,,,,synthetic_near_expiry_opening_tranche,ING008,Egg,Protein,pcs,658.012,125.0223,658.012,658.012,7.1,5,125.0223,0.8387,3.3548,2026-02-04,4,121.6674,863.84,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,BATCH-2601-ING009-57|GRN-OUT002-260129-00155,BATCH-2601-ING009-57,2026-01-29,GRN-OUT002-260129-00155,PO-20260125-OUT002-0026,Delhi Bakery Supply Co,synthetic_internal_receipt_lineage,ING009,Bread,Bakery,pcs,630.0,185.9251,1162.032,1162.032,12.04,4,185.9251,7.871,15.7419,2026-02-02,2,170.1832,2049.01,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,BATCH-2601-ING010-58|GRN-OUT002-260125-00156,BATCH-2601-ING010-58,2026-01-25,GRN-OUT002-260125-00156,PO-20260125-OUT002-0026,Delhi Bakery Supply Co,synthetic_internal_receipt_lineage,ING010,Bagel,Bakery,pcs,240.0,108.2074,676.296,676.296,28.07,4,108.2074,0.7097,0.0,2026-01-29,-2,108.2074,3037.38,EXPIRED,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,BATCH-2601-ING011-36|GRN-OUT002-260126-00134,BATCH-2601-ING011-36,2026-01-26,GRN-OUT002-260126-00134,PO-20260122-OUT002-0023,Delhi Bakery Supply Co,synthetic_internal_receipt_lineage,ING011,Tortilla,Bakery,pcs,365.0,253.617,1491.865,1491.865,15.08,4,253.617,1.9677,0.0,2026-01-30,-1,253.617,3824.54,EXPIRED,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,SYN-EXP-month_01-OUT002-ING012,SYN-EXP-month_01-OUT002-ING012,2026-01-28,,,,synthetic_near_expiry_opening_tranche,ING012,Croissant Base,Bakery,pcs,586.98,93.9168,586.98,586.98,42.5,4,93.9168,5.0323,5.0323,2026-02-01,1,88.8845,3777.59,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,SYN-EXP-month_01-OUT002-ING013,SYN-EXP-month_01-OUT002-ING013,2026-01-27,,,,synthetic_near_expiry_opening_tranche,ING013,Brownie Base,Dessert Inputs,pcs,163.259,19.5911,163.259,163.259,34.0,10,19.5911,0.6129,3.6774,2026-02-06,6,15.9137,541.07,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,SYN-EXP-month_01-OUT002-ING014,SYN-EXP-month_01-OUT002-ING014,2026-01-26,,,,synthetic_near_expiry_opening_tranche,ING014,Cake Base,Dessert Inputs,pcs,191.283,32.5181,191.283,191.283,45.71,10,32.5181,5.1694,25.8468,2026-02-05,5,6.6713,304.95,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,SYN-EXP-month_01-OUT002-ING015,SYN-EXP-month_01-OUT002-ING015,2026-01-27,,,,synthetic_near_expiry_opening_tranche,ING015,Cheesecake Base,Dessert Inputs,pcs,60.744,10.9339,60.744,60.744,72.0,10,10.9339,0.6774,4.0645,2026-02-06,6,6.8694,494.6,WATCH,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,SYN-EXP-month_01-OUT002-ING022,SYN-EXP-month_01-OUT002-ING022,2026-01-04,,,,synthetic_near_expiry_opening_tranche,ING022,Ice,Beverage Inputs,kg,986.7735,128.2806,986.7735,986.7735,12.14,30,128.2806,3.3426,10.0277,2026-02-03,3,118.2528,1435.59,CRITICAL,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
month_01,2026-01-31,OUT002,ABNAH Cafe Hauz Khas,North,Delhi,Hauz Khas,28.5494,77.2001,Main Store,BATCH-2601-ING023-37|GRN-OUT002-260126-00135,BATCH-2601-ING023-37,2026-01-26,GRN-OUT002-260126-00135,PO-20260122-OUT002-0023,GreenLeaf Produce Delhi,synthetic_internal_receipt_lineage,ING023,Lemon,Produce,kg,27.29,9.4029,49.4892,49.4892,105.67,5,9.4029,0.1458,0.0,2026-01-31,0,9.4029,993.6,EXPIRES_TODAY,1,One synthetic near-expiry FIFO tranche linked to a receipt batch where available; expiry equals receipt date plus category shelf life; theoretical demand is deducted before expiry,closing_stock+synthetic_receipt_lineage+theoretical_consumption+category_shelf_life_assumption,demo_only_no_posist_batch_or_expiry_source
