menu_item_type,menu_item_number,menu_item_name,recipe_item_type,recipe_qty_per_menu_unit,recipe_unit,ingredient_code,ingredient_name
Beverage,MENU0012,Flat White - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0012,Flat White - Regular,Raw Material,0.18,litre,ING002,Milk
Beverage,MENU0012,Flat White - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0012,Flat White - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0013,Flat White - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0013,Flat White - Medium,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0013,Flat White - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0013,Flat White - Medium,Raw Material,0.207,litre,ING002,Milk
Beverage,MENU0013,Flat White - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0013,Flat White - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0014,Flat White - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0014,Flat White - Large,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0014,Flat White - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0014,Flat White - Large,Raw Material,0.234,litre,ING002,Milk
Beverage,MENU0014,Flat White - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0014,Flat White - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0015,Mocha - Regular,Raw Material,0.025,litre,ING016,Chocolate Sauce
Beverage,MENU0015,Mocha - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0015,Mocha - Regular,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0015,Mocha - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0015,Mocha - Regular,Raw Material,0.18,litre,ING002,Milk
Beverage,MENU0015,Mocha - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0015,Mocha - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0016,Mocha - Medium,Raw Material,0.0287,litre,ING016,Chocolate Sauce
Beverage,MENU0016,Mocha - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0016,Mocha - Medium,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0016,Mocha - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0016,Mocha - Medium,Raw Material,0.207,litre,ING002,Milk
Beverage,MENU0016,Mocha - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0016,Mocha - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0017,Mocha - Large,Raw Material,0.0325,litre,ING016,Chocolate Sauce
Beverage,MENU0017,Mocha - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0017,Mocha - Large,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0017,Mocha - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0017,Mocha - Large,Raw Material,0.234,litre,ING002,Milk
Beverage,MENU0017,Mocha - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0017,Mocha - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0018,Sea Salt Mocha - Regular,Raw Material,0.025,litre,ING016,Chocolate Sauce
Beverage,MENU0018,Sea Salt Mocha - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0018,Sea Salt Mocha - Regular,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0018,Sea Salt Mocha - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0018,Sea Salt Mocha - Regular,Raw Material,0.18,litre,ING002,Milk
Beverage,MENU0018,Sea Salt Mocha - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0018,Sea Salt Mocha - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0019,Sea Salt Mocha - Medium,Raw Material,0.0287,litre,ING016,Chocolate Sauce
Beverage,MENU0019,Sea Salt Mocha - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0019,Sea Salt Mocha - Medium,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0019,Sea Salt Mocha - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0019,Sea Salt Mocha - Medium,Raw Material,0.207,litre,ING002,Milk
Beverage,MENU0019,Sea Salt Mocha - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0019,Sea Salt Mocha - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0020,Sea Salt Mocha - Large,Raw Material,0.0325,litre,ING016,Chocolate Sauce
Beverage,MENU0020,Sea Salt Mocha - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0020,Sea Salt Mocha - Large,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0020,Sea Salt Mocha - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0020,Sea Salt Mocha - Large,Raw Material,0.234,litre,ING002,Milk
Beverage,MENU0020,Sea Salt Mocha - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0020,Sea Salt Mocha - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0021,Orange Zest Mocha - Regular,Raw Material,0.025,litre,ING016,Chocolate Sauce
Beverage,MENU0021,Orange Zest Mocha - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0021,Orange Zest Mocha - Regular,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0021,Orange Zest Mocha - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0021,Orange Zest Mocha - Regular,Raw Material,0.18,litre,ING002,Milk
Beverage,MENU0021,Orange Zest Mocha - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0021,Orange Zest Mocha - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0022,Orange Zest Mocha - Medium,Raw Material,0.0287,litre,ING016,Chocolate Sauce
Beverage,MENU0022,Orange Zest Mocha - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0022,Orange Zest Mocha - Medium,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0022,Orange Zest Mocha - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0022,Orange Zest Mocha - Medium,Raw Material,0.207,litre,ING002,Milk
Beverage,MENU0022,Orange Zest Mocha - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0022,Orange Zest Mocha - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0023,Orange Zest Mocha - Large,Raw Material,0.0325,litre,ING016,Chocolate Sauce
Beverage,MENU0023,Orange Zest Mocha - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0023,Orange Zest Mocha - Large,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0023,Orange Zest Mocha - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0023,Orange Zest Mocha - Large,Raw Material,0.234,litre,ING002,Milk
Beverage,MENU0023,Orange Zest Mocha - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0023,Orange Zest Mocha - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0024,Caramel Macchiato - Regular,Raw Material,0.025,litre,ING017,Caramel Syrup
Beverage,MENU0024,Caramel Macchiato - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0024,Caramel Macchiato - Regular,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0024,Caramel Macchiato - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0024,Caramel Macchiato - Regular,Raw Material,0.18,litre,ING002,Milk
Beverage,MENU0024,Caramel Macchiato - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0024,Caramel Macchiato - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0025,Caramel Macchiato - Medium,Raw Material,0.0287,litre,ING017,Caramel Syrup
Beverage,MENU0025,Caramel Macchiato - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0025,Caramel Macchiato - Medium,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0025,Caramel Macchiato - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0025,Caramel Macchiato - Medium,Raw Material,0.207,litre,ING002,Milk
Beverage,MENU0025,Caramel Macchiato - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0025,Caramel Macchiato - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0026,Caramel Macchiato - Large,Raw Material,0.0325,litre,ING017,Caramel Syrup
Beverage,MENU0026,Caramel Macchiato - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0026,Caramel Macchiato - Large,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0026,Caramel Macchiato - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0026,Caramel Macchiato - Large,Raw Material,0.234,litre,ING002,Milk
Beverage,MENU0026,Caramel Macchiato - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0026,Caramel Macchiato - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0027,French Vanilla Latte - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0027,French Vanilla Latte - Regular,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0027,French Vanilla Latte - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0027,French Vanilla Latte - Regular,Raw Material,0.18,litre,ING002,Milk
Beverage,MENU0027,French Vanilla Latte - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0027,French Vanilla Latte - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0027,French Vanilla Latte - Regular,Raw Material,0.025,litre,ING018,Vanilla Syrup
Beverage,MENU0028,French Vanilla Latte - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0028,French Vanilla Latte - Medium,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0028,French Vanilla Latte - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0028,French Vanilla Latte - Medium,Raw Material,0.207,litre,ING002,Milk
Beverage,MENU0028,French Vanilla Latte - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0028,French Vanilla Latte - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0028,French Vanilla Latte - Medium,Raw Material,0.0287,litre,ING018,Vanilla Syrup
Beverage,MENU0029,French Vanilla Latte - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0029,French Vanilla Latte - Large,Consumable,1.0,pcs,ING037,Hot Cup
Beverage,MENU0029,French Vanilla Latte - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0029,French Vanilla Latte - Large,Raw Material,0.234,litre,ING002,Milk
Beverage,MENU0029,French Vanilla Latte - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0029,French Vanilla Latte - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0029,French Vanilla Latte - Large,Raw Material,0.0325,litre,ING018,Vanilla Syrup
Beverage,MENU0030,Vegan Iced Latte - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0030,Vegan Iced Latte - Regular,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0030,Vegan Iced Latte - Regular,Raw Material,0.12,kg,ING022,Ice
Beverage,MENU0030,Vegan Iced Latte - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0030,Vegan Iced Latte - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0030,Vegan Iced Latte - Regular,Raw Material,0.18,litre,ING003,Oat Milk
Beverage,MENU0030,Vegan Iced Latte - Regular,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0030,Vegan Iced Latte - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0031,Vegan Iced Latte - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0031,Vegan Iced Latte - Medium,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0031,Vegan Iced Latte - Medium,Raw Material,0.138,kg,ING022,Ice
Beverage,MENU0031,Vegan Iced Latte - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0031,Vegan Iced Latte - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0031,Vegan Iced Latte - Medium,Raw Material,0.207,litre,ING003,Oat Milk
Beverage,MENU0031,Vegan Iced Latte - Medium,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0031,Vegan Iced Latte - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0032,Vegan Iced Latte - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0032,Vegan Iced Latte - Large,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0032,Vegan Iced Latte - Large,Raw Material,0.156,kg,ING022,Ice
Beverage,MENU0032,Vegan Iced Latte - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0032,Vegan Iced Latte - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0032,Vegan Iced Latte - Large,Raw Material,0.234,litre,ING003,Oat Milk
Beverage,MENU0032,Vegan Iced Latte - Large,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0032,Vegan Iced Latte - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0033,Classic Cold Brew - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0033,Classic Cold Brew - Regular,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0033,Classic Cold Brew - Regular,Raw Material,0.12,kg,ING022,Ice
Beverage,MENU0033,Classic Cold Brew - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0033,Classic Cold Brew - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0033,Classic Cold Brew - Regular,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0033,Classic Cold Brew - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0034,Classic Cold Brew - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0034,Classic Cold Brew - Medium,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0034,Classic Cold Brew - Medium,Raw Material,0.138,kg,ING022,Ice
Beverage,MENU0034,Classic Cold Brew - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0034,Classic Cold Brew - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0034,Classic Cold Brew - Medium,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0034,Classic Cold Brew - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0035,Classic Cold Brew - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0035,Classic Cold Brew - Large,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0035,Classic Cold Brew - Large,Raw Material,0.156,kg,ING022,Ice
Beverage,MENU0035,Classic Cold Brew - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0035,Classic Cold Brew - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0035,Classic Cold Brew - Large,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0035,Classic Cold Brew - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0036,Coffee Lemonade - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0036,Coffee Lemonade - Regular,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0036,Coffee Lemonade - Regular,Raw Material,0.12,kg,ING022,Ice
Beverage,MENU0036,Coffee Lemonade - Regular,Raw Material,0.035,kg,ING023,Lemon
Beverage,MENU0036,Coffee Lemonade - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0036,Coffee Lemonade - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0036,Coffee Lemonade - Regular,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0036,Coffee Lemonade - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0037,Coffee Lemonade - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0037,Coffee Lemonade - Medium,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0037,Coffee Lemonade - Medium,Raw Material,0.138,kg,ING022,Ice
Beverage,MENU0037,Coffee Lemonade - Medium,Raw Material,0.0403,kg,ING023,Lemon
Beverage,MENU0037,Coffee Lemonade - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0037,Coffee Lemonade - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0037,Coffee Lemonade - Medium,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0037,Coffee Lemonade - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0038,Coffee Lemonade - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0038,Coffee Lemonade - Large,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0038,Coffee Lemonade - Large,Raw Material,0.156,kg,ING022,Ice
Beverage,MENU0038,Coffee Lemonade - Large,Raw Material,0.0455,kg,ING023,Lemon
Beverage,MENU0038,Coffee Lemonade - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0038,Coffee Lemonade - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0038,Coffee Lemonade - Large,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0038,Coffee Lemonade - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0039,Vietnamese Shakerato - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0039,Vietnamese Shakerato - Regular,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0039,Vietnamese Shakerato - Regular,Raw Material,0.12,kg,ING022,Ice
Beverage,MENU0039,Vietnamese Shakerato - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0039,Vietnamese Shakerato - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0039,Vietnamese Shakerato - Regular,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0039,Vietnamese Shakerato - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0040,Vietnamese Shakerato - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0040,Vietnamese Shakerato - Medium,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0040,Vietnamese Shakerato - Medium,Raw Material,0.138,kg,ING022,Ice
Beverage,MENU0040,Vietnamese Shakerato - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0040,Vietnamese Shakerato - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0040,Vietnamese Shakerato - Medium,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0040,Vietnamese Shakerato - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0041,Vietnamese Shakerato - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0041,Vietnamese Shakerato - Large,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0041,Vietnamese Shakerato - Large,Raw Material,0.156,kg,ING022,Ice
Beverage,MENU0041,Vietnamese Shakerato - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0041,Vietnamese Shakerato - Large,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0041,Vietnamese Shakerato - Large,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0041,Vietnamese Shakerato - Large,Raw Material,0.0195,litre,ING019,Sugar Syrup
Beverage,MENU0042,Classic Cold Coffee - Regular,Raw Material,0.018,kg,ING001,Coffee Beans
Beverage,MENU0042,Classic Cold Coffee - Regular,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0042,Classic Cold Coffee - Regular,Raw Material,0.12,kg,ING022,Ice
Beverage,MENU0042,Classic Cold Coffee - Regular,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0042,Classic Cold Coffee - Regular,Raw Material,0.18,litre,ING002,Milk
Beverage,MENU0042,Classic Cold Coffee - Regular,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0042,Classic Cold Coffee - Regular,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0042,Classic Cold Coffee - Regular,Raw Material,0.015,litre,ING019,Sugar Syrup
Beverage,MENU0043,Classic Cold Coffee - Medium,Raw Material,0.0207,kg,ING001,Coffee Beans
Beverage,MENU0043,Classic Cold Coffee - Medium,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0043,Classic Cold Coffee - Medium,Raw Material,0.138,kg,ING022,Ice
Beverage,MENU0043,Classic Cold Coffee - Medium,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0043,Classic Cold Coffee - Medium,Raw Material,0.207,litre,ING002,Milk
Beverage,MENU0043,Classic Cold Coffee - Medium,Consumable,1.0,pcs,ING040,Napkin
Beverage,MENU0043,Classic Cold Coffee - Medium,Consumable,1.0,pcs,ING039,Straw
Beverage,MENU0043,Classic Cold Coffee - Medium,Raw Material,0.0172,litre,ING019,Sugar Syrup
Beverage,MENU0044,Classic Cold Coffee - Large,Raw Material,0.0234,kg,ING001,Coffee Beans
Beverage,MENU0044,Classic Cold Coffee - Large,Consumable,1.0,pcs,ING036,Cold Cup
Beverage,MENU0044,Classic Cold Coffee - Large,Raw Material,0.156,kg,ING022,Ice
Beverage,MENU0044,Classic Cold Coffee - Large,Consumable,1.0,pcs,ING038,Lid
Beverage,MENU0044,Classic Cold Coffee - Large,Raw Material,0.234,litre,ING002,Milk
Beverage,MENU0044,Classic Cold Coffee - Large,Consumable,1.0,pcs,ING040,Napkin
