source_period_code,source_outlet_code,source_outlet_name,source_period_start,source_period_end,deployment_name,store_kitchen_name,user_name,vendor_name,entry_date,transaction_number,invoice_number,batch_number,pr_number,po_number,invoice_date,item_code,item_name,item_brand,category_name,super_category_name,comment,entry_qty,unit,mrp,unit_price,charges_name,base_amt,discount_amt,gst_igst_rate,gst_igst_value,cess_rate,cess_value,other_tax_rate,other_tax_value,total_tax_amt,item_charges_amt,total_amt,source
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,store.manager,FreshDairy Foods NCR,2026-01-03,GRN-OUT002-260103-00012,INV-2601-00012,,,PO-20260101-OUT002-0002,2026-01-03,ING027,Butter,,Dairy,Raw Material,,12.43,kg,0,517.08,,6427.3,0.0,12.0,771.28,,,,,771.28,0,7198.58,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ops.saket,PackPro Disposables,2026-01-03,GRN-OUT002-260103-00013,INV-2601-00013,,,PO-20260101-OUT002-0002,2026-01-03,ING038,Lid,,Packaging,Consumable,,1445.0,pcs,0,1.16,,1676.2,16.76,18.0,298.7,,,,,298.7,0,1958.14,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.cp,FreshDairy Foods NCR,2026-01-03,GRN-OUT003-260103-00014,INV-2601-00014,,,PO-20260101-OUT003-0003,2026-01-03,ING006,Cheese,,Dairy,Raw Material,,10.04,kg,0,502.45,,5044.6,0.0,5.0,252.23,,,,,252.23,0,5296.83,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,store.manager,Delhi Bakery Supply Co,2026-01-02,GRN-OUT003-260102-00015,INV-2601-00015,,,PO-20260101-OUT003-0003,2026-01-02,ING012,Croissant Base,,Bakery,Raw Material,,250.0,pcs,0,41.35,,10337.5,0.0,5.0,516.88,,,,,516.88,0,10854.38,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.hk,Delhi Bakery Supply Co,2026-01-03,GRN-OUT003-260103-00016,INV-2601-00016,,,PO-20260101-OUT003-0003,2026-01-03,ING015,Cheesecake Base,,Dessert Inputs,Raw Material,,120.0,pcs,0,74.41,,8929.2,0.0,18.0,1607.26,,,,,1607.26,0,10536.46,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.hk,GreenLeaf Produce Delhi,2026-01-05,GRN-OUT003-260105-00017,INV-2601-00017,,,PO-20260101-OUT003-0003,2026-01-05,ING026,Banana,,Produce,Raw Material,,59.52,kg,0,75.23,,4477.69,0.0,5.0,223.88,,,,,223.88,0,4701.57,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.cp,PackPro Disposables,2026-01-02,GRN-OUT003-260102-00018,INV-2601-00018,,,PO-20260101-OUT003-0003,2026-01-02,ING037,Hot Cup,,Packaging,Consumable,,738.75,pcs,0,2.94,,2171.93,0.0,18.0,390.95,,,,,390.95,0,2562.88,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.cp,PackPro Disposables,2026-01-03,GRN-OUT003-260103-00019,INV-2601-00019,,,PO-20260101-OUT003-0003,2026-01-03,ING040,Napkin,,Packaging,Consumable,,2220.0,pcs,0,0.31,,688.2,0.0,18.0,123.88,,,,,123.88,0,812.08,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.hk,PackPro Disposables,2026-01-02,GRN-OUT003-260102-00020,INV-2601-00020,,,PO-20260101-OUT003-0003,2026-01-02,ING042,Sandwich Box,,Packaging,Consumable,,330.0,pcs,0,6.66,,2197.8,0.0,18.0,395.6,,,,,395.6,0,2593.4,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,PackPro Disposables,2026-01-01,GRN-OUT003-260101-00021,INV-2601-00021,,,PO-20260101-OUT003-0003,2026-01-01,ING043,Wrap Packaging,,Packaging,Consumable,,280.0,pcs,0,5.76,,1612.8,16.13,18.0,287.4,,,,,287.4,0,1884.07,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.hk,BeanCraft Roasters Delhi,2026-01-05,GRN-OUT001-260105-00022,INV-2601-00022,,,PO-20260104-OUT001-0004,2026-01-05,ING001,Coffee Beans,,Coffee Inputs,Raw Material,,8.03,kg,0,956.95,,7684.31,76.84,5.0,380.37,,,,,380.37,0,7987.84,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,store.manager,FreshDairy Foods NCR,2026-01-06,GRN-OUT001-260106-00023,INV-2601-00023,,,PO-20260104-OUT001-0004,2026-01-06,ING002,Milk,,Dairy,Raw Material,,117.44,litre,0,75.17,,8827.96,0.0,5.0,441.4,,,,,441.4,0,9269.36,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,store.manager,NorthStar Poultry,2026-01-08,GRN-OUT001-260108-00024,INV-2601-00024,,,PO-20260104-OUT001-0004,2026-01-08,ING008,Egg,,Protein,Raw Material,,335.0,pcs,0,7.32,,2452.2,0.0,5.0,122.61,,,,,122.61,0,2574.81,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,store.manager,SweetBase Foods,2026-01-06,GRN-OUT001-260106-00025,INV-2601-00025,,,PO-20260104-OUT001-0004,2026-01-06,ING024,Hibiscus Concentrate,,Beverage Inputs,Raw Material,,17.71,litre,0,381.18,,6750.7,0.0,18.0,1215.13,,,,,1215.13,0,7965.83,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,store.manager,PackPro Disposables,2026-01-06,GRN-OUT001-260106-00026,INV-2601-00026,,,PO-20260104-OUT001-0004,2026-01-06,ING036,Cold Cup,,Packaging,Consumable,,1555.0,pcs,0,3.2,,4976.0,0.0,18.0,895.68,,,,,895.68,0,5871.68,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,FreshDairy Foods NCR,2026-01-07,GRN-OUT002-260107-00027,INV-2601-00027,,,PO-20260104-OUT002-0005,2026-01-07,ING005,Paneer,,Dairy,Raw Material,,30.98,kg,0,371.83,,11519.29,0.0,5.0,575.96,,,,,575.96,0,12095.25,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,Delhi Bakery Supply Co,2026-01-06,GRN-OUT002-260106-00028,INV-2601-00028,,,PO-20260104-OUT002-0005,2026-01-06,ING014,Cake Base,,Dessert Inputs,Raw Material,,215.0,pcs,0,45.71,,9827.65,0.0,18.0,1768.98,,,,,1768.98,0,11596.63,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,store.manager,SweetBase Foods,2026-01-07,GRN-OUT002-260107-00029,INV-2601-00029,,,PO-20260104-OUT002-0005,2026-01-07,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,,23.77,litre,0,254.12,,6040.43,0.0,18.0,1087.28,,,,,1087.28,0,7127.71,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ops.saket,TeaLeaf Traders NCR,2026-01-07,GRN-OUT002-260107-00030,INV-2601-00030,,,PO-20260104-OUT002-0005,2026-01-07,ING021,Matcha Powder,,Tea Inputs,Raw Material,,8.69,kg,0,2082.5,,18096.92,0.0,18.0,3257.45,,,,,3257.45,0,21354.37,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ops.cp,FrozenBerry Traders,2026-01-06,GRN-OUT002-260106-00031,INV-2601-00031,,,PO-20260104-OUT002-0005,2026-01-06,ING025,Mixed Berry Pulp,,Fruit Inputs,Raw Material,,22.55,kg,0,408.33,,9207.84,0.0,18.0,1657.41,,,,,1657.41,0,10865.25,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ops.saket,GreenLeaf Produce Delhi,2026-01-08,GRN-OUT002-260108-00032,INV-2601-00032,,,PO-20260104-OUT002-0005,2026-01-08,ING026,Banana,,Produce,Raw Material,,68.08,kg,0,73.69,,5016.82,0.0,5.0,250.84,,,,,250.84,0,5267.66,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ops.hk,SpiceRoot Foods,2026-01-09,GRN-OUT002-260109-00033,INV-2601-00033,,,PO-20260104-OUT002-0005,2026-01-09,ING034,Salsa,,Syrups & Sauces,Raw Material,,23.04,kg,0,192.56,,4436.58,0.0,18.0,798.58,,,,,798.58,0,5235.16,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.hk,FreshDairy Foods NCR,2026-01-07,GRN-OUT003-260107-00034,INV-2601-00034,,,PO-20260104-OUT003-0006,2026-01-07,ING005,Paneer,,Dairy,Raw Material,,10.75,kg,0,377.98,,4063.29,0.0,5.0,203.16,,,,,203.16,0,4266.45,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,store.manager,SpiceRoot Foods,2026-01-07,GRN-OUT003-260107-00035,INV-2601-00035,,,PO-20260104-OUT003-0006,2026-01-07,ING033,Chipotle Sauce,,Syrups & Sauces,Raw Material,,21.02,kg,0,290.76,Freight,6111.78,0.0,18.0,1100.12,,,,,1100.12,0,7211.9,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,store.manager,PackPro Disposables,2026-01-07,GRN-OUT003-260107-00036,INV-2601-00036,,,PO-20260104-OUT003-0006,2026-01-07,ING038,Lid,,Packaging,Consumable,,926.46,pcs,0,1.16,,1074.69,0.0,18.0,193.44,,,,,193.44,0,1268.13,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.hk,FreshDairy Foods NCR,2026-01-11,GRN-OUT001-260111-00037,INV-2601-00037,,,PO-20260107-OUT001-0007,2026-01-11,ING004,Cream,,Dairy,Raw Material,,21.44,litre,0,219.86,,4713.8,0.0,5.0,235.69,,,,,235.69,0,4949.49,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,store.manager,Delhi Bakery Supply Co,2026-01-08,GRN-OUT001-260108-00038,INV-2601-00038,,,PO-20260107-OUT001-0007,2026-01-08,ING010,Bagel,,Bakery,Raw Material,,100.0,pcs,0,29.55,,2955.0,0.0,5.0,147.75,,,,,147.75,0,3102.75,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,SweetBase Foods,2026-01-10,GRN-OUT001-260110-00039,INV-2601-00039,,,PO-20260107-OUT001-0007,2026-01-10,ING019,Sugar Syrup,,Syrups & Sauces,Raw Material,,35.63,litre,0,89.51,,3189.24,0.0,18.0,574.06,,,,,574.06,0,3763.3,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.hk,FreshDairy Foods NCR,2026-01-10,GRN-OUT001-260110-00040,INV-2601-00040,,,PO-20260107-OUT001-0007,2026-01-10,ING027,Butter,,Dairy,Raw Material,,26.76,kg,0,537.38,,14380.29,0.0,12.0,1725.63,,,,,1725.63,0,16105.92,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.cp,GreenLeaf Produce Delhi,2026-01-10,GRN-OUT001-260110-00041,INV-2601-00041,,,PO-20260107-OUT001-0007,2026-01-10,ING029,Onion,,Produce,Raw Material,,53.03,kg,0,41.81,,2217.18,0.0,5.0,110.86,,,,,110.86,0,2328.04,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.cp,PackPro Disposables,2026-01-08,GRN-OUT001-260108-00042,INV-2601-00042,,,PO-20260107-OUT001-0007,2026-01-08,ING039,Straw,,Packaging,Consumable,,1165.0,pcs,0,0.55,,640.75,0.0,18.0,115.33,,,,,115.33,0,756.08,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ops.cp,FreshDairy Foods NCR,2026-01-11,GRN-OUT002-260111-00043,INV-2601-00043,,,PO-20260107-OUT002-0008,2026-01-11,ING004,Cream,,Dairy,Raw Material,,19.05,litre,0,221.53,,4220.15,0.0,5.0,211.01,,,,,211.01,0,4431.16,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,store.manager,NorthStar Poultry,2026-01-12,GRN-OUT002-260112-00044,INV-2601-00044,,,PO-20260107-OUT002-0008,2026-01-12,ING007,Chicken,,Protein,Raw Material,,38.57,kg,0,327.72,,12640.16,0.0,5.0,632.01,,,,,632.01,0,13272.17,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,ChocoCraft Ingredients,2026-01-07,GRN-OUT002-260107-00045,INV-2601-00045,,,PO-20260107-OUT002-0008,2026-01-07,ING016,Chocolate Sauce,,Syrups & Sauces,Raw Material,,42.48,litre,0,266.55,,11323.04,0.0,18.0,2038.15,,,,,2038.15,0,13361.19,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,Metro Wholesale Delhi,2026-01-10,GRN-OUT002-260110-00046,INV-2601-00046,,,PO-20260107-OUT002-0008,2026-01-10,ING022,Ice,,Beverage Inputs,Raw Material,,295.67,kg,0,12.57,,3716.57,0.0,5.0,185.83,,,,,185.83,0,3902.4,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-08,GRN-OUT003-260108-00047,INV-2601-00047,,,PO-20260107-OUT003-0009,2026-01-08,ING002,Milk,,Dairy,Raw Material,,102.59,litre,0,72.86,,7474.71,0.0,5.0,373.74,,,,,373.74,0,7848.45,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.saket,FreshDairy Foods NCR,2026-01-12,GRN-OUT003-260112-00048,INV-2601-00048,,,PO-20260107-OUT003-0009,2026-01-12,ING006,Cheese,,Dairy,Raw Material,,17.12,kg,0,483.83,,8283.17,0.0,5.0,414.16,,,,,414.16,0,8697.33,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.cp,GreenLeaf Produce Delhi,2026-01-12,GRN-OUT003-260112-00049,INV-2601-00049,,,PO-20260107-OUT003-0009,2026-01-12,ING026,Banana,,Produce,Raw Material,,61.24,kg,0,71.81,,4397.64,0.0,5.0,219.88,,,,,219.88,0,4617.52,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.cp,FreshDairy Foods NCR,2026-01-10,GRN-OUT003-260110-00050,INV-2601-00050,,,PO-20260107-OUT003-0009,2026-01-10,ING027,Butter,,Dairy,Raw Material,,28.36,kg,0,531.94,,15085.82,0.0,12.0,1810.3,,,,,1810.3,0,16896.12,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,ops.hk,SpiceRoot Foods,2026-01-10,GRN-OUT003-260110-00051,INV-2601-00051,,,PO-20260107-OUT003-0009,2026-01-10,ING032,Pesto Sauce,,Syrups & Sauces,Raw Material,,19.86,kg,0,338.5,,6722.61,0.0,18.0,1210.07,,,,,1210.07,0,7932.68,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,PackPro Disposables,2026-01-07,GRN-OUT003-260107-00052,INV-2601-00052,,,PO-20260107-OUT003-0009,2026-01-07,ING042,Sandwich Box,,Packaging,Consumable,,350.0,pcs,0,6.84,,2394.0,0.0,18.0,430.92,,,,,430.92,0,2824.92,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.cp,FreshDairy Foods NCR,2026-01-15,GRN-OUT001-260115-00053,INV-2601-00053,,,PO-20260110-OUT001-0010,2026-01-15,ING004,Cream,,Dairy,Raw Material,,21.42,litre,0,214.42,,4592.88,0.0,5.0,229.64,,,,,229.64,0,4822.52,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,store.manager,ChocoCraft Ingredients,2026-01-12,GRN-OUT001-260112-00054,INV-2601-00054,,,PO-20260110-OUT001-0010,2026-01-12,ING013,Brownie Base,,Dessert Inputs,Raw Material,,250.0,pcs,0,33.68,,8420.0,0.0,18.0,1515.6,,,,,1515.6,0,9935.6,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.cp,Delhi Bakery Supply Co,2026-01-12,GRN-OUT001-260112-00055,INV-2601-00055,,,PO-20260110-OUT001-0010,2026-01-12,ING014,Cake Base,,Dessert Inputs,Raw Material,,115.0,pcs,0,46.41,,5337.15,0.0,18.0,960.69,,,,,960.69,0,6297.84,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.saket,Delhi Bakery Supply Co,2026-01-14,GRN-OUT001-260114-00056,INV-2601-00056,,,PO-20260110-OUT001-0010,2026-01-14,ING015,Cheesecake Base,,Dessert Inputs,Raw Material,,105.0,pcs,0,69.42,,7289.1,0.0,18.0,1312.04,,,,,1312.04,0,8601.14,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.hk,GreenLeaf Produce Delhi,2026-01-12,GRN-OUT001-260112-00057,INV-2601-00057,,,PO-20260110-OUT001-0010,2026-01-12,ING031,Tomato,,Produce,Raw Material,,62.15,kg,0,55.22,,3431.92,0.0,5.0,171.6,,,,,171.6,0,3603.52,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,ops.saket,PackPro Disposables,2026-01-10,GRN-OUT001-260110-00058,INV-2601-00058,,,PO-20260110-OUT001-0010,2026-01-10,ING037,Hot Cup,,Packaging,Consumable,,880.0,pcs,0,2.96,,2604.8,0.0,18.0,468.86,,,,,468.86,0,3073.66,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,PackPro Disposables,2026-01-12,GRN-OUT001-260112-00059,INV-2601-00059,,,PO-20260110-OUT001-0010,2026-01-12,ING042,Sandwich Box,,Packaging,Consumable,,445.0,pcs,0,6.73,,2994.85,0.0,18.0,539.07,,,,,539.07,0,3533.92,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,store.manager,Delhi Bakery Supply Co,2026-01-11,GRN-OUT002-260111-00060,INV-2601-00060,,,PO-20260110-OUT002-0011,2026-01-11,ING011,Tortilla,,Bakery,Raw Material,,310.0,pcs,0,15.56,,4823.6,0.0,5.0,241.18,,,,,241.18,0,5064.78,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ops.cp,Delhi Bakery Supply Co,2026-01-10,GRN-OUT002-260110-00061,INV-2601-00061,,,PO-20260110-OUT002-0011,2026-01-10,ING012,Croissant Base,,Bakery,Raw Material,,250.0,pcs,0,44.52,,11130.0,0.0,5.0,556.5,,,,,556.5,0,11686.5,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ops.hk,Metro Wholesale Delhi,2026-01-12,GRN-OUT002-260112-00062,INV-2601-00062,,,PO-20260110-OUT002-0011,2026-01-12,ING022,Ice,,Beverage Inputs,Raw Material,,499.49,kg,0,11.88,,5933.94,0.0,5.0,296.7,,,,,296.7,0,6230.64,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,FrozenBerry Traders,2026-01-13,GRN-OUT002-260113-00063,INV-2601-00063,,,PO-20260110-OUT002-0011,2026-01-13,ING025,Mixed Berry Pulp,,Fruit Inputs,Raw Material,,30.56,kg,0,407.7,,12459.31,0.0,18.0,2242.68,,,,,2242.68,0,14701.99,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,ops.cp,PackPro Disposables,2026-01-12,GRN-OUT002-260112-00064,INV-2601-00064,,,PO-20260110-OUT002-0011,2026-01-12,ING036,Cold Cup,,Packaging,Consumable,,1460.0,pcs,0,3.3,,4818.0,48.18,18.0,858.57,,,,,858.57,0,5628.39,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,store.manager,FreshDairy Foods NCR,2026-01-13,GRN-OUT003-260113-00065,INV-2601-00065,,,PO-20260110-OUT003-0012,2026-01-13,ING006,Cheese,,Dairy,Raw Material,,18.57,kg,0,469.42,,8717.13,87.17,5.0,431.5,,,,,431.5,0,9061.46,
