forecast_as_of_month,forecast_date,outlet_code,outlet_name,menu_item_code,menu_item_name,super_category_name,category_name,forecast_qty,forecast_net_sales,model_name,confidence_band
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0004,Americano - Medium,Beverage,Coffee Classics,2.468,502.73,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0004,Americano - Medium,Beverage,Coffee Classics,1.6026,326.45,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0005,Americano - Large,Beverage,Coffee Classics,1.303,297.02,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0005,Americano - Large,Beverage,Coffee Classics,1.9474,443.91,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0005,Americano - Large,Beverage,Coffee Classics,2.0666,471.08,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0005,Americano - Large,Beverage,Coffee Classics,1.9672,448.42,Synthetic 28-day seasonal baseline,High
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0005,Americano - Large,Beverage,Coffee Classics,2.007,457.5,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0005,Americano - Large,Beverage,Coffee Classics,1.9871,452.96,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0005,Americano - Large,Beverage,Coffee Classics,1.2902,294.1,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0006,Latte - Regular,Beverage,Coffee Classics,1.4795,322.9,Synthetic 28-day seasonal baseline,High
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0006,Latte - Regular,Beverage,Coffee Classics,2.3249,507.41,Synthetic 28-day seasonal baseline,High
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0006,Latte - Regular,Beverage,Coffee Classics,2.2779,497.15,Synthetic 28-day seasonal baseline,High
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0006,Latte - Regular,Beverage,Coffee Classics,2.2779,497.15,Synthetic 28-day seasonal baseline,High
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0006,Latte - Regular,Beverage,Coffee Classics,2.4423,533.03,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0006,Latte - Regular,Beverage,Coffee Classics,2.4188,527.9,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0006,Latte - Regular,Beverage,Coffee Classics,1.4644,319.61,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0007,Latte - Medium,Beverage,Coffee Classics,1.5162,367.68,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0007,Latte - Medium,Beverage,Coffee Classics,2.3816,577.54,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0007,Latte - Medium,Beverage,Coffee Classics,2.2198,538.3,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0007,Latte - Medium,Beverage,Coffee Classics,2.3585,571.94,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0007,Latte - Medium,Beverage,Coffee Classics,2.4047,583.14,Synthetic 28-day seasonal baseline,High
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0007,Latte - Medium,Beverage,Coffee Classics,2.3354,566.33,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0007,Latte - Medium,Beverage,Coffee Classics,1.427,346.05,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0008,Latte - Large,Beverage,Coffee Classics,1.0661,284.38,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0008,Latte - Large,Beverage,Coffee Classics,1.6908,451.02,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0008,Latte - Large,Beverage,Coffee Classics,1.6746,446.7,Synthetic 28-day seasonal baseline,High
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0008,Latte - Large,Beverage,Coffee Classics,1.5608,416.34,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0008,Latte - Large,Beverage,Coffee Classics,1.6258,433.68,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0008,Latte - Large,Beverage,Coffee Classics,1.6746,446.7,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0008,Latte - Large,Beverage,Coffee Classics,1.0661,284.38,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0009,Cappuccino - Regular,Beverage,Coffee Classics,1.4795,322.9,Synthetic 28-day seasonal baseline,High
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0009,Cappuccino - Regular,Beverage,Coffee Classics,2.4423,533.03,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0009,Cappuccino - Regular,Beverage,Coffee Classics,2.3014,502.28,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0009,Cappuccino - Regular,Beverage,Coffee Classics,2.2779,497.15,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0009,Cappuccino - Regular,Beverage,Coffee Classics,2.3484,512.54,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0009,Cappuccino - Regular,Beverage,Coffee Classics,2.4188,527.9,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0009,Cappuccino - Regular,Beverage,Coffee Classics,1.5701,342.67,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0010,Cappuccino - Medium,Beverage,Coffee Classics,1.6277,394.72,Synthetic 28-day seasonal baseline,High
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0010,Cappuccino - Medium,Beverage,Coffee Classics,2.5847,626.79,Synthetic 28-day seasonal baseline,High
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0010,Cappuccino - Medium,Beverage,Coffee Classics,2.5583,620.39,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0010,Cappuccino - Medium,Beverage,Coffee Classics,2.611,633.17,Synthetic 28-day seasonal baseline,High
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0010,Cappuccino - Medium,Beverage,Coffee Classics,2.5583,620.39,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0010,Cappuccino - Medium,Beverage,Coffee Classics,2.611,633.17,Synthetic 28-day seasonal baseline,High
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0010,Cappuccino - Medium,Beverage,Coffee Classics,1.6616,402.94,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0011,Cappuccino - Large,Beverage,Coffee Classics,0.9142,243.86,Synthetic 28-day seasonal baseline,High
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0011,Cappuccino - Large,Beverage,Coffee Classics,1.5257,406.98,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0011,Cappuccino - Large,Beverage,Coffee Classics,1.4813,395.14,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0011,Cappuccino - Large,Beverage,Coffee Classics,1.4369,383.29,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0011,Cappuccino - Large,Beverage,Coffee Classics,1.422,379.32,Synthetic 28-day seasonal baseline,High
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0011,Cappuccino - Large,Beverage,Coffee Classics,1.4961,399.08,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0011,Cappuccino - Large,Beverage,Coffee Classics,0.9523,254.03,Synthetic 28-day seasonal baseline,High
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0012,Flat White - Regular,Beverage,Coffee Classics,1.3703,312.36,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0012,Flat White - Regular,Beverage,Coffee Classics,2.1742,495.61,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0012,Flat White - Regular,Beverage,Coffee Classics,2.1529,490.75,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0012,Flat White - Regular,Beverage,Coffee Classics,2.0677,471.33,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0012,Flat White - Regular,Beverage,Coffee Classics,2.089,476.19,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0012,Flat White - Regular,Beverage,Coffee Classics,2.1103,481.04,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0012,Flat White - Regular,Beverage,Coffee Classics,1.3566,309.24,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0013,Flat White - Medium,Beverage,Coffee Classics,1.5013,378.63,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0013,Flat White - Medium,Beverage,Coffee Classics,2.266,571.49,Synthetic 28-day seasonal baseline,High
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0013,Flat White - Medium,Beverage,Coffee Classics,2.266,571.49,Synthetic 28-day seasonal baseline,High
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0013,Flat White - Medium,Beverage,Coffee Classics,2.266,571.49,Synthetic 28-day seasonal baseline,High
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0013,Flat White - Medium,Beverage,Coffee Classics,2.266,571.49,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0013,Flat White - Medium,Beverage,Coffee Classics,2.3585,594.81,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0013,Flat White - Medium,Beverage,Coffee Classics,1.4716,371.14,Synthetic 28-day seasonal baseline,High
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0014,Flat White - Large,Beverage,Coffee Classics,0.8561,236.67,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0014,Flat White - Large,Beverage,Coffee Classics,1.3317,368.15,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0014,Flat White - Large,Beverage,Coffee Classics,1.4141,390.93,Synthetic 28-day seasonal baseline,High
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0014,Flat White - Large,Beverage,Coffee Classics,1.3454,371.94,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0014,Flat White - Large,Beverage,Coffee Classics,1.318,364.36,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0014,Flat White - Large,Beverage,Coffee Classics,1.3592,375.75,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0014,Flat White - Large,Beverage,Coffee Classics,0.8473,234.24,Synthetic 28-day seasonal baseline,High
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0015,Mocha - Regular,Beverage,Coffee Classics,1.5701,373.13,Synthetic 28-day seasonal baseline,High
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0015,Mocha - Regular,Beverage,Coffee Classics,2.2779,541.34,Synthetic 28-day seasonal baseline,High
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0015,Mocha - Regular,Beverage,Coffee Classics,2.3014,546.93,Synthetic 28-day seasonal baseline,High
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0015,Mocha - Regular,Beverage,Coffee Classics,2.3719,563.68,Synthetic 28-day seasonal baseline,High
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0015,Mocha - Regular,Beverage,Coffee Classics,2.3249,552.51,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0015,Mocha - Regular,Beverage,Coffee Classics,2.4188,574.83,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0015,Mocha - Regular,Beverage,Coffee Classics,1.555,369.55,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0016,Mocha - Medium,Beverage,Coffee Classics,1.3292,348.12,Synthetic 28-day seasonal baseline,High
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0016,Mocha - Medium,Beverage,Coffee Classics,2.2169,580.61,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0016,Mocha - Medium,Beverage,Coffee Classics,2.0463,535.93,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0016,Mocha - Medium,Beverage,Coffee Classics,2.0677,541.53,Synthetic 28-day seasonal baseline,High
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0016,Mocha - Medium,Beverage,Coffee Classics,2.1529,563.84,Synthetic 28-day seasonal baseline,High
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0016,Mocha - Medium,Beverage,Coffee Classics,2.1103,552.69,Synthetic 28-day seasonal baseline,High
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0016,Mocha - Medium,Beverage,Coffee Classics,1.3703,358.88,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0017,Mocha - Large,Beverage,Coffee Classics,0.6568,187.94,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0017,Mocha - Large,Beverage,Coffee Classics,1.0217,292.36,Synthetic 28-day seasonal baseline,High
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0017,Mocha - Large,Beverage,Coffee Classics,1.0015,286.58,Synthetic 28-day seasonal baseline,High
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0017,Mocha - Large,Beverage,Coffee Classics,1.0217,292.36,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0017,Mocha - Large,Beverage,Coffee Classics,1.0318,295.25,Synthetic 28-day seasonal baseline,High
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0017,Mocha - Large,Beverage,Coffee Classics,1.0015,286.58,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0017,Mocha - Large,Beverage,Coffee Classics,0.6243,178.64,Synthetic 28-day seasonal baseline,High
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0018,Sea Salt Mocha - Regular,Beverage,Signature Coffee,0.7885,210.33,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0018,Sea Salt Mocha - Regular,Beverage,Signature Coffee,1.2645,337.31,Synthetic 28-day seasonal baseline,High
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0018,Sea Salt Mocha - Regular,Beverage,Signature Coffee,1.2898,344.05,Synthetic 28-day seasonal baseline,High
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0018,Sea Salt Mocha - Regular,Beverage,Signature Coffee,1.2139,323.81,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0018,Sea Salt Mocha - Regular,Beverage,Signature Coffee,1.2266,327.2,Synthetic 28-day seasonal baseline,High
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0018,Sea Salt Mocha - Regular,Beverage,Signature Coffee,1.2519,333.94,Synthetic 28-day seasonal baseline,High
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0018,Sea Salt Mocha - Regular,Beverage,Signature Coffee,0.8292,221.19,Synthetic 28-day seasonal baseline,High
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0019,Sea Salt Mocha - Medium,Beverage,Signature Coffee,0.4552,134.67,Synthetic 28-day seasonal baseline,High
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0019,Sea Salt Mocha - Medium,Beverage,Signature Coffee,0.7443,220.2,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0019,Sea Salt Mocha - Medium,Beverage,Signature Coffee,0.7009,207.36,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0019,Sea Salt Mocha - Medium,Beverage,Signature Coffee,0.7298,215.91,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0019,Sea Salt Mocha - Medium,Beverage,Signature Coffee,0.7009,207.36,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0019,Sea Salt Mocha - Medium,Beverage,Signature Coffee,0.7515,222.33,Synthetic 28-day seasonal baseline,High
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0019,Sea Salt Mocha - Medium,Beverage,Signature Coffee,0.4692,138.81,Synthetic 28-day seasonal baseline,High
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0020,Sea Salt Mocha - Large,Beverage,Signature Coffee,0.2346,76.23,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0020,Sea Salt Mocha - Large,Beverage,Signature Coffee,0.3541,115.06,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0020,Sea Salt Mocha - Large,Beverage,Signature Coffee,0.3613,117.4,Synthetic 28-day seasonal baseline,High
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0020,Sea Salt Mocha - Large,Beverage,Signature Coffee,0.3613,117.4,Synthetic 28-day seasonal baseline,High
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0020,Sea Salt Mocha - Large,Beverage,Signature Coffee,0.3649,118.57,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0020,Sea Salt Mocha - Large,Beverage,Signature Coffee,0.3685,119.74,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0020,Sea Salt Mocha - Large,Beverage,Signature Coffee,0.2392,77.73,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0021,Orange Zest Mocha - Regular,Beverage,Signature Coffee,0.4645,121.65,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0021,Orange Zest Mocha - Regular,Beverage,Signature Coffee,0.7226,189.25,Synthetic 28-day seasonal baseline,High
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0021,Orange Zest Mocha - Regular,Beverage,Signature Coffee,0.7154,187.36,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0021,Orange Zest Mocha - Regular,Beverage,Signature Coffee,0.7298,191.13,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0021,Orange Zest Mocha - Regular,Beverage,Signature Coffee,0.7009,183.57,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0021,Orange Zest Mocha - Regular,Beverage,Signature Coffee,0.7443,194.93,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-07,OUT001,ABNAH Cafe Connaught Place,MENU0021,Orange Zest Mocha - Regular,Beverage,Signature Coffee,0.4692,122.88,Synthetic 28-day seasonal baseline,High
month_01,2026-02-01,OUT001,ABNAH Cafe Connaught Place,MENU0022,Orange Zest Mocha - Medium,Beverage,Signature Coffee,0.4956,144.22,Synthetic 28-day seasonal baseline,High
month_01,2026-02-02,OUT001,ABNAH Cafe Connaught Place,MENU0022,Orange Zest Mocha - Medium,Beverage,Signature Coffee,0.7869,228.99,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-03,OUT001,ABNAH Cafe Connaught Place,MENU0022,Orange Zest Mocha - Medium,Beverage,Signature Coffee,0.763,222.03,Synthetic 28-day seasonal baseline,High
month_01,2026-02-04,OUT001,ABNAH Cafe Connaught Place,MENU0022,Orange Zest Mocha - Medium,Beverage,Signature Coffee,0.7869,228.99,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-05,OUT001,ABNAH Cafe Connaught Place,MENU0022,Orange Zest Mocha - Medium,Beverage,Signature Coffee,0.8107,235.91,Synthetic 28-day seasonal baseline,Medium
month_01,2026-02-06,OUT001,ABNAH Cafe Connaught Place,MENU0022,Orange Zest Mocha - Medium,Beverage,Signature Coffee,0.771,224.36,Synthetic 28-day seasonal baseline,Medium
