row_id,recipe_name,recipe_qty,recipe_unit,item_name,item_qty,item_unit,item_tab_type
BOM00107,,,,Coffee Beans,0.0207,kg,Base Recipe
BOM00108,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00109,,,,Lid,1.0,pcs,Base Recipe
BOM00110,,,,Milk,0.207,litre,Base Recipe
BOM00111,,,,Napkin,1.0,pcs,Base Recipe
BOM00112,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00113,Sea Salt Mocha - Large,1.0,Piece,Chocolate Sauce,0.0325,litre,Base Recipe
BOM00114,,,,Coffee Beans,0.0234,kg,Base Recipe
BOM00115,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00116,,,,Lid,1.0,pcs,Base Recipe
BOM00117,,,,Milk,0.234,litre,Base Recipe
BOM00118,,,,Napkin,1.0,pcs,Base Recipe
BOM00119,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00120,Orange Zest Mocha - Regular,1.0,Piece,Chocolate Sauce,0.025,litre,Base Recipe
BOM00121,,,,Coffee Beans,0.018,kg,Base Recipe
BOM00122,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00123,,,,Lid,1.0,pcs,Base Recipe
BOM00124,,,,Milk,0.18,litre,Base Recipe
BOM00125,,,,Napkin,1.0,pcs,Base Recipe
BOM00126,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00127,Orange Zest Mocha - Medium,1.0,Piece,Chocolate Sauce,0.0287,litre,Base Recipe
BOM00128,,,,Coffee Beans,0.0207,kg,Base Recipe
BOM00129,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00130,,,,Lid,1.0,pcs,Base Recipe
BOM00131,,,,Milk,0.207,litre,Base Recipe
BOM00132,,,,Napkin,1.0,pcs,Base Recipe
BOM00133,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00134,Orange Zest Mocha - Large,1.0,Piece,Chocolate Sauce,0.0325,litre,Base Recipe
BOM00135,,,,Coffee Beans,0.0234,kg,Base Recipe
BOM00136,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00137,,,,Lid,1.0,pcs,Base Recipe
BOM00138,,,,Milk,0.234,litre,Base Recipe
BOM00139,,,,Napkin,1.0,pcs,Base Recipe
BOM00140,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00141,Caramel Macchiato - Regular,1.0,Piece,Caramel Syrup,0.025,litre,Base Recipe
BOM00142,,,,Coffee Beans,0.018,kg,Base Recipe
BOM00143,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00144,,,,Lid,1.0,pcs,Base Recipe
BOM00145,,,,Milk,0.18,litre,Base Recipe
BOM00146,,,,Napkin,1.0,pcs,Base Recipe
BOM00147,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00148,Caramel Macchiato - Medium,1.0,Piece,Caramel Syrup,0.0287,litre,Base Recipe
BOM00149,,,,Coffee Beans,0.0207,kg,Base Recipe
BOM00150,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00151,,,,Lid,1.0,pcs,Base Recipe
BOM00152,,,,Milk,0.207,litre,Base Recipe
BOM00153,,,,Napkin,1.0,pcs,Base Recipe
BOM00154,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00155,Caramel Macchiato - Large,1.0,Piece,Caramel Syrup,0.0325,litre,Base Recipe
BOM00156,,,,Coffee Beans,0.0234,kg,Base Recipe
BOM00157,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00158,,,,Lid,1.0,pcs,Base Recipe
BOM00159,,,,Milk,0.234,litre,Base Recipe
BOM00160,,,,Napkin,1.0,pcs,Base Recipe
BOM00161,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00162,French Vanilla Latte - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00163,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00164,,,,Lid,1.0,pcs,Base Recipe
BOM00165,,,,Milk,0.18,litre,Base Recipe
BOM00166,,,,Napkin,1.0,pcs,Base Recipe
BOM00167,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00168,,,,Vanilla Syrup,0.025,litre,Base Recipe
BOM00169,French Vanilla Latte - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00170,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00171,,,,Lid,1.0,pcs,Base Recipe
BOM00172,,,,Milk,0.207,litre,Base Recipe
BOM00173,,,,Napkin,1.0,pcs,Base Recipe
BOM00174,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00175,,,,Vanilla Syrup,0.0287,litre,Base Recipe
BOM00176,French Vanilla Latte - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00177,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00178,,,,Lid,1.0,pcs,Base Recipe
BOM00179,,,,Milk,0.234,litre,Base Recipe
BOM00180,,,,Napkin,1.0,pcs,Base Recipe
BOM00181,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00182,,,,Vanilla Syrup,0.0325,litre,Base Recipe
BOM00183,Vegan Iced Latte - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00184,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00185,,,,Ice,0.12,kg,Base Recipe
BOM00186,,,,Lid,1.0,pcs,Base Recipe
BOM00187,,,,Napkin,1.0,pcs,Base Recipe
BOM00188,,,,Oat Milk,0.18,litre,Base Recipe
BOM00189,,,,Straw,1.0,pcs,Base Recipe
BOM00190,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00191,Vegan Iced Latte - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00192,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00193,,,,Ice,0.138,kg,Base Recipe
BOM00194,,,,Lid,1.0,pcs,Base Recipe
BOM00195,,,,Napkin,1.0,pcs,Base Recipe
BOM00196,,,,Oat Milk,0.207,litre,Base Recipe
BOM00197,,,,Straw,1.0,pcs,Base Recipe
BOM00198,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00199,Vegan Iced Latte - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00200,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00201,,,,Ice,0.156,kg,Base Recipe
BOM00202,,,,Lid,1.0,pcs,Base Recipe
BOM00203,,,,Napkin,1.0,pcs,Base Recipe
BOM00204,,,,Oat Milk,0.234,litre,Base Recipe
BOM00205,,,,Straw,1.0,pcs,Base Recipe
BOM00206,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00207,Classic Cold Brew - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00208,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00209,,,,Ice,0.12,kg,Base Recipe
BOM00210,,,,Lid,1.0,pcs,Base Recipe
BOM00211,,,,Napkin,1.0,pcs,Base Recipe
BOM00212,,,,Straw,1.0,pcs,Base Recipe
BOM00213,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00214,Classic Cold Brew - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00215,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00216,,,,Ice,0.138,kg,Base Recipe
BOM00217,,,,Lid,1.0,pcs,Base Recipe
BOM00218,,,,Napkin,1.0,pcs,Base Recipe
BOM00219,,,,Straw,1.0,pcs,Base Recipe
BOM00220,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00221,Classic Cold Brew - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00222,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00223,,,,Ice,0.156,kg,Base Recipe
BOM00224,,,,Lid,1.0,pcs,Base Recipe
BOM00225,,,,Napkin,1.0,pcs,Base Recipe
BOM00226,,,,Straw,1.0,pcs,Base Recipe
BOM00227,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00228,Coffee Lemonade - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00229,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00230,,,,Ice,0.12,kg,Base Recipe
BOM00231,,,,Lemon,0.035,kg,Base Recipe
BOM00232,,,,Lid,1.0,pcs,Base Recipe
BOM00233,,,,Napkin,1.0,pcs,Base Recipe
BOM00234,,,,Straw,1.0,pcs,Base Recipe
BOM00235,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00236,Coffee Lemonade - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00237,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00238,,,,Ice,0.138,kg,Base Recipe
BOM00239,,,,Lemon,0.0403,kg,Base Recipe
BOM00240,,,,Lid,1.0,pcs,Base Recipe
BOM00241,,,,Napkin,1.0,pcs,Base Recipe
BOM00242,,,,Straw,1.0,pcs,Base Recipe
BOM00243,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00244,Coffee Lemonade - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00245,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00246,,,,Ice,0.156,kg,Base Recipe
BOM00247,,,,Lemon,0.0455,kg,Base Recipe
BOM00248,,,,Lid,1.0,pcs,Base Recipe
BOM00249,,,,Napkin,1.0,pcs,Base Recipe
BOM00250,,,,Straw,1.0,pcs,Base Recipe
BOM00251,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00252,Vietnamese Shakerato - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00253,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00254,,,,Ice,0.12,kg,Base Recipe
BOM00255,,,,Lid,1.0,pcs,Base Recipe
BOM00256,,,,Napkin,1.0,pcs,Base Recipe
BOM00257,,,,Straw,1.0,pcs,Base Recipe
BOM00258,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00259,Vietnamese Shakerato - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00260,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00261,,,,Ice,0.138,kg,Base Recipe
BOM00262,,,,Lid,1.0,pcs,Base Recipe
BOM00263,,,,Napkin,1.0,pcs,Base Recipe
BOM00264,,,,Straw,1.0,pcs,Base Recipe
BOM00265,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00266,Vietnamese Shakerato - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00267,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00268,,,,Ice,0.156,kg,Base Recipe
BOM00269,,,,Lid,1.0,pcs,Base Recipe
BOM00270,,,,Napkin,1.0,pcs,Base Recipe
BOM00271,,,,Straw,1.0,pcs,Base Recipe
BOM00272,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00273,Classic Cold Coffee - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00274,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00275,,,,Ice,0.12,kg,Base Recipe
BOM00276,,,,Lid,1.0,pcs,Base Recipe
BOM00277,,,,Milk,0.18,litre,Base Recipe
BOM00278,,,,Napkin,1.0,pcs,Base Recipe
BOM00279,,,,Straw,1.0,pcs,Base Recipe
BOM00280,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00281,Classic Cold Coffee - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00282,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00283,,,,Ice,0.138,kg,Base Recipe
BOM00284,,,,Lid,1.0,pcs,Base Recipe
BOM00285,,,,Milk,0.207,litre,Base Recipe
BOM00286,,,,Napkin,1.0,pcs,Base Recipe
BOM00287,,,,Straw,1.0,pcs,Base Recipe
BOM00288,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00289,Classic Cold Coffee - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00290,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00291,,,,Ice,0.156,kg,Base Recipe
BOM00292,,,,Lid,1.0,pcs,Base Recipe
BOM00293,,,,Milk,0.234,litre,Base Recipe
BOM00294,,,,Napkin,1.0,pcs,Base Recipe
BOM00295,,,,Straw,1.0,pcs,Base Recipe
BOM00296,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00297,Mocha Cold Coffee - Regular,1.0,Piece,Chocolate Sauce,0.025,litre,Base Recipe
BOM00298,,,,Coffee Beans,0.018,kg,Base Recipe
BOM00299,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00300,,,,Ice,0.12,kg,Base Recipe
BOM00301,,,,Lid,1.0,pcs,Base Recipe
BOM00302,,,,Milk,0.18,litre,Base Recipe
BOM00303,,,,Napkin,1.0,pcs,Base Recipe
BOM00304,,,,Straw,1.0,pcs,Base Recipe
BOM00305,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00306,Mocha Cold Coffee - Medium,1.0,Piece,Chocolate Sauce,0.0287,litre,Base Recipe
BOM00307,,,,Coffee Beans,0.0207,kg,Base Recipe
BOM00308,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00309,,,,Ice,0.138,kg,Base Recipe
BOM00310,,,,Lid,1.0,pcs,Base Recipe
BOM00311,,,,Milk,0.207,litre,Base Recipe
BOM00312,,,,Napkin,1.0,pcs,Base Recipe
BOM00313,,,,Straw,1.0,pcs,Base Recipe
BOM00314,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00315,Mocha Cold Coffee - Large,1.0,Piece,Chocolate Sauce,0.0325,litre,Base Recipe
BOM00316,,,,Coffee Beans,0.0234,kg,Base Recipe
BOM00317,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00318,,,,Ice,0.156,kg,Base Recipe
BOM00319,,,,Lid,1.0,pcs,Base Recipe
BOM00320,,,,Milk,0.234,litre,Base Recipe
BOM00321,,,,Napkin,1.0,pcs,Base Recipe
BOM00322,,,,Straw,1.0,pcs,Base Recipe
BOM00323,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00324,Caramel Cold Coffee - Regular,1.0,Piece,Caramel Syrup,0.025,litre,Base Recipe
BOM00325,,,,Coffee Beans,0.018,kg,Base Recipe
BOM00326,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00327,,,,Ice,0.12,kg,Base Recipe
BOM00328,,,,Lid,1.0,pcs,Base Recipe
BOM00329,,,,Milk,0.18,litre,Base Recipe
BOM00330,,,,Napkin,1.0,pcs,Base Recipe
BOM00331,,,,Straw,1.0,pcs,Base Recipe
BOM00332,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00333,Caramel Cold Coffee - Medium,1.0,Piece,Caramel Syrup,0.0287,litre,Base Recipe
BOM00334,,,,Coffee Beans,0.0207,kg,Base Recipe
BOM00335,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00336,,,,Ice,0.138,kg,Base Recipe
BOM00337,,,,Lid,1.0,pcs,Base Recipe
BOM00338,,,,Milk,0.207,litre,Base Recipe
BOM00339,,,,Napkin,1.0,pcs,Base Recipe
BOM00340,,,,Straw,1.0,pcs,Base Recipe
BOM00341,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00342,Caramel Cold Coffee - Large,1.0,Piece,Caramel Syrup,0.0325,litre,Base Recipe
BOM00343,,,,Coffee Beans,0.0234,kg,Base Recipe
BOM00344,,,,Cold Cup,1.0,pcs,Base Recipe
BOM00345,,,,Ice,0.156,kg,Base Recipe
BOM00346,,,,Lid,1.0,pcs,Base Recipe
BOM00347,,,,Milk,0.234,litre,Base Recipe
BOM00348,,,,Napkin,1.0,pcs,Base Recipe
BOM00349,,,,Straw,1.0,pcs,Base Recipe
BOM00350,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00351,Masala Chai Latte - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00352,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00353,,,,Lid,1.0,pcs,Base Recipe
BOM00354,,,,Milk,0.18,litre,Base Recipe
BOM00355,,,,Napkin,1.0,pcs,Base Recipe
BOM00356,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00357,Masala Chai Latte - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00358,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00359,,,,Lid,1.0,pcs,Base Recipe
BOM00360,,,,Milk,0.207,litre,Base Recipe
BOM00361,,,,Napkin,1.0,pcs,Base Recipe
BOM00362,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00363,Masala Chai Latte - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00364,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00365,,,,Lid,1.0,pcs,Base Recipe
BOM00366,,,,Milk,0.234,litre,Base Recipe
BOM00367,,,,Napkin,1.0,pcs,Base Recipe
BOM00368,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00369,Himalayan Green Tea,1.0,Piece,Hot Cup,1.0,pcs,Base Recipe
BOM00370,,,,Lid,1.0,pcs,Base Recipe
BOM00371,,,,Napkin,1.0,pcs,Base Recipe
BOM00372,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00373,,,,Tea Leaves,0.005,kg,Base Recipe
BOM00374,Japanese Matcha Latte - Regular,1.0,Piece,Coffee Beans,0.018,kg,Base Recipe
BOM00375,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00376,,,,Lid,1.0,pcs,Base Recipe
BOM00377,,,,Milk,0.18,litre,Base Recipe
BOM00378,,,,Napkin,1.0,pcs,Base Recipe
BOM00379,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00380,Japanese Matcha Latte - Medium,1.0,Piece,Coffee Beans,0.0207,kg,Base Recipe
BOM00381,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00382,,,,Lid,1.0,pcs,Base Recipe
BOM00383,,,,Milk,0.207,litre,Base Recipe
BOM00384,,,,Napkin,1.0,pcs,Base Recipe
BOM00385,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00386,Japanese Matcha Latte - Large,1.0,Piece,Coffee Beans,0.0234,kg,Base Recipe
BOM00387,,,,Hot Cup,1.0,pcs,Base Recipe
BOM00388,,,,Lid,1.0,pcs,Base Recipe
BOM00389,,,,Milk,0.234,litre,Base Recipe
BOM00390,,,,Napkin,1.0,pcs,Base Recipe
BOM00391,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00392,Lemon Iced Tea - Regular,1.0,Piece,Cold Cup,1.0,pcs,Base Recipe
BOM00393,,,,Ice,0.12,kg,Base Recipe
BOM00394,,,,Lemon,0.035,kg,Base Recipe
BOM00395,,,,Lid,1.0,pcs,Base Recipe
BOM00396,,,,Napkin,1.0,pcs,Base Recipe
BOM00397,,,,Straw,1.0,pcs,Base Recipe
BOM00398,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00399,,,,Tea Leaves,0.004,kg,Base Recipe
BOM00400,Lemon Iced Tea - Medium,1.0,Piece,Cold Cup,1.0,pcs,Base Recipe
BOM00401,,,,Ice,0.138,kg,Base Recipe
BOM00402,,,,Lemon,0.0403,kg,Base Recipe
BOM00403,,,,Lid,1.0,pcs,Base Recipe
BOM00404,,,,Napkin,1.0,pcs,Base Recipe
BOM00405,,,,Straw,1.0,pcs,Base Recipe
BOM00406,,,,Sugar Syrup,0.0172,litre,Base Recipe
BOM00407,,,,Tea Leaves,0.0046,kg,Base Recipe
BOM00408,Lemon Iced Tea - Large,1.0,Piece,Cold Cup,1.0,pcs,Base Recipe
BOM00409,,,,Ice,0.156,kg,Base Recipe
BOM00410,,,,Lemon,0.0455,kg,Base Recipe
BOM00411,,,,Lid,1.0,pcs,Base Recipe
BOM00412,,,,Napkin,1.0,pcs,Base Recipe
BOM00413,,,,Straw,1.0,pcs,Base Recipe
BOM00414,,,,Sugar Syrup,0.0195,litre,Base Recipe
BOM00415,,,,Tea Leaves,0.0052,kg,Base Recipe
BOM00416,Hibiscus Lime Iced Tea - Regular,1.0,Piece,Cold Cup,1.0,pcs,Base Recipe
BOM00417,,,,Hibiscus Concentrate,0.035,litre,Base Recipe
BOM00418,,,,Ice,0.12,kg,Base Recipe
BOM00419,,,,Lid,1.0,pcs,Base Recipe
BOM00420,,,,Napkin,1.0,pcs,Base Recipe
BOM00421,,,,Straw,1.0,pcs,Base Recipe
BOM00422,,,,Sugar Syrup,0.015,litre,Base Recipe
BOM00423,,,,Tea Leaves,0.004,kg,Base Recipe
BOM00424,Hibiscus Lime Iced Tea - Medium,1.0,Piece,Cold Cup,1.0,pcs,Base Recipe
BOM00425,,,,Hibiscus Concentrate,0.0403,litre,Base Recipe
BOM00426,,,,Ice,0.138,kg,Base Recipe
BOM00427,,,,Lid,1.0,pcs,Base Recipe
