stage,path,subject,purpose,size_bytes,sha256
02_QUERY_TABLES,02_QUERY_TABLES/04_std_ct_inventory_period.sql,04_std_ct_inventory_period.sql,"Standardize month-end inventory, actual consumption and source variance measures.",1692,943b3bedb943a9a11be60f586aa2a79f1751d04c121d24b0d6f5b9166eba1091
02_QUERY_TABLES,02_QUERY_TABLES/05_std_ct_inventory_snapshot.sql,05_std_ct_inventory_snapshot.sql,Standardize closing stock quantity and value checkpoints.,1027,689a88bbbeec65a230b01da696f0bbd1144ecc590e7d6ff2af7c507e4a524fc5
02_QUERY_TABLES,02_QUERY_TABLES/06_std_ct_inventory_movement.sql,06_std_ct_inventory_movement.sql,Unify internal transfers and wastage into signed inventory movements.,2416,a6bae3112afc97a1941c22ad28b2d6585e00e846de57bdea64699d0ce10a61e8
02_QUERY_TABLES,02_QUERY_TABLES/07_std_ct_purchase_order.sql,07_std_ct_purchase_order.sql,Standardize purchase-order lines and normalized open/closed status.,1761,371a72c2d49d144f08063c00c8b00fd3a6b3577bdece7dad4e7ef96d8f42c0ce
02_QUERY_TABLES,02_QUERY_TABLES/08_std_ct_purchase_receipt.sql,08_std_ct_purchase_receipt.sql,Standardize PO-linked GRN/entry lines.,1354,073ed6d33251e6bddd5cbf501b2d1bb58e05c701446bdb3ba68880ea5d29e3cb
02_QUERY_TABLES,02_QUERY_TABLES/09_std_ct_wastage.sql,09_std_ct_wastage.sql,Standardize inventory wastage transactions.,1050,8b8c6f4090ec86d05622a573941ca055d1430f8ef92645ae42f4bf5e34342a7f
02_QUERY_TABLES,02_QUERY_TABLES/10_std_ct_vendor_report.sql,10_std_ct_vendor_report.sql,Standardize the exact historical Vendor Report after local structural cleaning.,1010,d0bda80115295847194a2dd045cd049565be28bff0fea198890dc44eed95fdfa
02_QUERY_TABLES,02_QUERY_TABLES/11_std_ct_menu_forecast.sql,11_std_ct_menu_forecast.sql,Standardize seven-day menu demand forecasts.,926,5dea08a79957585f12d4f53612f28ca575e54eddb709b745a088bdd7d5e3e301
02_QUERY_TABLES,02_QUERY_TABLES/12_dim_ct_date.sql,12_dim_ct_date.sql,Create the sales-date calendar used by the three-month baseline.,670,f26b49f8f0f14404a069de4eb30bd672eb9c4ad69664c4a95c3dc8a445bac850
02_QUERY_TABLES,02_QUERY_TABLES/13_dim_ct_outlet.sql,13_dim_ct_outlet.sql,Create the outlet identity dimension from the captured stock source.,734,0defefbd91c483c6e2196e82b1b8d90efa092a3ec903bfcb773bb049759263b4
02_QUERY_TABLES,02_QUERY_TABLES/14_dim_ct_item.sql,14_dim_ct_item.sql,"Create the item identity, category, UOM and cost reference from Closing Stock.",1256,aa008da268a6d97b7e6cade7ca245da036ba1e449095fe341d1765c0440ee4b0
02_QUERY_TABLES,02_QUERY_TABLES/15_dim_ct_menu_item.sql,15_dim_ct_menu_item.sql,Create the canonical menu-item dimension from validated sales.,597,b56a3043e64fa226acf5b500f0f882d4f08bf8f606fefa2c47f96654055333cc
02_QUERY_TABLES,02_QUERY_TABLES/16_dim_ct_vendor.sql,16_dim_ct_vendor.sql,Create the vendor identity dimension from Vendor Report with transaction-only fallbacks.,1912,fad76711468544843de96bb3fb9350a5f9c06cef08a474291adc21c447c432fd
02_QUERY_TABLES,02_QUERY_TABLES/17_dim_ct_recipe_effective.sql,17_dim_ct_recipe_effective.sql,Resolve recipe ingredients to canonical item UOM and unit cost.,1894,29f80f9e1d02a8ce0d176af34db935abcfa84fe77b50a56cb8619443d36da46d
02_QUERY_TABLES,02_QUERY_TABLES/18_fact_ct_sales.sql,18_fact_ct_sales.sql,Expose validated bill-item sales at its native grain.,443,74a71dc027078653e446f9a671783661ce901911f4ed88f3183b772d30b7d348
02_QUERY_TABLES,02_QUERY_TABLES/19_fact_ct_theoretical_consumption.sql,19_fact_ct_theoretical_consumption.sql,Expose theoretical ingredient consumption at outlet-item-month grain.,491,2856ae0c1bb92297cb8ab5ef37c0812f1b41f60655d217a96b8f3550b14a43fe
02_QUERY_TABLES,02_QUERY_TABLES/20_fact_ct_actual_consumption.sql,20_fact_ct_actual_consumption.sql,Calculate the approved inventory movement bridge for actual consumption.,950,c24d2ea73d3d235bbf1fc028f1161f332c8e3f14a2a413749073790d1b1cb337
02_QUERY_TABLES,02_QUERY_TABLES/21_fact_ct_consumption_variance.sql,21_fact_ct_consumption_variance.sql,Compare actual and theoretical ingredient consumption.,2334,8fe574e6511ce1a7a85997c360413189dba55ab662fbba6d245a51542398e12e
02_QUERY_TABLES,02_QUERY_TABLES/22_fact_ct_purchase_order.sql,22_fact_ct_purchase_order.sql,"Calculate ordered, pending and open PO values.",756,71b761b3f62d3dfa7d34743953e2cd63653f5bc90d0a95b4857df6f888ec6bcf
02_QUERY_TABLES,02_QUERY_TABLES/23_fact_ct_purchase_receipt.sql,23_fact_ct_purchase_receipt.sql,Expose PO-linked accepted receipt lines.,334,13261dc73ed71bd645cd172e34af42803ea992097b283c8d5949f7a319c315ce
02_QUERY_TABLES,02_QUERY_TABLES/24_fact_ct_po_receipt_line.sql,24_fact_ct_po_receipt_line.sql,"Join exact PO number, outlet and item to receipt lines for fill-rate and OTIF logic.",3667,9636b58d6ee19e6ec3976c0874dc33bffaa654fd1a652623288014c23e5c0deb
02_QUERY_TABLES,02_QUERY_TABLES/25_fact_ct_menu_profitability.sql,25_fact_ct_menu_profitability.sql,"Aggregate menu sales, theoretical COGS and recipe gross margin.",1791,89fd30f3e497d6152acf1c4bb66bfebf729870c7d5ee9a560572bfed7dee3bfc
02_QUERY_TABLES,02_QUERY_TABLES/26_fact_ct_forecast_ingredient_demand.sql,26_fact_ct_forecast_ingredient_demand.sql,Convert menu demand forecast into ingredient requirements through the effective recipe.,1134,2d3bb3ca2fa058f7c15d85a396a2b9a74c6ec212444cfe8774a4069d759f5490
02_QUERY_TABLES,02_QUERY_TABLES/27_fact_ct_inventory_risk.sql,27_fact_ct_inventory_risk.sql,Calculate source-supported stockout and days-cover risk at ingredient checkpoint grain.,6672,f28342b36697b55cc03b8144de5cc4d2a051dc5b167c9b4cdcae912b1cb78f89
02_QUERY_TABLES,02_QUERY_TABLES/28_fact_ct_menu_impact.sql,28_fact_ct_menu_impact.sql,Connect risky ingredients back to forecast menu items and revenue at risk.,4798,2b636084865998464516a1013d3ee5dc42aa3ebcdb075677294be5531c164709
02_QUERY_TABLES,02_QUERY_TABLES/29_sum_ct_procurement_funnel.sql,29_sum_ct_procurement_funnel.sql,"Summarize ordered, received, pending and delayed PO value for Page 2.",1082,bae590a207c4ed6efa88d0816077c5756e3f53fa32495bd8ee213962eb627fdc
02_QUERY_TABLES,02_QUERY_TABLES/30_sum_ct_vendor_scorecard.sql,30_sum_ct_vendor_scorecard.sql,"Summarize fill rate, OTIF and open PO exposure by vendor.",1409,7dacddf8e1a58c4ea8a6040997486a370a495868dca7a4b784e5fc563c23e98d
02_QUERY_TABLES,02_QUERY_TABLES/31_sum_ct_price_movement.sql,31_sum_ct_price_movement.sql,Compare weighted receipt prices with the immediately prior synthetic month.,3359,04ae67b146c4499e8ba9adc525abd4e4a3ccda933002851180b6924ec30bc858
02_QUERY_TABLES,02_QUERY_TABLES/32_sum_ct_menu_profitability.sql,32_sum_ct_menu_profitability.sql,Expose menu profitability with BCG quadrant classification.,693,a9f843ff9efbf1fa1df5eaee01c237f1833c22b1c0a6621f1b514cefd459171a
02_QUERY_TABLES,02_QUERY_TABLES/33_sum_ct_scm_monthly.sql,33_sum_ct_scm_monthly.sql,"Join monthly sales, closing stock, open PO and actual consumption for Page 4.",2557,193c8667a270e2e2beda4dabba9c6f767abd9639decb33671c722fae91afe9d5
02_QUERY_TABLES,02_QUERY_TABLES/34_fact_ct_data_quality_exception.sql,34_fact_ct_data_quality_exception.sql,"Produce drillable Page 4 exception rows with period, outlet and source references.",7356,610f1cf87167d156b7fafb1ccb9a085bc2db2d04655c4f4cb8fa1dbd4e9e9b65
02_QUERY_TABLES,02_QUERY_TABLES/35_sum_ct_financial_leakage.sql,35_sum_ct_financial_leakage.sql,Summarize observed wastage separately from demo expiry and unavailable vendor returns.,653,52a47424ff6d0a8b615270807101b042f8910ae6b151fd0e6551dc8c58568a1f
02_QUERY_TABLES,02_QUERY_TABLES/36_fact_ct_risky_po.sql,36_fact_ct_risky_po.sql,"Retain exact open PO lines whose ingredients are currently red, purple or amber.",2419,358dd12cecb938b58603304f39f599d57a9c94f9593aa7f75bf0a533fc6d1aac
02_QUERY_TABLES,02_QUERY_TABLES/37_dim_ct_outlet_enriched.sql,37_dim_ct_outlet_enriched.sql,Enrich source-derived outlet identity with synthetic demonstrator geography.,1512,5aa74235435f485b040ea966de1ebacfb9da33ea0d51c4a81fe91ca4da83ad8f
02_QUERY_TABLES,02_QUERY_TABLES/38_fact_ct_expiry_risk.sql,38_fact_ct_expiry_risk.sql,Expose traceable batch-linked demo expiry exposure without claiming POSIST batch truth.,3093,76939d54faf370cffd131c36fc355611b1d5b7a394bc7261972d7e003a20745e
02_QUERY_TABLES,02_QUERY_TABLES/QUERY_BUILD_CHECKLIST.csv,Package control,QUERY_BUILD_CHECKLIST.csv,9031,a74ada394d8a7592b3be02494b98acb75dec291e24245fc2e91ea0b29972b837
02_QUERY_TABLES,02_QUERY_TABLES/QUERY_TABLE_MANIFEST.csv,Package control,QUERY_TABLE_MANIFEST.csv,8359,a99b356fbbba1a0abed2304f21b01549796ff426479dd90a3a952b8b060fd27a
02_QUERY_TABLES,02_QUERY_TABLES/README.md,Package control,README.md,2025,760961a77d8d4b5283c41a516fb795f6e6aea043cba63f1ee6589a87c56cd516
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/01_EXECUTION_RUNBOOK.md,Zoho instruction,01_EXECUTION_RUNBOOK.md,14881,a4b4cd7238eed7f4231edcc8a7013e361c91b6a6ffe3c8d61e5207e88b15e162
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/02_IMPORT_PROCEDURE.md,Zoho instruction,02_IMPORT_PROCEDURE.md,7598,17e95f3c919caae5ea243606d851f4b6e4839db0df9731784c97b1df05dc3c6b
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/03_QUERY_TABLE_BUILD.md,Zoho instruction,03_QUERY_TABLE_BUILD.md,14041,5553856478c236c0c8631d5a93e195e4efe9c26e7458d90603a34af9da093215
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/03A_LOOKUPS_FORMULAS_AND_PRE_DASHBOARD_SETUP.md,Zoho instruction,03A_LOOKUPS_FORMULAS_AND_PRE_DASHBOARD_SETUP.md,33286,82f6538e98dcad6a944f0047770fb2bcc97effb34eebcb26a3a84528168a773c
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/03B_CURRENT_WORKSPACE_MIGRATION.md,Zoho instruction,03B_CURRENT_WORKSPACE_MIGRATION.md,8447,3cd72cae48d1de88f6397ca8ebdcd405b68f804146d0ce550ee230be7f168c15
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/04_DASHBOARD_BUILD.md,Zoho instruction,04_DASHBOARD_BUILD.md,56740,04a3cca70af0d455e5a073bb951cd3c5539e12eb63945fcf4614f7e98456837c
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/04A_DASHBOARD_EXPECTED_RESULTS.md,Zoho instruction,04A_DASHBOARD_EXPECTED_RESULTS.md,17552,f7e793b6c3aa222316f326ba5d23372de459383b5585dbfc74da03f1622b450b
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/04B_REFERENCE_TO_ZOHO_CAPABILITY_MATRIX.md,Zoho instruction,04B_REFERENCE_TO_ZOHO_CAPABILITY_MATRIX.md,11386,64500a4c49591ca8557bb271966e2aa5b6825f3b66d65db4c7d1fbe2facf8c97
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/05_ASK_ZIA_SETUP.md,Zoho instruction,05_ASK_ZIA_SETUP.md,7242,7c34d476fe59ec799dab42a2287385fe8b2cf7a652f24ec878a610d73d461f31
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/05_DASHBOARD_FILTER_MAPPING.md,Zoho instruction,05_DASHBOARD_FILTER_MAPPING.md,10828,c0241e3ec2d8f13923a48dd8b07392460a4a119955d4f5d39096ff4ee69f1727
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/06_VALIDATION_AND_PUBLICATION.md,Zoho instruction,06_VALIDATION_AND_PUBLICATION.md,8862,18ea2cec8f35680103acfc33ba98e474886e2a42d4ef6f6534b0113f6a695341
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/07_EMBEDDED_PORTAL_SETUP.md,Zoho instruction,07_EMBEDDED_PORTAL_SETUP.md,3967,4de089b96086ef7afa9b2e0f19453bae5a096915794a8565e9070dbfff2f7e17
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/08_PORTAL_HOSTING_AUTH_HANDOFF.md,Zoho instruction,08_PORTAL_HOSTING_AUTH_HANDOFF.md,3737,050a00f560db003dfd1eea9e9ff4710609e4bda98a90d97f241ec931cf672d9a
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/09_REPORT_BUILD_EMBED_AND_FILTER_SEQUENCE.md,Zoho instruction,09_REPORT_BUILD_EMBED_AND_FILTER_SEQUENCE.md,5778,6395b273791d3c767e6d05bb2dfff4805aa22a719aa9ca7b52155d3601e897b4
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/10_PAGE_1_AND_PAGE_2_CORRECTIONS.md,Zoho instruction,10_PAGE_1_AND_PAGE_2_CORRECTIONS.md,7419,820e1ed988adaae4c31c7fae6391a31fb985943018a6b58e4972df1cebaa7ffb
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/11_GITHUB_PAGES_ZOHO_AUTH_SETUP.md,Zoho instruction,11_GITHUB_PAGES_ZOHO_AUTH_SETUP.md,10453,3f56029da4383549150f893e4a1cfcc4f81a2a3aa061b90398ec72b40d2dfe8c
03_ZOHO_INSTRUCTIONS,03_ZOHO_INSTRUCTIONS/zoho-secured-embed-handoff.example.json,Zoho instruction,zoho-secured-embed-handoff.example.json,3466,6937b548b598afdb5b7b794c94017fcaaaec7f9d78477d75a87bf6dee36f0860
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/_CONTROL_TOWER_ACTIVE_IMPORT_MANIFEST.csv,Validation and limitation evidence,_CONTROL_TOWER_ACTIVE_IMPORT_MANIFEST.csv,3777,6dd809014e80f0b8088b60075e47bd847909fd5b1b7fe896d498b14b8d496b15
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/_RECONCILIATION_RESULTS.csv,Validation and limitation evidence,_RECONCILIATION_RESULTS.csv,4442,e3c9497f93a73c0548cd330e9625ed4a56f7eb6723813c5ea0fe86adbd77661c
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/_SYNTHETIC_FIDELITY_REGISTER.csv,Validation and limitation evidence,_SYNTHETIC_FIDELITY_REGISTER.csv,5097,b85cce4b84652eeb9ba67b08fab0478aa240da7293394c717dd91d0570b6c439
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/ACTUAL_CSV_SEMANTIC_REASSESSMENT.md,Validation and limitation evidence,ACTUAL_CSV_SEMANTIC_REASSESSMENT.md,4448,000e0f449793fe4d033955d3554d62fb5a295b60c8a30dfa29596175734734f0
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/PRESENTATION_ISSUES.md,Validation and limitation evidence,PRESENTATION_ISSUES.md,3938,4475b0f4a6894f4e10ba7cf17f2c34c944f47303720d4504fd7cb9648c586e14
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/SOURCE_FEASIBILITY_AND_LIMITATIONS.md,Validation and limitation evidence,SOURCE_FEASIBILITY_AND_LIMITATIONS.md,5742,611985c3f004393f23a5d56bce9ac9256435202b471b9b8c91e06eb62deb47e5
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/SOURCE_KPI_MATRIX.csv,Validation and limitation evidence,SOURCE_KPI_MATRIX.csv,7336,18ed3f96ad0218fbf526eea61c8138b0839607da721f27995314b353db717302
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/SYNTHETIC_FIDELITY.md,Validation and limitation evidence,SYNTHETIC_FIDELITY.md,8322,35b05f138f0ba2c4ceb2afd6b93fe81749a0e7c7388a3805e8acfb3bad506f69
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/SYNTHETIC_VALIDATION.md,Validation and limitation evidence,SYNTHETIC_VALIDATION.md,7766,d6f919e7699898ca42088f35bd13ce1c49d4c61a6835051b961920c3c47f1439
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/CONTROL_TOWER_ACCEPTANCE_CHECKS.csv,Synthetic acceptance truth,CONTROL_TOWER_ACCEPTANCE_CHECKS.csv,647,10fb90cfe01c031753a44176b48138cf3c4708e78ea8d450dde0890ed6eb8632
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/DASHBOARD_CHART_ACCEPTANCE.csv,Synthetic acceptance truth,DASHBOARD_CHART_ACCEPTANCE.csv,310118,672496976df0f4233f51f05eb8349a4cfdde2c12d51f765c2cba27de2f6a1558
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/PAGE1_Expiry_Risk_Detail.csv,Synthetic acceptance truth,PAGE1_Expiry_Risk_Detail.csv,140649,d1563c0e8f48927dbda39317dc5b386cd80043614a0fffa79aa24742e3b3451f
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/PAGE1_Inventory_Risk_Detail.csv,Synthetic acceptance truth,PAGE1_Inventory_Risk_Detail.csv,113095,cb47297c8f59b73dbd69362e42fe9b69b5e438f9ad3068ba94506671a600f7e6
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/PAGE1_Menu_Impact_Detail.csv,Synthetic acceptance truth,PAGE1_Menu_Impact_Detail.csv,125305,be65cbd7b9b19ed946b7d08dde8d9edc1e95fedf878f24864aef91dbd7b8ba1d
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/PAGE1_Risk_Action_Truth.csv,Synthetic acceptance truth,PAGE1_Risk_Action_Truth.csv,4315,a04724b8993412442776332432a08b6cc558be5ec23fcadc6b255d7743e523d6
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/PAGE2_Procurement_Vendor_Truth.csv,Synthetic acceptance truth,PAGE2_Procurement_Vendor_Truth.csv,4198,3a336f5c822569b7dbe536849701180aa7eab796da5d7ff9c9c96e1fbd21c173
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/PAGE2_Vendor_Performance_Detail.csv,Synthetic acceptance truth,PAGE2_Vendor_Performance_Detail.csv,247880,6b5ebe7206fd33105e51d61e142be1018a5d2c56ae9c996915b9f3adb12a8f0b
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/PAGE3_Consumption_Profitability_Truth.csv,Synthetic acceptance truth,PAGE3_Consumption_Profitability_Truth.csv,3953,e574c9c19ace5afe64eca7b3848b811e60a76cb586137eda989dfde6845a7a4e
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/PAGE3_Ingredient_Variance_Detail.csv,Synthetic acceptance truth,PAGE3_Ingredient_Variance_Detail.csv,161677,ce9f8f846c3938f8e6ff934b93f98d483827963068f95db010226a69911a5db9
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/PAGE3_Menu_Profitability_Detail.csv,Synthetic acceptance truth,PAGE3_Menu_Profitability_Detail.csv,143512,265efc875d3eb58ae3ebc018c5416754fbcaa41448eae9b766b62ee0a9ff2087
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/PAGE4_Data_Quality_Truth.csv,Synthetic acceptance truth,PAGE4_Data_Quality_Truth.csv,1020,7fca8e5f6aaebd04a195ef8cd4928aa0ad02f9d9cfa7db8407a4236029744725
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_PACK/PAGE4_Explorer_Data_Quality_Truth.csv,Synthetic acceptance truth,PAGE4_Explorer_Data_Quality_Truth.csv,2061,fab8929cf7caeb6a01287fc4735f35ff50eff7aaa2328e0e6fdfb51a9a2389dd
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/TRUTH_REFERENCE.md,Validation and limitation evidence,TRUTH_REFERENCE.md,3517,6357427cad4863aaff6932e9ccc19e62bc507a9866dce49e959539c5e22e7f40
04_VALIDATION_AND_LIMITATIONS,04_VALIDATION_AND_LIMITATIONS/VENDOR_LAST_5_PURCHASE_PRICE_ASSESSMENT.md,Validation and limitation evidence,VENDOR_LAST_5_PURCHASE_PRICE_ASSESSMENT.md,2793,371fc4d827b7fa0b3911cd1925256796d7c05a844652af8d40aca279b357f6da
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/MODEL_OVERVIEW.md,Developer handoff reference,MODEL_OVERVIEW.md,9131,cccb3d976c23d2d995bc421b6b72dafa4b82963d8fc84a257aad849053e9e487
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/bill_item_detail.json,Machine-readable source schema contract,bill_item_detail.json,5171,9ddb4270900f384ebc27938dfe273769ebe80e8192a5b2d341537ec473ed5557
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/bulk_return.json,Machine-readable source schema contract,bulk_return.json,1642,a4a042a5af07261db4097a4119ccb58119d04bb79028747f48b0a0a728b875ce
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/closing_stock.json,Machine-readable source schema contract,closing_stock.json,2294,17dc74cac942cc73597e9eccc23f37683ea86429449214995d7f12a80ad29e51
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_consumption_detail.json,Machine-readable source schema contract,enterprise_consumption_detail.json,6223,4a2aa9919a9474bed038f144c6e545e26d452afdcad5b02b87e7c4f3c0128445
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_entry.json,Machine-readable source schema contract,enterprise_entry.json,4586,d993a1831b408aa006816aeacc4563c42e407039c0139dc11d3a32fd34089c2a
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_opening.json,Machine-readable source schema contract,enterprise_opening.json,2315,4fac2b85dbe118a46a7e8f5b87bfa5146aabcb16dc039b2a57afb667fd308266
05_DEVELOPER_HANDOFF,05_DEVELOPER_HANDOFF/SOURCE_CONTRACTS/enterprise_physical.json,Machine-readable source schema contract,enterprise_physical.json,2376,3d9a34517b07c0277e0e0d62f13968d88223712644b9142daa2bd6898080912e
