row_id,item_number,item_name,uid,item_description,rate,category_name,super_category_name,non_veg,hsn_code,aggregator_alias_name,aggregator_alias_description,not_in_sweetshop,has_variant,is_inclusive_item,is_scannable_item,do_not_print_sticker
MROW00011,MENU0011,Cappuccino - Large,ABNAH-MENU0011,Premium cafe preparation: Cappuccino - Large,275,Coffee Classics,Beverage,0,996331,Cappuccino Large,Cappuccino - Large available for cafe and delivery orders,True,1,False,False,False
MROW00012,MENU0012,Flat White - Regular,ABNAH-MENU0012,Premium cafe preparation: Flat White - Regular,235,Coffee Classics,Beverage,0,996331,Flat White Regular,Flat White - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00013,MENU0013,Flat White - Medium,ABNAH-MENU0013,,260,Coffee Classics,Beverage,0,,Flat White Medium,Flat White - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00014,MENU0014,Flat White - Large,ABNAH-MENU0014,,285,Coffee Classics,Beverage,0,996331,Flat White Large,Flat White - Large available for cafe and delivery orders,True,1,False,False,False
MROW00015,MENU0015,Mocha - Regular,ABNAH-MENU0015,Premium cafe preparation: Mocha - Regular,245,Coffee Classics,Beverage,0,996331,Mocha Regular,Mocha - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00016,MENU0016,Mocha - Medium,ABNAH-MENU0016,Premium cafe preparation: Mocha - Medium,270,Coffee Classics,Beverage,0,996331,,,True,1,False,False,False
MROW00017,MENU0017,Mocha - Large,ABNAH-MENU0017,Premium cafe preparation: Mocha - Large,295,Coffee Classics,Beverage,0,996331,Mocha Large,Mocha - Large available for cafe and delivery orders,True,1,False,False,False
MROW00018,MENU0018,Sea Salt Mocha - Regular,ABNAH-MENU0018,Premium cafe preparation: Sea Salt Mocha - Regular,275,Signature Coffee,Beverage,0,996331,Sea Salt Mocha Regular,Sea Salt Mocha - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00019,MENU0019,Sea Salt Mocha - Medium,ABNAH-MENU0019,,305,Signature Coffee,Beverage,0,996331,Sea Salt Mocha Medium,Sea Salt Mocha - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00020,MENU0020,Sea Salt Mocha - Large,ABNAH-MENU0020,Premium cafe preparation: Sea Salt Mocha - Large,335,Signature Coffee,Beverage,0,996331,,,True,1,False,False,False
MROW00021,MENU0021,Orange Zest Mocha - Regular,ABNAH-MENU0021,Premium cafe preparation: Orange Zest Mocha - Regular,270,Signature Coffee,Beverage,0,996331,Orange Zest Mocha Regular,Orange Zest Mocha - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00022,MENU0022,Orange Zest Mocha - Medium,ABNAH-MENU0022,Premium cafe preparation: Orange Zest Mocha - Medium,300,Signature Coffee,Beverage,0,996331,Orange Zest Mocha Medium,Orange Zest Mocha - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00023,MENU0023,Orange Zest Mocha - Large,ABNAH-MENU0023,Premium cafe preparation: Orange Zest Mocha - Large,330,Signature Coffee,Beverage,0,996331,,,True,1,False,False,False
MROW00024,MENU0024,Caramel Macchiato - Regular,ABNAH-MENU0024,Premium cafe preparation: Caramel Macchiato - Regular,265,Signature Coffee,Beverage,0,996331,Caramel Macchiato Regular,Caramel Macchiato - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00025,MENU0025,Caramel Macchiato - Medium,ABNAH-MENU0025,,295,Signature Coffee,Beverage,0,996331,Caramel Macchiato Medium,Caramel Macchiato - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00026,MENU0026,Caramel Macchiato - Large,ABNAH-MENU0026,Premium cafe preparation: Caramel Macchiato - Large,325,Signature Coffee,Beverage,0,,,,True,1,False,False,False
MROW00027,MENU0027,French Vanilla Latte - Regular,ABNAH-MENU0027,,265,Signature Coffee,Beverage,0,,,,True,1,False,False,False
MROW00028,MENU0028,French Vanilla Latte - Medium,ABNAH-MENU0028,Premium cafe preparation: French Vanilla Latte - Medium,295,Signature Coffee,Beverage,0,996331,French Vanilla Latte Medium,French Vanilla Latte - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00029,MENU0029,French Vanilla Latte - Large,ABNAH-MENU0029,Premium cafe preparation: French Vanilla Latte - Large,325,Signature Coffee,Beverage,0,996331,French Vanilla Latte Large,French Vanilla Latte - Large available for cafe and delivery orders,True,1,False,False,False
MROW00030,MENU0030,Vegan Iced Latte - Regular,ABNAH-MENU0030,Premium cafe preparation: Vegan Iced Latte - Regular,285,Signature Coffee,Beverage,0,996331,Vegan Iced Latte Regular,Vegan Iced Latte - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00031,MENU0031,Vegan Iced Latte - Medium,ABNAH-MENU0031,Premium cafe preparation: Vegan Iced Latte - Medium,310,Signature Coffee,Beverage,0,996331,Vegan Iced Latte Medium,Vegan Iced Latte - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00032,MENU0032,Vegan Iced Latte - Large,ABNAH-MENU0032,Premium cafe preparation: Vegan Iced Latte - Large,335,Signature Coffee,Beverage,0,,Vegan Iced Latte Large,Vegan Iced Latte - Large available for cafe and delivery orders,True,1,False,False,False
MROW00033,MENU0033,Classic Cold Brew - Regular,ABNAH-MENU0033,Premium cafe preparation: Classic Cold Brew - Regular,225,Cold Brew,Beverage,0,,Classic Cold Brew Regular,Classic Cold Brew - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00034,MENU0034,Classic Cold Brew - Medium,ABNAH-MENU0034,Premium cafe preparation: Classic Cold Brew - Medium,250,Cold Brew,Beverage,0,996331,Classic Cold Brew Medium,Classic Cold Brew - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00035,MENU0035,Classic Cold Brew - Large,ABNAH-MENU0035,Premium cafe preparation: Classic Cold Brew - Large,275,Cold Brew,Beverage,0,996331,Classic Cold Brew Large,Classic Cold Brew - Large available for cafe and delivery orders,True,1,False,False,False
MROW00036,MENU0036,Coffee Lemonade - Regular,ABNAH-MENU0036,Premium cafe preparation: Coffee Lemonade - Regular,235,Cold Brew,Beverage,0,996331,Coffee Lemonade Regular,Coffee Lemonade - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00037,MENU0037,Coffee Lemonade - Medium,ABNAH-MENU0037,Premium cafe preparation: Coffee Lemonade - Medium,260,Cold Brew,Beverage,0,996331,,,True,1,False,False,False
MROW00038,MENU0038,Coffee Lemonade - Large,ABNAH-MENU0038,Premium cafe preparation: Coffee Lemonade - Large,285,Cold Brew,Beverage,0,996331,,,True,1,False,False,False
MROW00039,MENU0039,Vietnamese Shakerato - Regular,ABNAH-MENU0039,,255,Cold Brew,Beverage,0,996331,,,True,1,False,False,False
MROW00040,MENU0040,Vietnamese Shakerato - Medium,ABNAH-MENU0040,Premium cafe preparation: Vietnamese Shakerato - Medium,280,Cold Brew,Beverage,0,996331,Vietnamese Shakerato Medium,Vietnamese Shakerato - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00041,MENU0041,Vietnamese Shakerato - Large,ABNAH-MENU0041,Premium cafe preparation: Vietnamese Shakerato - Large,305,Cold Brew,Beverage,0,996331,Vietnamese Shakerato Large,Vietnamese Shakerato - Large available for cafe and delivery orders,True,1,False,False,False
MROW00042,MENU0042,Classic Cold Coffee - Regular,ABNAH-MENU0042,,255,Cold Coffee,Beverage,0,996331,Classic Cold Coffee Regular,Classic Cold Coffee - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00043,MENU0043,Classic Cold Coffee - Medium,ABNAH-MENU0043,Premium cafe preparation: Classic Cold Coffee - Medium,290,Cold Coffee,Beverage,0,996331,Classic Cold Coffee Medium,Classic Cold Coffee - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00044,MENU0044,Classic Cold Coffee - Large,ABNAH-MENU0044,Premium cafe preparation: Classic Cold Coffee - Large,325,Cold Coffee,Beverage,0,996331,,,True,1,False,False,False
MROW00045,MENU0045,Mocha Cold Coffee - Regular,ABNAH-MENU0045,,285,Cold Coffee,Beverage,0,,Mocha Cold Coffee Regular,Mocha Cold Coffee - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00046,MENU0046,Mocha Cold Coffee - Medium,ABNAH-MENU0046,,320,Cold Coffee,Beverage,0,996331,Mocha Cold Coffee Medium,Mocha Cold Coffee - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00047,MENU0047,Mocha Cold Coffee - Large,ABNAH-MENU0047,Premium cafe preparation: Mocha Cold Coffee - Large,355,Cold Coffee,Beverage,0,996331,Mocha Cold Coffee Large,Mocha Cold Coffee - Large available for cafe and delivery orders,True,1,False,False,False
MROW00048,MENU0048,Caramel Cold Coffee - Regular,ABNAH-MENU0048,Premium cafe preparation: Caramel Cold Coffee - Regular,285,Cold Coffee,Beverage,0,,Caramel Cold Coffee Regular,Caramel Cold Coffee - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00049,MENU0049,Caramel Cold Coffee - Medium,ABNAH-MENU0049,Premium cafe preparation: Caramel Cold Coffee - Medium,320,Cold Coffee,Beverage,0,996331,,,True,1,False,False,False
MROW00050,MENU0050,Caramel Cold Coffee - Large,ABNAH-MENU0050,,355,Cold Coffee,Beverage,0,996331,Caramel Cold Coffee Large,Caramel Cold Coffee - Large available for cafe and delivery orders,True,1,False,False,False
MROW00051,MENU0051,Masala Chai Latte - Regular,ABNAH-MENU0051,,195,Tea,Beverage,0,996331,Masala Chai Latte Regular,Masala Chai Latte - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00052,MENU0052,Masala Chai Latte - Medium,ABNAH-MENU0052,Premium cafe preparation: Masala Chai Latte - Medium,220,Tea,Beverage,0,996331,,,True,1,False,False,False
MROW00053,MENU0053,Masala Chai Latte - Large,ABNAH-MENU0053,,245,Tea,Beverage,0,996331,Masala Chai Latte Large,Masala Chai Latte - Large available for cafe and delivery orders,True,1,False,False,False
MROW00054,MENU0054,Himalayan Green Tea,ABNAH-MENU0054,Premium cafe preparation: Himalayan Green Tea,210,Tea,Beverage,0,996331,Himalayan Green Tea,Himalayan Green Tea available for cafe and delivery orders,True,0,False,False,False
MROW00055,MENU0055,Japanese Matcha Latte - Regular,ABNAH-MENU0055,Premium cafe preparation: Japanese Matcha Latte - Regular,265,Tea,Beverage,0,996331,Japanese Matcha Latte Regular,Japanese Matcha Latte - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00056,MENU0056,Japanese Matcha Latte - Medium,ABNAH-MENU0056,Premium cafe preparation: Japanese Matcha Latte - Medium,295,Tea,Beverage,0,,Japanese Matcha Latte Medium,Japanese Matcha Latte - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00057,MENU0057,Japanese Matcha Latte - Large,ABNAH-MENU0057,Premium cafe preparation: Japanese Matcha Latte - Large,325,Tea,Beverage,0,996331,Japanese Matcha Latte Large,Japanese Matcha Latte - Large available for cafe and delivery orders,True,1,False,False,False
MROW00058,MENU0058,Lemon Iced Tea - Regular,ABNAH-MENU0058,Premium cafe preparation: Lemon Iced Tea - Regular,205,Iced Tea,Beverage,0,996331,,,True,1,False,False,False
MROW00059,MENU0059,Lemon Iced Tea - Medium,ABNAH-MENU0059,Premium cafe preparation: Lemon Iced Tea - Medium,230,Iced Tea,Beverage,0,996331,Lemon Iced Tea Medium,Lemon Iced Tea - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00060,MENU0060,Lemon Iced Tea - Large,ABNAH-MENU0060,Premium cafe preparation: Lemon Iced Tea - Large,255,Iced Tea,Beverage,0,996331,Lemon Iced Tea Large,Lemon Iced Tea - Large available for cafe and delivery orders,True,1,False,False,False
MROW00061,MENU0061,Hibiscus Lime Iced Tea - Regular,ABNAH-MENU0061,Premium cafe preparation: Hibiscus Lime Iced Tea - Regular,225,Iced Tea,Beverage,0,996331,Hibiscus Lime Iced Tea Regular,Hibiscus Lime Iced Tea - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00062,MENU0062,Hibiscus Lime Iced Tea - Medium,ABNAH-MENU0062,Premium cafe preparation: Hibiscus Lime Iced Tea - Medium,250,Iced Tea,Beverage,0,996331,Hibiscus Lime Iced Tea Medium,Hibiscus Lime Iced Tea - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00063,MENU0063,Hibiscus Lime Iced Tea - Large,ABNAH-MENU0063,Premium cafe preparation: Hibiscus Lime Iced Tea - Large,275,Iced Tea,Beverage,0,996331,Hibiscus Lime Iced Tea Large,Hibiscus Lime Iced Tea - Large available for cafe and delivery orders,True,1,False,False,False
MROW00064,MENU0064,Hot Chocolate - Regular,ABNAH-MENU0064,Premium cafe preparation: Hot Chocolate - Regular,220,Kids Beverage,Beverage,0,,,,True,1,False,False,False
MROW00065,MENU0065,Hot Chocolate - Medium,ABNAH-MENU0065,Premium cafe preparation: Hot Chocolate - Medium,245,Kids Beverage,Beverage,0,996331,,,True,1,False,False,False
MROW00066,MENU0066,Hot Chocolate - Large,ABNAH-MENU0066,Premium cafe preparation: Hot Chocolate - Large,270,Kids Beverage,Beverage,0,996331,Hot Chocolate Large,Hot Chocolate - Large available for cafe and delivery orders,True,1,False,False,False
MROW00067,MENU0067,Babyccino - Regular,ABNAH-MENU0067,Premium cafe preparation: Babyccino - Regular,165,Kids Beverage,Beverage,0,996331,,,True,1,False,False,False
MROW00068,MENU0068,Choco Chip Shake - Regular,ABNAH-MENU0068,Premium cafe preparation: Choco Chip Shake - Regular,295,Shake,Beverage,0,,Choco Chip Shake Regular,Choco Chip Shake - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00069,MENU0069,Choco Chip Shake - Medium,ABNAH-MENU0069,Premium cafe preparation: Choco Chip Shake - Medium,330,Shake,Beverage,0,,Choco Chip Shake Medium,Choco Chip Shake - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00070,MENU0070,Choco Chip Shake - Large,ABNAH-MENU0070,Premium cafe preparation: Choco Chip Shake - Large,365,Shake,Beverage,0,,Choco Chip Shake Large,Choco Chip Shake - Large available for cafe and delivery orders,True,1,False,False,False
MROW00071,MENU0071,Mixed Berry Shake - Regular,ABNAH-MENU0071,Premium cafe preparation: Mixed Berry Shake - Regular,315,Shake,Beverage,0,996331,Mixed Berry Shake Regular,Mixed Berry Shake - Regular available for cafe and delivery orders,True,1,False,False,False
MROW00072,MENU0072,Mixed Berry Shake - Medium,ABNAH-MENU0072,Premium cafe preparation: Mixed Berry Shake - Medium,350,Shake,Beverage,0,996331,,,True,1,False,False,False
MROW00073,MENU0073,Mixed Berry Shake - Large,ABNAH-MENU0073,Premium cafe preparation: Mixed Berry Shake - Large,385,Shake,Beverage,0,,Mixed Berry Shake Large,Mixed Berry Shake - Large available for cafe and delivery orders,True,1,False,False,False
MROW00074,MENU0074,Seasonal Smoothie - Regular,ABNAH-MENU0074,Premium cafe preparation: Seasonal Smoothie - Regular,305,Smoothie,Beverage,0,996331,,,True,1,False,False,False
MROW00075,MENU0075,Seasonal Smoothie - Medium,ABNAH-MENU0075,Premium cafe preparation: Seasonal Smoothie - Medium,340,Smoothie,Beverage,0,996331,Seasonal Smoothie Medium,Seasonal Smoothie - Medium available for cafe and delivery orders,True,1,False,False,False
MROW00076,MENU0076,Seasonal Smoothie - Large,ABNAH-MENU0076,Premium cafe preparation: Seasonal Smoothie - Large,375,Smoothie,Beverage,0,,Seasonal Smoothie Large,Seasonal Smoothie - Large available for cafe and delivery orders,True,1,False,False,False
MROW00077,MENU0077,Spicy Paneer Wrap,ABNAH-MENU0077,Premium cafe preparation: Spicy Paneer Wrap,275,Wraps,Food,0,996331,,,True,0,False,False,False
MROW00078,MENU0078,Shredded Chicken Wrap,ABNAH-MENU0078,,295,Wraps,Food,1,996331,Shredded Chicken Wrap,Shredded Chicken Wrap available for cafe and delivery orders,True,0,False,False,False
MROW00079,MENU0079,Smoked Chipotle Paneer Sandwich,ABNAH-MENU0079,Premium cafe preparation: Smoked Chipotle Paneer Sandwich,295,Sandwiches,Food,0,,Smoked Chipotle Paneer Sandwich,Smoked Chipotle Paneer Sandwich available for cafe and delivery orders,True,0,False,False,False
MROW00080,MENU0080,Pesto Veg Sandwich,ABNAH-MENU0080,Premium cafe preparation: Pesto Veg Sandwich,280,Sandwiches,Food,0,996331,,,True,0,False,False,False
MROW00081,MENU0081,Pepper Chicken Sandwich,ABNAH-MENU0081,Premium cafe preparation: Pepper Chicken Sandwich,315,Sandwiches,Food,1,996331,Pepper Chicken Sandwich,Pepper Chicken Sandwich available for cafe and delivery orders,True,0,False,False,False
MROW00082,MENU0082,Tandoori Chicken Sandwich,ABNAH-MENU0082,Premium cafe preparation: Tandoori Chicken Sandwich,320,Sandwiches,Food,1,996331,Tandoori Chicken Sandwich,Tandoori Chicken Sandwich available for cafe and delivery orders,True,0,False,False,False
MROW00083,MENU0083,Chilli Cheese Garlic Toast,ABNAH-MENU0083,Premium cafe preparation: Chilli Cheese Garlic Toast,235,Toasts,Food,0,996331,Chilli Cheese Garlic Toast,Chilli Cheese Garlic Toast available for cafe and delivery orders,True,0,False,False,False
MROW00084,MENU0084,Chicken Pepperoni Avocado Toast,ABNAH-MENU0084,,330,Toasts,Food,1,996331,,,True,0,False,False,False
MROW00085,MENU0085,Hummus and Pita Platter,ABNAH-MENU0085,,310,Platter,Food,0,,Hummus and Pita Platter,Hummus and Pita Platter available for cafe and delivery orders,True,0,False,False,False
MROW00086,MENU0086,Breakfast Pancakes,ABNAH-MENU0086,Premium cafe preparation: Breakfast Pancakes,285,Breakfast,Food,0,996331,Breakfast Pancakes,Breakfast Pancakes available for cafe and delivery orders,True,0,False,False,False
MROW00087,MENU0087,Cream Cheese Bagel,ABNAH-MENU0087,Premium cafe preparation: Cream Cheese Bagel,250,Breakfast,Food,0,996331,Cream Cheese Bagel,Cream Cheese Bagel available for cafe and delivery orders,True,0,False,False,False
MROW00088,MENU0088,Scallion Pepper Cream Cheese Bagel,ABNAH-MENU0088,Premium cafe preparation: Scallion Pepper Cream Cheese Bagel,265,Breakfast,Food,0,996331,Scallion Pepper Cream Cheese Bagel,Scallion Pepper Cream Cheese Bagel available for cafe and delivery orders,True,0,False,False,False
MROW00089,MENU0089,Masala Egg Bun,ABNAH-MENU0089,Premium cafe preparation: Masala Egg Bun,225,Breakfast,Food,1,,Masala Egg Bun,Masala Egg Bun available for cafe and delivery orders,True,0,False,False,False
MROW00090,MENU0090,Marinara Cheese Pin Wheels,ABNAH-MENU0090,Premium cafe preparation: Marinara Cheese Pin Wheels,215,Snacks,Food,0,996331,Marinara Cheese Pin Wheels,Marinara Cheese Pin Wheels available for cafe and delivery orders,True,0,False,False,False
MROW00091,MENU0091,Pesto Sundried Tomato Pin Wheel,ABNAH-MENU0091,Premium cafe preparation: Pesto Sundried Tomato Pin Wheel,225,Snacks,Food,0,996331,Pesto Sundried Tomato Pin Wheel,Pesto Sundried Tomato Pin Wheel available for cafe and delivery orders,True,0,False,False,False
MROW00092,MENU0092,Turnover with Brioche Dough Chicken,ABNAH-MENU0092,Premium cafe preparation: Turnover with Brioche Dough Chicken,255,Snacks,Food,1,996331,,,True,0,False,False,False
MROW00093,MENU0093,Turnover with Brioche Dough Veg,ABNAH-MENU0093,Premium cafe preparation: Turnover with Brioche Dough Veg,235,Snacks,Food,0,996331,Turnover with Brioche Dough Veg,Turnover with Brioche Dough Veg available for cafe and delivery orders,True,0,False,False,False
MROW00094,MENU0094,Butter Croissant,ABNAH-MENU0094,Premium cafe preparation: Butter Croissant,195,Baked Goods,Food,0,996331,Butter Croissant,Butter Croissant available for cafe and delivery orders,True,0,False,False,False
MROW00095,MENU0095,Almond Croissant,ABNAH-MENU0095,Premium cafe preparation: Almond Croissant,245,Baked Goods,Food,0,996331,,,True,0,False,False,False
MROW00096,MENU0096,Chocolate Croissant,ABNAH-MENU0096,Premium cafe preparation: Chocolate Croissant,235,Baked Goods,Food,0,996331,Chocolate Croissant,Chocolate Croissant available for cafe and delivery orders,True,0,False,False,False
MROW00097,MENU0097,Mushroom Cheese Croissant,ABNAH-MENU0097,,255,Baked Goods,Food,0,996331,,,True,0,False,False,False
MROW00098,MENU0098,Sriracha Chicken Croissant,ABNAH-MENU0098,Premium cafe preparation: Sriracha Chicken Croissant,275,Baked Goods,Food,1,996331,Sriracha Chicken Croissant,Sriracha Chicken Croissant available for cafe and delivery orders,True,0,False,False,False
MROW00099,MENU0099,Cinnamon Roll with Cream Cheese,ABNAH-MENU0099,Premium cafe preparation: Cinnamon Roll with Cream Cheese,220,Baked Goods,Dessert,0,,Cinnamon Roll with Cream Cheese,Cinnamon Roll with Cream Cheese available for cafe and delivery orders,False,0,False,False,False
MROW00100,MENU0100,Banana Walnut Tea Cake,ABNAH-MENU0100,Premium cafe preparation: Banana Walnut Tea Cake,205,Baked Goods,Dessert,0,996333,Banana Walnut Tea Cake,Banana Walnut Tea Cake available for cafe and delivery orders,False,0,False,False,False
MROW00101,MENU0101,Lemon Raspberry Tea Cake,ABNAH-MENU0101,Premium cafe preparation: Lemon Raspberry Tea Cake,215,Baked Goods,Dessert,0,996333,Lemon Raspberry Tea Cake,Lemon Raspberry Tea Cake available for cafe and delivery orders,False,0,False,False,False
MROW00102,MENU0102,Double Chocolate Truffle Cake,ABNAH-MENU0102,Premium cafe preparation: Double Chocolate Truffle Cake,295,Desserts,Dessert,0,996333,Double Chocolate Truffle Cake,Double Chocolate Truffle Cake available for cafe and delivery orders,False,0,False,False,False
MROW00103,MENU0103,Banoffee Pie,ABNAH-MENU0103,Premium cafe preparation: Banoffee Pie,285,Desserts,Dessert,0,996333,,,False,0,False,False,False
MROW00104,MENU0104,Classic Chocolate Fudge Brownie,ABNAH-MENU0104,Premium cafe preparation: Classic Chocolate Fudge Brownie,195,Desserts,Dessert,0,996333,Classic Chocolate Fudge Brownie,Classic Chocolate Fudge Brownie available for cafe and delivery orders,False,0,False,False,False
MROW00105,MENU0105,Soft-Centred Caramel Cookie,ABNAH-MENU0105,Premium cafe preparation: Soft-Centred Caramel Cookie,180,Desserts,Dessert,0,996333,Soft-Centred Caramel Cookie,Soft-Centred Caramel Cookie available for cafe and delivery orders,False,0,False,False,False
MROW00106,MENU0106,Death by Chocolate Cookie,ABNAH-MENU0106,,190,Desserts,Dessert,0,996333,Death by Chocolate Cookie,Death by Chocolate Cookie available for cafe and delivery orders,False,0,False,False,False
MROW00107,MENU0107,Jaggery Parmesan Cookie,ABNAH-MENU0107,Premium cafe preparation: Jaggery Parmesan Cookie,170,Desserts,Dessert,0,996333,Jaggery Parmesan Cookie,Jaggery Parmesan Cookie available for cafe and delivery orders,False,0,False,False,False
MROW00108,MENU0108,Apple Pie,ABNAH-MENU0108,Premium cafe preparation: Apple Pie,270,Desserts,Dessert,0,996333,Apple Pie,Apple Pie available for cafe and delivery orders,False,0,False,False,False
MROW00109,MENU0109,Basque Cheesecake,ABNAH-MENU0109,,310,Desserts,Dessert,0,996333,Basque Cheesecake,Basque Cheesecake available for cafe and delivery orders,False,0,False,False,False
MROW00110,MENU0110,Multigrain Walnut Tea Cake,ABNAH-MENU0110,Premium cafe preparation: Multigrain Walnut Tea Cake,225,Baked Goods,Dessert,0,996333,Multigrain Walnut Tea Cake,Multigrain Walnut Tea Cake available for cafe and delivery orders,False,0,False,False,False
