activity_date,outlet_code,outlet_name,market_area,vendor_name,item_code,item_name,category_name,super_category_name,po_status,ordered_value,received_value,po_line_count,receipt_line_count,open_or_partial_po_count,pending_or_partial_flag_count,remaining_value_est,po_vs_receipt_gap
2026-01-01,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,PackPro Disposables,ING036,Cold Cup,Packaging,Consumable,Pending,3593.81,0.0,1,0,1,1,3593.81,3593.81
2026-01-01,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,PackPro Disposables,ING038,Lid,Packaging,Consumable,Closed,1977.92,0.0,1,0,0,0,0.0,1977.92
2026-01-01,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,SweetBase Foods,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,Closed,7665.87,0.0,1,0,0,0,0.0,7665.87
2026-01-01,OUT003,ABNAH Cafe Saket Premium,Saket,Delhi Bakery Supply Co,ING012,Croissant Base,Bakery,Raw Material,Closed,10854.38,0.0,1,0,0,0,0.0,10854.38
2026-01-01,OUT003,ABNAH Cafe Saket Premium,Saket,Delhi Bakery Supply Co,ING015,Cheesecake Base,Dessert Inputs,Raw Material,Closed,10536.46,0.0,1,0,0,0,0.0,10536.46
2026-01-01,OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,ING006,Cheese,Dairy,Raw Material,Partially Received,8668.01,0.0,1,0,1,1,3371.1858734023126,8668.01
2026-01-01,OUT003,ABNAH Cafe Saket Premium,Saket,GreenLeaf Produce Delhi,ING026,Banana,Produce,Raw Material,Closed,4701.57,0.0,1,0,0,0,0.0,4701.57
2026-01-01,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING037,Hot Cup,Packaging,Consumable,Partially Received,4232.42,0.0,1,0,1,1,1669.5509221311474,4232.42
2026-01-01,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING040,Napkin,Packaging,Consumable,Closed,812.08,0.0,1,0,0,0,0.0,812.08
2026-01-01,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING042,Sandwich Box,Packaging,Consumable,Closed,2593.4,0.0,1,0,0,0,0.0,2593.4
2026-01-01,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING043,Wrap Packaging,Packaging,Consumable,Closed,1903.1,0.0,1,0,0,0,0.0,1903.1
2026-01-02,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING002,Milk,Dairy,Raw Material,Receipt row - no PO status,0.0,12627.74,0,1,0,0,0.0,-12627.74
2026-01-02,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING004,Cream,Dairy,Raw Material,Receipt row - no PO status,0.0,4713.47,0,1,0,0,0.0,-4713.47
2026-01-02,OUT001,ABNAH Cafe Connaught Place,Connaught Place,NorthStar Poultry,ING008,Egg,Protein,Raw Material,Receipt row - no PO status,0.0,2795.27,0,1,0,0,0.0,-2795.27
2026-01-02,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Delhi Bakery Supply Co,ING010,Bagel,Bakery,Raw Material,Receipt row - no PO status,0.0,3294.81,0,1,0,0,0.0,-3294.81
2026-01-02,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FreshDairy Foods NCR,ING027,Butter,Dairy,Raw Material,Receipt row - no PO status,0.0,7267.67,0,1,0,0,0.0,-7267.67
2026-01-02,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,PackPro Disposables,ING038,Lid,Packaging,Consumable,Receipt row - no PO status,0.0,1856.48,0,1,0,0,0.0,-1856.48
2026-01-02,OUT003,ABNAH Cafe Saket Premium,Saket,Delhi Bakery Supply Co,ING012,Croissant Base,Bakery,Raw Material,Receipt row - no PO status,0.0,10787.62,0,1,0,0,0.0,-10787.62
2026-01-02,OUT003,ABNAH Cafe Saket Premium,Saket,GreenLeaf Produce Delhi,ING026,Banana,Produce,Raw Material,Receipt row - no PO status,0.0,4643.74,0,1,0,0,0.0,-4643.74
2026-01-02,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING037,Hot Cup,Packaging,Consumable,Receipt row - no PO status,0.0,2587.88,0,1,0,0,0.0,-2587.88
2026-01-02,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING042,Sandwich Box,Packaging,Consumable,Receipt row - no PO status,0.0,2545.65,0,1,0,0,0.0,-2545.65
2026-01-02,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING043,Wrap Packaging,Packaging,Consumable,Receipt row - no PO status,0.0,1935.36,0,1,0,0,0.0,-1935.36
2026-01-03,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING003,Oat Milk,Dairy Alternative,Raw Material,Receipt row - no PO status,0.0,7204.66,0,1,0,0,0.0,-7204.66
2026-01-03,OUT001,ABNAH Cafe Connaught Place,Connaught Place,PackPro Disposables,ING041,Dessert Box,Packaging,Consumable,Receipt row - no PO status,0.0,2433.58,0,1,0,0,0.0,-2433.58
2026-01-03,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FrozenBerry Traders,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,Receipt row - no PO status,0.0,19244.35,0,1,0,0,0.0,-19244.35
2026-01-03,OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,ING006,Cheese,Dairy,Raw Material,Receipt row - no PO status,0.0,5222.36,0,1,0,0,0.0,-5222.36
2026-01-04,OUT001,ABNAH Cafe Connaught Place,Connaught Place,BeanCraft Roasters Delhi,ING001,Coffee Beans,Coffee Inputs,Raw Material,Closed,8068.53,0.0,1,0,0,0,0.0,8068.53
2026-01-04,OUT001,ABNAH Cafe Connaught Place,Connaught Place,Delhi Bakery Supply Co,ING009,Bread,Bakery,Raw Material,Receipt row - no PO status,0.0,5178.34,0,1,0,0,0.0,-5178.34
2026-01-04,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING002,Milk,Dairy,Raw Material,Partially Received,12061.85,0.0,1,0,1,1,2792.4895497971474,12061.85
2026-01-04,OUT001,ABNAH Cafe Connaught Place,Connaught Place,GreenLeaf Produce Delhi,ING031,Tomato,Produce,Raw Material,Pending,3306.01,0.0,1,0,1,1,3306.01,3306.01
2026-01-04,OUT001,ABNAH Cafe Connaught Place,Connaught Place,NorthStar Poultry,ING008,Egg,Protein,Raw Material,Closed,2574.81,0.0,1,0,0,0,0.0,2574.81
2026-01-04,OUT001,ABNAH Cafe Connaught Place,Connaught Place,PackPro Disposables,ING036,Cold Cup,Packaging,Consumable,Closed,5871.68,0.0,1,0,0,0,0.0,5871.68
2026-01-04,OUT001,ABNAH Cafe Connaught Place,Connaught Place,SweetBase Foods,ING017,Caramel Syrup,Syrups & Sauces,Raw Material,Receipt row - no PO status,0.0,12263.14,0,1,0,0,0.0,-12263.14
2026-01-04,OUT001,ABNAH Cafe Connaught Place,Connaught Place,SweetBase Foods,ING024,Hibiscus Concentrate,Beverage Inputs,Raw Material,Closed,7965.83,0.0,1,0,0,0,0.0,7965.83
2026-01-04,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Delhi Bakery Supply Co,ING011,Tortilla,Bakery,Raw Material,Receipt row - no PO status,0.0,5091.42,0,1,0,0,0.0,-5091.42
2026-01-04,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Delhi Bakery Supply Co,ING014,Cake Base,Dessert Inputs,Raw Material,Closed,11596.63,0.0,1,0,0,0,0.0,11596.63
2026-01-04,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FreshDairy Foods NCR,ING005,Paneer,Dairy,Raw Material,Closed,12095.25,0.0,1,0,0,0,0.0,12095.25
2026-01-04,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FrozenBerry Traders,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,Closed,10865.25,0.0,1,0,0,0,0.0,10865.25
2026-01-04,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,GreenLeaf Produce Delhi,ING026,Banana,Produce,Raw Material,Closed,5267.66,0.0,1,0,0,0,0.0,5267.66
2026-01-04,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,PackPro Disposables,ING038,Lid,Packaging,Consumable,Pending,1271.21,0.0,1,0,1,1,1271.21,1271.21
2026-01-04,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,SpiceRoot Foods,ING034,Salsa,Syrups & Sauces,Raw Material,Closed,5235.16,0.0,1,0,0,0,0.0,5235.16
2026-01-04,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,SweetBase Foods,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,Closed,7127.71,0.0,1,0,0,0,0.0,7127.71
2026-01-04,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,SweetBase Foods,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,Receipt row - no PO status,0.0,7733.33,0,1,0,0,0.0,-7733.33
2026-01-04,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,TeaLeaf Traders NCR,ING021,Matcha Powder,Tea Inputs,Raw Material,Closed,21354.37,0.0,1,0,0,0,0.0,21354.37
2026-01-04,OUT003,ABNAH Cafe Saket Premium,Saket,Delhi Bakery Supply Co,ING011,Tortilla,Bakery,Raw Material,Cancelled,5065.2,0.0,1,0,0,0,0.0,5065.2
2026-01-04,OUT003,ABNAH Cafe Saket Premium,Saket,Delhi Bakery Supply Co,ING015,Cheesecake Base,Dessert Inputs,Raw Material,Receipt row - no PO status,0.0,10485.46,0,1,0,0,0.0,-10485.46
2026-01-04,OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,ING005,Paneer,Dairy,Raw Material,Partially Received,9227.43,0.0,1,0,1,1,4960.9838709677415,9227.43
2026-01-04,OUT003,ABNAH Cafe Saket Premium,Saket,GreenLeaf Produce Delhi,ING028,Lettuce,Produce,Raw Material,Pending,2747.21,0.0,1,0,1,1,2747.21,2747.21
2026-01-04,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING038,Lid,Packaging,Consumable,Partially Received,1546.74,0.0,1,0,1,1,278.6048315044248,1546.74
2026-01-04,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING040,Napkin,Packaging,Consumable,Receipt row - no PO status,0.0,837.08,0,1,0,0,0.0,-837.08
2026-01-04,OUT003,ABNAH Cafe Saket Premium,Saket,SpiceRoot Foods,ING033,Chipotle Sauce,Syrups & Sauces,Raw Material,Closed,7211.9,0.0,1,0,0,0,0.0,7211.9
2026-01-05,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING002,Milk,Dairy,Raw Material,Receipt row - no PO status,0.0,9354.45,0,1,0,0,0.0,-9354.45
2026-01-05,OUT001,ABNAH Cafe Connaught Place,Connaught Place,PackPro Disposables,ING036,Cold Cup,Packaging,Consumable,Receipt row - no PO status,0.0,5926.73,0,1,0,0,0.0,-5926.73
2026-01-05,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FreshDairy Foods NCR,ING005,Paneer,Dairy,Raw Material,Receipt row - no PO status,0.0,12059.91,0,1,0,0,0.0,-12059.91
2026-01-05,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING038,Lid,Packaging,Consumable,Receipt row - no PO status,0.0,1297.07,0,1,0,0,0.0,-1297.07
2026-01-06,OUT001,ABNAH Cafe Connaught Place,Connaught Place,BeanCraft Roasters Delhi,ING001,Coffee Beans,Coffee Inputs,Raw Material,Receipt row - no PO status,0.0,7971.05,0,1,0,0,0.0,-7971.05
2026-01-06,OUT001,ABNAH Cafe Connaught Place,Connaught Place,SweetBase Foods,ING024,Hibiscus Concentrate,Beverage Inputs,Raw Material,Receipt row - no PO status,0.0,7084.87,0,1,0,0,0.0,-7084.87
2026-01-06,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,GreenLeaf Produce Delhi,ING026,Banana,Produce,Raw Material,Receipt row - no PO status,0.0,5386.3,0,1,0,0,0.0,-5386.3
2026-01-06,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,SpiceRoot Foods,ING034,Salsa,Syrups & Sauces,Raw Material,Receipt row - no PO status,0.0,5253.22,0,1,0,0,0.0,-5253.22
2026-01-07,OUT001,ABNAH Cafe Connaught Place,Connaught Place,Delhi Bakery Supply Co,ING010,Bagel,Bakery,Raw Material,Closed,3102.75,0.0,1,0,0,0,0.0,3102.75
2026-01-07,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING004,Cream,Dairy,Raw Material,Closed,4949.49,0.0,1,0,0,0,0.0,4949.49
2026-01-07,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING027,Butter,Dairy,Raw Material,Closed,16105.92,0.0,1,0,0,0,0.0,16105.92
2026-01-07,OUT001,ABNAH Cafe Connaught Place,Connaught Place,GreenLeaf Produce Delhi,ING029,Onion,Produce,Raw Material,Closed,2328.04,0.0,1,0,0,0,0.0,2328.04
2026-01-07,OUT001,ABNAH Cafe Connaught Place,Connaught Place,NorthStar Poultry,ING008,Egg,Protein,Raw Material,Pending,1818.55,0.0,1,0,1,1,1818.55,1818.55
2026-01-07,OUT001,ABNAH Cafe Connaught Place,Connaught Place,NorthStar Poultry,ING008,Egg,Protein,Raw Material,Receipt row - no PO status,0.0,2582.22,0,1,0,0,0.0,-2582.22
2026-01-07,OUT001,ABNAH Cafe Connaught Place,Connaught Place,PackPro Disposables,ING039,Straw,Packaging,Consumable,Closed,756.08,0.0,1,0,0,0,0.0,756.08
2026-01-07,OUT001,ABNAH Cafe Connaught Place,Connaught Place,SweetBase Foods,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,Partially Received,5980.31,0.0,1,0,1,1,2217.0029477216535,5980.31
2026-01-07,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,ChocoCraft Ingredients,ING016,Chocolate Sauce,Syrups & Sauces,Raw Material,Closed,13361.19,0.0,1,0,0,0,0.0,13361.19
2026-01-07,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Delhi Bakery Supply Co,ING014,Cake Base,Dessert Inputs,Raw Material,Receipt row - no PO status,0.0,11448.01,0,1,0,0,0.0,-11448.01
2026-01-07,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FreshDairy Foods NCR,ING004,Cream,Dairy,Raw Material,Partially Received,6987.5,0.0,1,0,1,1,2556.345705725699,6987.5
2026-01-07,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FrozenBerry Traders,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,Receipt row - no PO status,0.0,10771.59,0,1,0,0,0.0,-10771.59
2026-01-07,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Metro Wholesale Delhi,ING022,Ice,Beverage Inputs,Raw Material,Closed,3902.4,0.0,1,0,0,0,0.0,3902.4
2026-01-07,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,NorthStar Poultry,ING007,Chicken,Protein,Raw Material,Closed,13272.17,0.0,1,0,0,0,0.0,13272.17
2026-01-07,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,SweetBase Foods,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,Receipt row - no PO status,0.0,7089.84,0,1,0,0,0.0,-7089.84
2026-01-07,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,SweetBase Foods,ING024,Hibiscus Concentrate,Beverage Inputs,Raw Material,Pending,7108.25,0.0,1,0,1,1,7108.25,7108.25
2026-01-07,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,TeaLeaf Traders NCR,ING021,Matcha Powder,Tea Inputs,Raw Material,Receipt row - no PO status,0.0,19224.64,0,1,0,0,0.0,-19224.64
2026-01-07,OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,ING002,Milk,Dairy,Raw Material,Closed,7848.45,0.0,1,0,0,0,0.0,7848.45
2026-01-07,OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,ING005,Paneer,Dairy,Raw Material,Receipt row - no PO status,0.0,3958.01,0,1,0,0,0.0,-3958.01
2026-01-07,OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,ING006,Cheese,Dairy,Raw Material,Partially Received,15804.55,0.0,1,0,1,1,7107.221295403408,15804.55
2026-01-07,OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,ING027,Butter,Dairy,Raw Material,Closed,16896.12,0.0,1,0,0,0,0.0,16896.12
2026-01-07,OUT003,ABNAH Cafe Saket Premium,Saket,GreenLeaf Produce Delhi,ING026,Banana,Produce,Raw Material,Closed,4617.52,0.0,1,0,0,0,0.0,4617.52
2026-01-07,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING042,Sandwich Box,Packaging,Consumable,Closed,2824.92,0.0,1,0,0,0,0.0,2824.92
2026-01-07,OUT003,ABNAH Cafe Saket Premium,Saket,SpiceRoot Foods,ING032,Pesto Sauce,Syrups & Sauces,Raw Material,Closed,7932.68,0.0,1,0,0,0,0.0,7932.68
2026-01-07,OUT003,ABNAH Cafe Saket Premium,Saket,SpiceRoot Foods,ING033,Chipotle Sauce,Syrups & Sauces,Raw Material,Receipt row - no PO status,0.0,7257.04,0,1,0,0,0.0,-7257.04
2026-01-08,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING027,Butter,Dairy,Raw Material,Receipt row - no PO status,0.0,16043.37,0,1,0,0,0.0,-16043.37
2026-01-08,OUT001,ABNAH Cafe Connaught Place,Connaught Place,SweetBase Foods,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,Receipt row - no PO status,0.0,3725.46,0,1,0,0,0.0,-3725.46
2026-01-08,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,ChocoCraft Ingredients,ING016,Chocolate Sauce,Syrups & Sauces,Raw Material,Receipt row - no PO status,0.0,13624.29,0,1,0,0,0.0,-13624.29
2026-01-08,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Metro Wholesale Delhi,ING022,Ice,Beverage Inputs,Raw Material,Receipt row - no PO status,0.0,3908.19,0,1,0,0,0.0,-3908.19
2026-01-08,OUT003,ABNAH Cafe Saket Premium,Saket,GreenLeaf Produce Delhi,ING026,Banana,Produce,Raw Material,Receipt row - no PO status,0.0,4572.53,0,1,0,0,0.0,-4572.53
2026-01-08,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING042,Sandwich Box,Packaging,Consumable,Receipt row - no PO status,0.0,2784.4,0,1,0,0,0.0,-2784.4
2026-01-09,OUT001,ABNAH Cafe Connaught Place,Connaught Place,Delhi Bakery Supply Co,ING010,Bagel,Bakery,Raw Material,Receipt row - no PO status,0.0,3169.35,0,1,0,0,0.0,-3169.35
2026-01-09,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FreshDairy Foods NCR,ING004,Cream,Dairy,Raw Material,Receipt row - no PO status,0.0,4438.56,0,1,0,0,0.0,-4438.56
2026-01-09,OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,ING027,Butter,Dairy,Raw Material,Receipt row - no PO status,0.0,16060.03,0,1,0,0,0.0,-16060.03
2026-01-09,OUT003,ABNAH Cafe Saket Premium,Saket,SpiceRoot Foods,ING032,Pesto Sauce,Syrups & Sauces,Raw Material,Receipt row - no PO status,0.0,8096.65,0,1,0,0,0.0,-8096.65
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,ChocoCraft Ingredients,ING013,Brownie Base,Dessert Inputs,Raw Material,Closed,9935.6,0.0,1,0,0,0,0.0,9935.6
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,Delhi Bakery Supply Co,ING011,Tortilla,Bakery,Raw Material,Pending,4123.88,0.0,1,0,1,1,4123.88,4123.88
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,Delhi Bakery Supply Co,ING014,Cake Base,Dessert Inputs,Raw Material,Closed,6297.84,0.0,1,0,0,0,0.0,6297.84
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,Delhi Bakery Supply Co,ING015,Cheesecake Base,Dessert Inputs,Raw Material,Closed,8601.14,0.0,1,0,0,0,0.0,8601.14
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING004,Cream,Dairy,Raw Material,Closed,4822.52,0.0,1,0,0,0,0.0,4822.52
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING004,Cream,Dairy,Raw Material,Receipt row - no PO status,0.0,5018.22,0,1,0,0,0.0,-5018.22
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,GreenLeaf Produce Delhi,ING029,Onion,Produce,Raw Material,Receipt row - no PO status,0.0,2318.02,0,1,0,0,0.0,-2318.02
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,GreenLeaf Produce Delhi,ING031,Tomato,Produce,Raw Material,Closed,3603.52,0.0,1,0,0,0,0.0,3603.52
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,PackPro Disposables,ING037,Hot Cup,Packaging,Consumable,Closed,3073.66,0.0,1,0,0,0,0.0,3073.66
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,PackPro Disposables,ING039,Straw,Packaging,Consumable,Receipt row - no PO status,0.0,766.52,0,1,0,0,0.0,-766.52
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,PackPro Disposables,ING042,Sandwich Box,Packaging,Consumable,Closed,3533.92,0.0,1,0,0,0,0.0,3533.92
2026-01-10,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Delhi Bakery Supply Co,ING011,Tortilla,Bakery,Raw Material,Closed,5064.78,0.0,1,0,0,0,0.0,5064.78
2026-01-10,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Delhi Bakery Supply Co,ING012,Croissant Base,Bakery,Raw Material,Closed,11686.5,0.0,1,0,0,0,0.0,11686.5
2026-01-10,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,FrozenBerry Traders,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,Closed,14701.99,0.0,1,0,0,0,0.0,14701.99
2026-01-10,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Metro Wholesale Delhi,ING022,Ice,Beverage Inputs,Raw Material,Closed,6230.64,0.0,1,0,0,0,0.0,6230.64
2026-01-10,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,NorthStar Poultry,ING007,Chicken,Protein,Raw Material,Receipt row - no PO status,0.0,13438.8,0,1,0,0,0.0,-13438.8
2026-01-10,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,PackPro Disposables,ING036,Cold Cup,Packaging,Consumable,Closed,5685.24,0.0,1,0,0,0,0.0,5685.24
2026-01-10,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,SpiceRoot Foods,ING034,Salsa,Syrups & Sauces,Raw Material,Pending,5892.21,0.0,1,0,1,1,5892.21,5892.21
2026-01-10,OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,ING002,Milk,Dairy,Raw Material,Receipt row - no PO status,0.0,7827.98,0,1,0,0,0.0,-7827.98
2026-01-10,OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,ING006,Cheese,Dairy,Raw Material,Closed,9152.99,0.0,1,0,0,0,0.0,9152.99
2026-01-10,OUT003,ABNAH Cafe Saket Premium,Saket,FreshDairy Foods NCR,ING006,Cheese,Dairy,Raw Material,Receipt row - no PO status,0.0,8808.38,0,1,0,0,0.0,-8808.38
2026-01-10,OUT003,ABNAH Cafe Saket Premium,Saket,GreenLeaf Produce Delhi,ING028,Lettuce,Produce,Raw Material,Closed,1654.47,0.0,1,0,0,0,0.0,1654.47
2026-01-10,OUT003,ABNAH Cafe Saket Premium,Saket,Metro Wholesale Delhi,ING022,Ice,Beverage Inputs,Raw Material,Closed,4579.06,0.0,1,0,0,0,0.0,4579.06
2026-01-10,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING039,Straw,Packaging,Consumable,Closed,631.06,0.0,1,0,0,0,0.0,631.06
2026-01-10,OUT003,ABNAH Cafe Saket Premium,Saket,PackPro Disposables,ING043,Wrap Packaging,Packaging,Consumable,Closed,4476.33,0.0,1,0,0,0,0.0,4476.33
2026-01-10,OUT003,ABNAH Cafe Saket Premium,Saket,SweetBase Foods,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,Closed,10966.42,0.0,1,0,0,0,0.0,10966.42
2026-01-10,OUT003,ABNAH Cafe Saket Premium,Saket,SweetBase Foods,ING024,Hibiscus Concentrate,Beverage Inputs,Raw Material,Cancelled,7617.81,0.0,1,0,0,0,0.0,7617.81
2026-01-11,OUT001,ABNAH Cafe Connaught Place,Connaught Place,FreshDairy Foods NCR,ING004,Cream,Dairy,Raw Material,Receipt row - no PO status,0.0,4881.45,0,1,0,0,0.0,-4881.45
2026-01-11,OUT001,ABNAH Cafe Connaught Place,Connaught Place,PackPro Disposables,ING037,Hot Cup,Packaging,Consumable,Receipt row - no PO status,0.0,3039.56,0,1,0,0,0.0,-3039.56
