outlet_name,vendor_name,item_name,category_name,po_status,po_raised_value,receipt_booked_value,po_line_count,receipt_line_count,open_or_partial_status_count,pending_or_partial_flag_count,remaining_value_est,po_vs_receipt_gap,activity_value
ABNAH Cafe Hauz Khas,SweetBase Foods,Vanilla Syrup,Syrups & Sauces,Closed,23535.760000000002,0.0,3,0,0,0,0.0,23535.760000000002,23535.760000000002
ABNAH Cafe Connaught Place,SweetBase Foods,Caramel Syrup,Syrups & Sauces,Closed,23081.77,0.0,2,0,0,0,0.0,23081.77,23081.77
ABNAH Cafe Connaught Place,SweetBase Foods,Caramel Syrup,Syrups & Sauces,Receipt row - no PO status,0.0,23004.43,0,2,0,0,0.0,-23004.43,23004.43
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Cheese,Dairy,Closed,22609.3,0.0,2,0,0,0,0.0,22609.3,22609.3
ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Croissant Base,Bakery,Closed,21947.42,0.0,2,0,0,0,0.0,21947.42,21947.42
ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Croissant Base,Bakery,Receipt row - no PO status,0.0,21762.22,0,2,0,0,0.0,-21762.22,21762.22
ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Tortilla,Bakery,Closed,21607.16,0.0,4,0,0,0,0.0,21607.16,21607.16
ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Tortilla,Bakery,Receipt row - no PO status,0.0,21596.83,0,4,0,0,0.0,-21596.83,21596.83
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Butter,Dairy,Receipt row - no PO status,0.0,21316.73,0,2,0,0,0.0,-21316.73,21316.73
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Cheesecake Base,Dessert Inputs,Receipt row - no PO status,0.0,20606.03,0,2,0,0,0.0,-20606.03,20606.03
ABNAH Cafe Saket Premium,SpiceRoot Foods,Pesto Sauce,Syrups & Sauces,Receipt row - no PO status,0.0,20579.35,0,3,0,0,0.0,-20579.35,20579.35
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Cheesecake Base,Dessert Inputs,Closed,20513.71,0.0,2,0,0,0,0.0,20513.71,20513.71
ABNAH Cafe Connaught Place,NorthStar Poultry,Chicken,Protein,Partially Received,19238.29,0.0,1,0,1,1,9311.560947055741,19238.29,19238.29
ABNAH Cafe Connaught Place,PackPro Disposables,Cold Cup,Packaging,Closed,18902.010000000002,0.0,3,0,0,0,0.0,18902.010000000002,18902.010000000002
ABNAH Cafe Hauz Khas,ChocoCraft Ingredients,Chocolate Sauce,Syrups & Sauces,Receipt row - no PO status,0.0,18845.550000000003,0,2,0,0,0.0,-18845.550000000003,18845.550000000003
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Cake Base,Dessert Inputs,Receipt row - no PO status,0.0,18656.13,0,3,0,0,0.0,-18656.13,18656.13
ABNAH Cafe Connaught Place,TeaLeaf Traders NCR,Matcha Powder,Tea Inputs,Closed,18594.0,0.0,1,0,0,0,0.0,18594.0,18594.0
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Paneer,Dairy,Pending,18555.44,0.0,1,0,1,1,18555.44,18555.44,18555.44
ABNAH Cafe Saket Premium,SweetBase Foods,Vanilla Syrup,Syrups & Sauces,Closed,17650.66,0.0,2,0,0,0,0.0,17650.66,17650.66
ABNAH Cafe Hauz Khas,PackPro Disposables,Cold Cup,Packaging,Receipt row - no PO status,0.0,17461.64,0,3,0,0,0.0,-17461.64,17461.64
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Cream,Dairy,Receipt row - no PO status,0.0,17285.83,0,2,0,0,0.0,-17285.83,17285.83
ABNAH Cafe Hauz Khas,PackPro Disposables,Cold Cup,Packaging,Closed,17246.17,0.0,3,0,0,0,0.0,17246.17,17246.17
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Cream,Dairy,Closed,17226.79,0.0,2,0,0,0,0.0,17226.79,17226.79
ABNAH Cafe Hauz Khas,SpiceRoot Foods,Chipotle Sauce,Syrups & Sauces,Receipt row - no PO status,0.0,17087.9,0,2,0,0,0.0,-17087.9,17087.9
ABNAH Cafe Hauz Khas,PackPro Disposables,Hot Cup,Packaging,Receipt row - no PO status,0.0,16986.98,0,3,0,0,0.0,-16986.98,16986.98
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Bagel,Bakery,Receipt row - no PO status,0.0,16954.4,0,4,0,0,0.0,-16954.4,16954.4
ABNAH Cafe Connaught Place,SweetBase Foods,Hibiscus Concentrate,Beverage Inputs,Closed,16931.47,0.0,2,0,0,0,0.0,16931.47,16931.47
ABNAH Cafe Hauz Khas,PackPro Disposables,Hot Cup,Packaging,Closed,16902.43,0.0,3,0,0,0,0.0,16902.43,16902.43
ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Bagel,Bakery,Receipt row - no PO status,0.0,16720.89,0,3,0,0,0.0,-16720.89,16720.89
ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Bagel,Bakery,Closed,16638.190000000002,0.0,3,0,0,0,0.0,16638.190000000002,16638.190000000002
ABNAH Cafe Saket Premium,NorthStar Poultry,Chicken,Protein,Receipt row - no PO status,0.0,16433.44,0,1,0,0,0.0,-16433.44,16433.44
ABNAH Cafe Connaught Place,TeaLeaf Traders NCR,Matcha Powder,Tea Inputs,Receipt row - no PO status,0.0,16370.72,0,1,0,0,0.0,-16370.72,16370.72
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Paneer,Dairy,Cancelled,16342.17,0.0,1,0,0,0,0.0,16342.17,16342.17
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Butter,Dairy,Receipt row - no PO status,0.0,16043.37,0,1,0,0,0.0,-16043.37,16043.37
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Oat Milk,Dairy Alternative,Receipt row - no PO status,0.0,15876.66,0,3,0,0,0.0,-15876.66,15876.66
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Cake Base,Dessert Inputs,Closed,15817.49,0.0,2,0,0,0,0.0,15817.49,15817.49
ABNAH Cafe Connaught Place,PackPro Disposables,Cold Cup,Packaging,Receipt row - no PO status,0.0,15744.4,0,3,0,0,0.0,-15744.4,15744.4
ABNAH Cafe Saket Premium,TeaLeaf Traders NCR,Tea Leaves,Tea Inputs,Receipt row - no PO status,0.0,15251.02,0,1,0,0,0.0,-15251.02,15251.02
ABNAH Cafe Saket Premium,TeaLeaf Traders NCR,Tea Leaves,Tea Inputs,Closed,15250.87,0.0,1,0,0,0,0.0,15250.87,15250.87
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Paneer,Dairy,Partially Received,15219.31,0.0,1,0,1,1,8052.008824583867,15219.31,15219.31
ABNAH Cafe Connaught Place,SweetBase Foods,Hibiscus Concentrate,Beverage Inputs,Receipt row - no PO status,0.0,15163.06,0,2,0,0,0.0,-15163.06,15163.06
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Paneer,Dairy,Receipt row - no PO status,0.0,14947.73,0,2,0,0,0.0,-14947.73,14947.73
ABNAH Cafe Hauz Khas,SweetBase Foods,Vanilla Syrup,Syrups & Sauces,Receipt row - no PO status,0.0,14823.17,0,2,0,0,0.0,-14823.17,14823.17
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Cream,Dairy,Receipt row - no PO status,0.0,14613.14,0,3,0,0,0.0,-14613.14,14613.14
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Butter,Dairy,Closed,14348.02,0.0,1,0,0,0,0.0,14348.02,14348.02
ABNAH Cafe Saket Premium,SpiceRoot Foods,Pesto Sauce,Syrups & Sauces,Closed,13880.970000000001,0.0,2,0,0,0,0.0,13880.970000000001,13880.970000000001
ABNAH Cafe Connaught Place,PackPro Disposables,Hot Cup,Packaging,Closed,13738.09,0.0,3,0,0,0,0.0,13738.09,13738.09
ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Bread,Bakery,Closed,13426.560000000001,0.0,2,0,0,0,0.0,13426.560000000001,13426.560000000001
ABNAH Cafe Hauz Khas,ChocoCraft Ingredients,Chocolate Sauce,Syrups & Sauces,Closed,13361.19,0.0,1,0,0,0,0.0,13361.19,13361.19
ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Bread,Bakery,Receipt row - no PO status,0.0,13281.279999999999,0,2,0,0,0.0,-13281.279999999999,13281.279999999999
ABNAH Cafe Saket Premium,GreenLeaf Produce Delhi,Banana,Produce,Closed,13055.5,0.0,3,0,0,0,0.0,13055.5,13055.5
ABNAH Cafe Hauz Khas,NorthStar Poultry,Chicken,Protein,Pending,12965.1,0.0,1,0,1,1,12965.1,12965.1,12965.1
ABNAH Cafe Saket Premium,GreenLeaf Produce Delhi,Banana,Produce,Receipt row - no PO status,0.0,12961.11,0,3,0,0,0.0,-12961.11,12961.11
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Milk,Dairy,Closed,12489.55,0.0,1,0,0,0,0.0,12489.55,12489.55
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Butter,Dairy,Pending,12417.69,0.0,1,0,1,1,12417.69,12417.69,12417.69
ABNAH Cafe Saket Premium,SweetBase Foods,Caramel Syrup,Syrups & Sauces,Closed,12396.61,0.0,1,0,0,0,0.0,12396.61,12396.61
ABNAH Cafe Saket Premium,SweetBase Foods,Caramel Syrup,Syrups & Sauces,Receipt row - no PO status,0.0,12348.04,0,1,0,0,0.0,-12348.04,12348.04
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Bagel,Bakery,Closed,11989.060000000001,0.0,3,0,0,0,0.0,11989.060000000001,11989.060000000001
ABNAH Cafe Hauz Khas,BeanCraft Roasters Delhi,Coffee Beans,Coffee Inputs,Receipt row - no PO status,0.0,11709.24,0,1,0,0,0.0,-11709.24,11709.24
ABNAH Cafe Saket Premium,NorthStar Poultry,Chicken,Protein,Pending,11673.85,0.0,1,0,1,1,11673.85,11673.85,11673.85
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Milk,Dairy,Partially Received,11639.61,0.0,1,0,1,1,3139.000425131434,11639.61,11639.61
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Cheese,Dairy,Pending,11612.24,0.0,1,0,1,1,11612.240000000002,11612.24,11612.24
ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Cake Base,Dessert Inputs,Closed,11596.63,0.0,1,0,0,0,0.0,11596.63,11596.63
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Croissant Base,Bakery,Pending,11512.94,0.0,1,0,1,1,11512.94,11512.94,11512.94
ABNAH Cafe Hauz Khas,Delhi Bakery Supply Co,Cake Base,Dessert Inputs,Receipt row - no PO status,0.0,11448.01,0,1,0,0,0.0,-11448.01,11448.01
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Bread,Bakery,Closed,11393.86,0.0,2,0,0,0,0.0,11393.86,11393.86
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Bread,Bakery,Receipt row - no PO status,0.0,11374.42,0,2,0,0,0.0,-11374.42,11374.42
ABNAH Cafe Saket Premium,SpiceRoot Foods,Pesto Sauce,Syrups & Sauces,Partially Received,11302.22,0.0,1,0,1,1,4739.898486562941,11302.22,11302.22
ABNAH Cafe Connaught Place,SpiceRoot Foods,Pesto Sauce,Syrups & Sauces,Partially Received,11150.4,0.0,1,0,1,1,4930.202169197397,11150.4,11150.4
ABNAH Cafe Hauz Khas,SpiceRoot Foods,Chipotle Sauce,Syrups & Sauces,Closed,11072.85,0.0,1,0,0,0,0.0,11072.85,11072.85
ABNAH Cafe Saket Premium,SweetBase Foods,Vanilla Syrup,Syrups & Sauces,Receipt row - no PO status,0.0,11068.62,0,1,0,0,0.0,-11068.62,11068.62
ABNAH Cafe Hauz Khas,SpiceRoot Foods,Chipotle Sauce,Syrups & Sauces,Partially Received,11015.72,0.0,1,0,1,1,4963.701570614313,11015.72,11015.72
ABNAH Cafe Saket Premium,PackPro Disposables,Cold Cup,Packaging,Receipt row - no PO status,0.0,11014.56,0,2,0,0,0.0,-11014.56,11014.56
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Paneer,Dairy,Closed,10952.46,0.0,1,0,0,0,0.0,10952.46,10952.46
ABNAH Cafe Hauz Khas,GreenLeaf Produce Delhi,Banana,Produce,Receipt row - no PO status,0.0,10938.39,0,2,0,0,0.0,-10938.39,10938.39
ABNAH Cafe Saket Premium,PackPro Disposables,Sandwich Box,Packaging,Closed,10876.41,0.0,4,0,0,0,0.0,10876.41,10876.41
ABNAH Cafe Hauz Khas,GreenLeaf Produce Delhi,Banana,Produce,Closed,10775.17,0.0,2,0,0,0,0.0,10775.17,10775.17
ABNAH Cafe Saket Premium,PackPro Disposables,Hot Cup,Packaging,Receipt row - no PO status,0.0,10738.84,0,3,0,0,0.0,-10738.84,10738.84
ABNAH Cafe Saket Premium,ChocoCraft Ingredients,Chocolate Sauce,Syrups & Sauces,Receipt row - no PO status,0.0,10735.17,0,1,0,0,0.0,-10735.17,10735.17
ABNAH Cafe Connaught Place,PackPro Disposables,Dessert Box,Packaging,Closed,10733.93,0.0,3,0,0,0,0.0,10733.93,10733.93
ABNAH Cafe Hauz Khas,ChocoCraft Ingredients,Chocolate Sauce,Syrups & Sauces,Partially Received,10717.09,0.0,1,0,1,1,5452.659395037636,10717.09,10717.09
ABNAH Cafe Saket Premium,PackPro Disposables,Sandwich Box,Packaging,Receipt row - no PO status,0.0,10661.42,0,4,0,0,0.0,-10661.42,10661.42
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Tortilla,Bakery,Pending,10602.279999999999,0.0,2,0,2,2,10602.279999999999,10602.279999999999,10602.279999999999
ABNAH Cafe Saket Premium,ChocoCraft Ingredients,Chocolate Sauce,Syrups & Sauces,Closed,10592.35,0.0,1,0,0,0,0.0,10592.35,10592.35
ABNAH Cafe Connaught Place,PackPro Disposables,Dessert Box,Packaging,Receipt row - no PO status,0.0,10591.66,0,3,0,0,0.0,-10591.66,10591.66
ABNAH Cafe Saket Premium,PackPro Disposables,Hot Cup,Packaging,Partially Received,10523.18,0.0,2,0,2,2,5033.057330153432,10523.18,10523.18
ABNAH Cafe Connaught Place,GreenLeaf Produce Delhi,Onion,Produce,Closed,10290.949999999999,0.0,4,0,0,0,0.0,10290.949999999999,10290.949999999999
ABNAH Cafe Hauz Khas,Metro Wholesale Delhi,Ice,Beverage Inputs,Receipt row - no PO status,0.0,10200.55,0,2,0,0,0.0,-10200.55,10200.55
ABNAH Cafe Hauz Khas,Metro Wholesale Delhi,Ice,Beverage Inputs,Closed,10133.04,0.0,2,0,0,0,0.0,10133.04,10133.04
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Butter,Dairy,Partially Received,10001.57,0.0,1,0,1,1,2802.987770700637,10001.57,10001.57
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Cream,Dairy,Closed,9772.01,0.0,2,0,0,0,0.0,9772.01,9772.01
ABNAH Cafe Connaught Place,GreenLeaf Produce Delhi,Onion,Produce,Receipt row - no PO status,0.0,9541.4,0,4,0,0,0.0,-9541.4,9541.4
ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Croissant Base,Bakery,Cancelled,9276.44,0.0,1,0,0,0,0.0,9276.44,9276.44
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Paneer,Dairy,Partially Received,9227.43,0.0,1,0,1,1,4960.9838709677415,9227.43,9227.43
ABNAH Cafe Hauz Khas,SweetBase Foods,Hibiscus Concentrate,Beverage Inputs,Closed,9052.1,0.0,1,0,0,0,0.0,9052.1,9052.1
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Oat Milk,Dairy Alternative,Partially Received,8938.17,0.0,1,0,1,1,1784.2210373355963,8938.17,8938.17
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Oat Milk,Dairy Alternative,Closed,8624.28,0.0,2,0,0,0,0.0,8624.28,8624.28
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Paneer,Dairy,Closed,8599.99,0.0,1,0,0,0,0.0,8599.99,8599.99
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Paneer,Dairy,Receipt row - no PO status,0.0,8434.37,0,1,0,0,0.0,-8434.37,8434.37
ABNAH Cafe Hauz Khas,SweetBase Foods,Hibiscus Concentrate,Beverage Inputs,Receipt row - no PO status,0.0,8080.01,0,1,0,0,0.0,-8080.01,8080.01
ABNAH Cafe Connaught Place,BeanCraft Roasters Delhi,Coffee Beans,Coffee Inputs,Closed,8068.53,0.0,1,0,0,0,0.0,8068.53,8068.53
ABNAH Cafe Connaught Place,ChocoCraft Ingredients,Chocolate Sauce,Syrups & Sauces,Closed,8064.4,0.0,1,0,0,0,0.0,8064.4,8064.4
ABNAH Cafe Connaught Place,PackPro Disposables,Hot Cup,Packaging,Receipt row - no PO status,0.0,8053.450000000001,0,2,0,0,0.0,-8053.450000000001,8053.450000000001
ABNAH Cafe Connaught Place,BeanCraft Roasters Delhi,Coffee Beans,Coffee Inputs,Receipt row - no PO status,0.0,7971.05,0,1,0,0,0.0,-7971.05,7971.05
ABNAH Cafe Connaught Place,TeaLeaf Traders NCR,Tea Leaves,Tea Inputs,Closed,7933.27,0.0,1,0,0,0,0.0,7933.27,7933.27
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Milk,Dairy,Closed,7848.45,0.0,1,0,0,0,0.0,7848.45,7848.45
ABNAH Cafe Connaught Place,TeaLeaf Traders NCR,Tea Leaves,Tea Inputs,Receipt row - no PO status,0.0,7835.31,0,1,0,0,0.0,-7835.31,7835.31
ABNAH Cafe Saket Premium,FreshDairy Foods NCR,Milk,Dairy,Receipt row - no PO status,0.0,7827.98,0,1,0,0,0.0,-7827.98,7827.98
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Tortilla,Bakery,Receipt row - no PO status,0.0,7658.17,0,2,0,0,0.0,-7658.17,7658.17
ABNAH Cafe Saket Premium,SweetBase Foods,Hibiscus Concentrate,Beverage Inputs,Cancelled,7617.81,0.0,1,0,0,0,0.0,7617.81,7617.81
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Tortilla,Bakery,Closed,7601.4800000000005,0.0,2,0,0,0,0.0,7601.4800000000005,7601.4800000000005
ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Cake Base,Dessert Inputs,Closed,7286.38,0.0,1,0,0,0,0.0,7286.38,7286.38
ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Cake Base,Dessert Inputs,Receipt row - no PO status,0.0,7262.49,0,1,0,0,0.0,-7262.49,7262.49
ABNAH Cafe Saket Premium,SpiceRoot Foods,Chipotle Sauce,Syrups & Sauces,Receipt row - no PO status,0.0,7257.04,0,1,0,0,0.0,-7257.04,7257.04
ABNAH Cafe Saket Premium,SpiceRoot Foods,Chipotle Sauce,Syrups & Sauces,Closed,7211.9,0.0,1,0,0,0,0.0,7211.9,7211.9
ABNAH Cafe Saket Premium,PackPro Disposables,Cold Cup,Packaging,Closed,7154.93,0.0,1,0,0,0,0.0,7154.93,7154.93
ABNAH Cafe Hauz Khas,SweetBase Foods,Hibiscus Concentrate,Beverage Inputs,Pending,7108.25,0.0,1,0,1,1,7108.25,7108.25,7108.25
ABNAH Cafe Connaught Place,PackPro Disposables,Wrap Packaging,Packaging,Closed,7013.98,0.0,2,0,0,0,0.0,7013.98,7013.98
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Cream,Dairy,Partially Received,6987.5,0.0,1,0,1,1,2556.345705725699,6987.5,6987.5
ABNAH Cafe Saket Premium,PackPro Disposables,Lid,Packaging,Receipt row - no PO status,0.0,6970.45,0,4,0,0,0.0,-6970.45,6970.45
ABNAH Cafe Connaught Place,Delhi Bakery Supply Co,Bagel,Bakery,Partially Received,6624.34,0.0,1,0,1,1,1683.446404347826,6624.34,6624.34
ABNAH Cafe Hauz Khas,FreshDairy Foods NCR,Cream,Dairy,Closed,6583.63,0.0,1,0,0,0,0.0,6583.63,6583.63
ABNAH Cafe Saket Premium,SpiceRoot Foods,Salsa,Syrups & Sauces,Closed,6543.76,0.0,1,0,0,0,0.0,6543.76,6543.76
ABNAH Cafe Saket Premium,GreenLeaf Produce Delhi,Tomato,Produce,Receipt row - no PO status,0.0,6510.02,0,2,0,0,0.0,-6510.02,6510.02
ABNAH Cafe Connaught Place,FreshDairy Foods NCR,Cream,Dairy,Partially Received,6475.91,0.0,1,0,1,1,1770.1854567225455,6475.91,6475.91
ABNAH Cafe Hauz Khas,PackPro Disposables,Wrap Packaging,Packaging,Closed,6445.16,0.0,2,0,0,0,0.0,6445.16,6445.16
ABNAH Cafe Saket Premium,PackPro Disposables,Wrap Packaging,Packaging,Receipt row - no PO status,0.0,6423.469999999999,0,2,0,0,0.0,-6423.469999999999,6423.469999999999
ABNAH Cafe Hauz Khas,PackPro Disposables,Wrap Packaging,Packaging,Receipt row - no PO status,0.0,6393.030000000001,0,2,0,0,0.0,-6393.030000000001,6393.030000000001
ABNAH Cafe Saket Premium,PackPro Disposables,Wrap Packaging,Packaging,Closed,6379.43,0.0,2,0,0,0,0.0,6379.43,6379.43
ABNAH Cafe Connaught Place,SpiceRoot Foods,Chipotle Sauce,Syrups & Sauces,Closed,6176.06,0.0,1,0,0,0,0.0,6176.06,6176.06
ABNAH Cafe Saket Premium,PackPro Disposables,Dessert Box,Packaging,Receipt row - no PO status,0.0,6060.11,0,2,0,0,0.0,-6060.11,6060.11
ABNAH Cafe Connaught Place,SpiceRoot Foods,Pesto Sauce,Syrups & Sauces,Receipt row - no PO status,0.0,5995.7,0,1,0,0,0.0,-5995.7,5995.7
ABNAH Cafe Connaught Place,SweetBase Foods,Sugar Syrup,Syrups & Sauces,Partially Received,5980.31,0.0,1,0,1,1,2217.0029477216535,5980.31,5980.31
ABNAH Cafe Connaught Place,GreenLeaf Produce Delhi,Lemon,Produce,Closed,5915.14,0.0,1,0,0,0,0.0,5915.14,5915.14
ABNAH Cafe Connaught Place,GreenLeaf Produce Delhi,Lemon,Produce,Receipt row - no PO status,0.0,5914.22,0,1,0,0,0.0,-5914.22,5914.22
ABNAH Cafe Saket Premium,ChocoCraft Ingredients,Brownie Base,Dessert Inputs,Partially Received,5908.26,0.0,1,0,1,1,1626.74092,5908.26,5908.26
ABNAH Cafe Hauz Khas,SpiceRoot Foods,Salsa,Syrups & Sauces,Pending,5892.21,0.0,1,0,1,1,5892.21,5892.21,5892.21
ABNAH Cafe Connaught Place,GreenLeaf Produce Delhi,Tomato,Produce,Receipt row - no PO status,0.0,5674.450000000001,0,2,0,0,0.0,-5674.450000000001,5674.450000000001
ABNAH Cafe Saket Premium,PackPro Disposables,Cold Cup,Packaging,Partially Received,5619.04,0.0,1,0,1,1,1706.6556945454545,5619.04,5619.04
ABNAH Cafe Hauz Khas,PackPro Disposables,Sandwich Box,Packaging,Receipt row - no PO status,0.0,5505.03,0,1,0,0,0.0,-5505.03,5505.03
ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Tortilla,Bakery,Receipt row - no PO status,0.0,5496.58,0,1,0,0,0.0,-5496.58,5496.58
ABNAH Cafe Hauz Khas,PackPro Disposables,Sandwich Box,Packaging,Closed,5496.44,0.0,1,0,0,0,0.0,5496.44,5496.44
ABNAH Cafe Saket Premium,Delhi Bakery Supply Co,Tortilla,Bakery,Closed,5458.32,0.0,1,0,0,0,0.0,5458.32,5458.32
