outlet_code,outlet_name,market_area,ingredient_name,ingredient_unit,total_theoretical_qty,source_menu_items,sales_rows,item_code,category_name,super_category_name,top_menu_items
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Bread,pcs,244.0,10,111,ING009,Bakery,Raw Material,"Chicken Pepperoni Avocado Toast, Chilli Cheese Garlic Toast, Hummus and Pita Platter, Marinara Cheese Pin Wheels, Masala Egg Bun, +5 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Sandwich Box,pcs,210.0,14,153,,,,"Chicken Pepperoni Avocado Toast, Chilli Cheese Garlic Toast, Cream Cheese Bagel, Hummus and Pita Platter, Marinara Cheese Pin Wheels, +9 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Cake Base,pcs,160.25,10,138,ING014,Dessert Inputs,Raw Material,"Apple Pie, Banana Walnut Tea Cake, Banoffee Pie, Breakfast Pancakes, Death by Chocolate Cookie, +5 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Croissant Base,pcs,156.0,8,114,ING012,Bakery,Raw Material,"Almond Croissant, Butter Croissant, Chocolate Croissant, Cinnamon Roll with Cream Cheese, Mushroom Cheese Croissant, +3 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Ice,kg,103.62,36,523,ING022,Beverage Inputs,Raw Material,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Choco Chip Shake - Large, Choco Chip Shake - Medium, +31 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Tortilla,pcs,61.0,2,40,ING011,Bakery,Raw Material,"Shredded Chicken Wrap, Spicy Paneer Wrap"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Wrap Packaging,pcs,61.0,2,40,,,,"Shredded Chicken Wrap, Spicy Paneer Wrap"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Coffee Beans,kg,30.8856,56,933,ING001,Coffee Inputs,Raw Material,"Americano - Large, Americano - Medium, Americano - Regular, Cappuccino - Large, Cappuccino - Medium, +51 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Sugar Syrup,litre,30.673099999999998,75,1146,ING019,Syrups & Sauces,Raw Material,"Americano - Large, Americano - Medium, Americano - Regular, Babyccino - Regular, Breakfast Pancakes, +70 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Egg,pcs,26.0,1,11,ING008,Protein,Raw Material,Masala Egg Bun
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Bagel,pcs,22.0,2,19,ING010,Bakery,Raw Material,"Cream Cheese Bagel, Scallion Pepper Cream Cheese Bagel"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Cheesecake Base,pcs,21.0,1,17,ING015,Dessert Inputs,Raw Material,Basque Cheesecake
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Brownie Base,pcs,19.0,1,12,ING013,Dessert Inputs,Raw Material,Classic Chocolate Fudge Brownie
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Chocolate Sauce,litre,13.6803,22,300,ING016,Syrups & Sauces,Raw Material,"Choco Chip Shake - Large, Choco Chip Shake - Medium, Choco Chip Shake - Regular, Chocolate Croissant, Classic Chocolate Fudge Brownie, +17 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Oat Milk,litre,12.933,3,50,ING003,Dairy Alternative,Raw Material,"Vegan Iced Latte - Large, Vegan Iced Latte - Medium, Vegan Iced Latte - Regular"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Chicken,kg,10.96,6,82,ING007,Protein,Raw Material,"Chicken Pepperoni Avocado Toast, Pepper Chicken Sandwich, Shredded Chicken Wrap, Sriracha Chicken Croissant, Tandoori Chicken Sandwich, +1 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Paneer,kg,8.98,4,61,ING005,Dairy,Raw Material,"Pesto Veg Sandwich, Smoked Chipotle Paneer Sandwich, Spicy Paneer Wrap, Turnover with Brioche Dough Veg"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Cream,litre,7.4287,19,213,ING004,Dairy,Raw Material,"Apple Pie, Banana Walnut Tea Cake, Banoffee Pie, Basque Cheesecake, Choco Chip Shake - Large, +14 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Cheese,kg,6.525,14,164,ING006,Dairy,Raw Material,"Chicken Pepperoni Avocado Toast, Chilli Cheese Garlic Toast, Cream Cheese Bagel, Marinara Cheese Pin Wheels, Masala Egg Bun, +9 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Lemon,kg,4.5205,6,88,ING023,Produce,Raw Material,"Coffee Lemonade - Large, Coffee Lemonade - Medium, Coffee Lemonade - Regular, Lemon Iced Tea - Large, Lemon Iced Tea - Medium, +1 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Caramel Syrup,litre,4.4324,7,109,ING017,Syrups & Sauces,Raw Material,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Caramel Macchiato - Large, Caramel Macchiato - Medium, +2 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Butter,kg,3.8850000000000002,9,139,ING027,Dairy,Raw Material,"Almond Croissant, Breakfast Pancakes, Butter Croissant, Chocolate Croissant, Death by Chocolate Cookie, +4 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Banana,kg,3.868,4,36,ING026,Produce,Raw Material,"Banana Walnut Tea Cake, Seasonal Smoothie - Large, Seasonal Smoothie - Medium, Seasonal Smoothie - Regular"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Mixed Berry Pulp,kg,3.572,3,30,ING025,Fruit Inputs,Raw Material,"Mixed Berry Shake - Large, Mixed Berry Shake - Medium, Mixed Berry Shake - Regular"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Lettuce,kg,3.365,7,102,ING028,Produce,Raw Material,"Hummus and Pita Platter, Pepper Chicken Sandwich, Pesto Veg Sandwich, Shredded Chicken Wrap, Smoked Chipotle Paneer Sandwich, +2 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Tomato,kg,2.73,5,62,ING031,Produce,Raw Material,"Hummus and Pita Platter, Pepper Chicken Sandwich, Pesto Veg Sandwich, Smoked Chipotle Paneer Sandwich, Tandoori Chicken Sandwich"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Hibiscus Concentrate,litre,2.7032000000000003,3,48,ING024,Beverage Inputs,Raw Material,"Hibiscus Lime Iced Tea - Large, Hibiscus Lime Iced Tea - Medium, Hibiscus Lime Iced Tea - Regular"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Chipotle Sauce,kg,2.685,5,80,ING033,Syrups & Sauces,Raw Material,"Pepper Chicken Sandwich, Shredded Chicken Wrap, Smoked Chipotle Paneer Sandwich, Spicy Paneer Wrap, Tandoori Chicken Sandwich"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Vanilla Syrup,litre,1.7975,3,42,ING018,Syrups & Sauces,Raw Material,"French Vanilla Latte - Large, French Vanilla Latte - Medium, French Vanilla Latte - Regular"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Capsicum,kg,1.5250000000000001,2,40,ING030,Produce,Raw Material,"Shredded Chicken Wrap, Spicy Paneer Wrap"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Onion,kg,1.22,2,40,ING029,Produce,Raw Material,"Shredded Chicken Wrap, Spicy Paneer Wrap"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Pesto Sauce,kg,1.0,2,30,ING032,Syrups & Sauces,Raw Material,"Pesto Sundried Tomato Pin Wheel, Pesto Veg Sandwich"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Tea Leaves,kg,0.7034,7,105,ING020,Tea Inputs,Raw Material,"Hibiscus Lime Iced Tea - Large, Hibiscus Lime Iced Tea - Medium, Hibiscus Lime Iced Tea - Regular, Himalayan Green Tea, Lemon Iced Tea - Large, +2 more"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Aioli,kg,0.48,3,17,ING035,Syrups & Sauces,Raw Material,"Chicken Pepperoni Avocado Toast, Chilli Cheese Garlic Toast, Hummus and Pita Platter"
OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,Salsa,kg,0.45,1,13,,,,Marinara Cheese Pin Wheels
OUT003,ABNAH Cafe Saket Premium,Saket,Napkin,pcs,3035.0,110,1731,,,,"Almond Croissant, Americano - Large, Americano - Medium, Americano - Regular, Apple Pie, +105 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Lid,pcs,1950.0,76,1224,,,,"Americano - Large, Americano - Medium, Americano - Regular, Babyccino - Regular, Cappuccino - Large, +71 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Hot Cup,pcs,1163.0,40,685,ING037,Packaging,Consumable,"Americano - Large, Americano - Medium, Americano - Regular, Babyccino - Regular, Cappuccino - Large, +35 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Cold Cup,pcs,787.0,36,539,ING036,Packaging,Consumable,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Choco Chip Shake - Large, Choco Chip Shake - Medium, +31 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Straw,pcs,787.0,36,539,,,,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Choco Chip Shake - Large, Choco Chip Shake - Medium, +31 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Dessert Box,pcs,458.0,18,316,,,,"Almond Croissant, Apple Pie, Banana Walnut Tea Cake, Banoffee Pie, Basque Cheesecake, +13 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Milk,litre,296.509,52,889,ING002,Dairy,Raw Material,"Babyccino - Regular, Cappuccino - Large, Cappuccino - Medium, Cappuccino - Regular, Caramel Cold Coffee - Large, +47 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Bread,pcs,230.0,10,116,ING009,Bakery,Raw Material,"Chicken Pepperoni Avocado Toast, Chilli Cheese Garlic Toast, Hummus and Pita Platter, Marinara Cheese Pin Wheels, Masala Egg Bun, +5 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Cake Base,pcs,218.15,10,172,ING014,Dessert Inputs,Raw Material,"Apple Pie, Banana Walnut Tea Cake, Banoffee Pie, Breakfast Pancakes, Death by Chocolate Cookie, +5 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Sandwich Box,pcs,187.0,14,151,,,,"Chicken Pepperoni Avocado Toast, Chilli Cheese Garlic Toast, Cream Cheese Bagel, Hummus and Pita Platter, Marinara Cheese Pin Wheels, +9 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Croissant Base,pcs,162.0,8,119,ING012,Bakery,Raw Material,"Almond Croissant, Butter Croissant, Chocolate Croissant, Cinnamon Roll with Cream Cheese, Mushroom Cheese Croissant, +3 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Ice,kg,106.644,36,539,ING022,Beverage Inputs,Raw Material,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Choco Chip Shake - Large, Choco Chip Shake - Medium, +31 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Tortilla,pcs,57.0,2,40,ING011,Bakery,Raw Material,"Shredded Chicken Wrap, Spicy Paneer Wrap"
OUT003,ABNAH Cafe Saket Premium,Saket,Wrap Packaging,pcs,57.0,2,40,,,,"Shredded Chicken Wrap, Spicy Paneer Wrap"
OUT003,ABNAH Cafe Saket Premium,Saket,Egg,pcs,36.0,1,16,ING008,Protein,Raw Material,Masala Egg Bun
OUT003,ABNAH Cafe Saket Premium,Saket,Coffee Beans,kg,34.2099,56,1015,ING001,Coffee Inputs,Raw Material,"Americano - Large, Americano - Medium, Americano - Regular, Cappuccino - Large, Cappuccino - Medium, +51 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Cheesecake Base,pcs,34.0,1,21,ING015,Dessert Inputs,Raw Material,Basque Cheesecake
OUT003,ABNAH Cafe Saket Premium,Saket,Sugar Syrup,litre,33.3661,75,1230,ING019,Syrups & Sauces,Raw Material,"Americano - Large, Americano - Medium, Americano - Regular, Babyccino - Regular, Breakfast Pancakes, +70 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Brownie Base,pcs,31.0,1,20,ING013,Dessert Inputs,Raw Material,Classic Chocolate Fudge Brownie
OUT003,ABNAH Cafe Saket Premium,Saket,Bagel,pcs,25.0,2,19,ING010,Bakery,Raw Material,"Cream Cheese Bagel, Scallion Pepper Cream Cheese Bagel"
OUT003,ABNAH Cafe Saket Premium,Saket,Oat Milk,litre,22.518,3,61,ING003,Dairy Alternative,Raw Material,"Vegan Iced Latte - Large, Vegan Iced Latte - Medium, Vegan Iced Latte - Regular"
OUT003,ABNAH Cafe Saket Premium,Saket,Chocolate Sauce,litre,16.3486,22,350,ING016,Syrups & Sauces,Raw Material,"Choco Chip Shake - Large, Choco Chip Shake - Medium, Choco Chip Shake - Regular, Chocolate Croissant, Classic Chocolate Fudge Brownie, +17 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Chicken,kg,10.770000000000001,6,87,ING007,Protein,Raw Material,"Chicken Pepperoni Avocado Toast, Pepper Chicken Sandwich, Shredded Chicken Wrap, Sriracha Chicken Croissant, Tandoori Chicken Sandwich, +1 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Cream,litre,10.4292,19,281,ING004,Dairy,Raw Material,"Apple Pie, Banana Walnut Tea Cake, Banoffee Pie, Basque Cheesecake, Choco Chip Shake - Large, +14 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Paneer,kg,8.0,4,61,ING005,Dairy,Raw Material,"Pesto Veg Sandwich, Smoked Chipotle Paneer Sandwich, Spicy Paneer Wrap, Turnover with Brioche Dough Veg"
OUT003,ABNAH Cafe Saket Premium,Saket,Cheese,kg,6.0600000000000005,14,162,ING006,Dairy,Raw Material,"Chicken Pepperoni Avocado Toast, Chilli Cheese Garlic Toast, Cream Cheese Bagel, Marinara Cheese Pin Wheels, Masala Egg Bun, +9 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Banana,kg,5.998,4,58,ING026,Produce,Raw Material,"Banana Walnut Tea Cake, Seasonal Smoothie - Large, Seasonal Smoothie - Medium, Seasonal Smoothie - Regular"
OUT003,ABNAH Cafe Saket Premium,Saket,Caramel Syrup,litre,5.2626,7,130,ING017,Syrups & Sauces,Raw Material,"Caramel Cold Coffee - Large, Caramel Cold Coffee - Medium, Caramel Cold Coffee - Regular, Caramel Macchiato - Large, Caramel Macchiato - Medium, +2 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Mixed Berry Pulp,kg,4.748,3,43,ING025,Fruit Inputs,Raw Material,"Mixed Berry Shake - Large, Mixed Berry Shake - Medium, Mixed Berry Shake - Regular"
OUT003,ABNAH Cafe Saket Premium,Saket,Butter,kg,4.325,9,146,ING027,Dairy,Raw Material,"Almond Croissant, Breakfast Pancakes, Butter Croissant, Chocolate Croissant, Death by Chocolate Cookie, +4 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Lemon,kg,4.1717,6,76,ING023,Produce,Raw Material,"Coffee Lemonade - Large, Coffee Lemonade - Medium, Coffee Lemonade - Regular, Lemon Iced Tea - Large, Lemon Iced Tea - Medium, +1 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Lettuce,kg,3.2150000000000003,7,109,ING028,Produce,Raw Material,"Hummus and Pita Platter, Pepper Chicken Sandwich, Pesto Veg Sandwich, Shredded Chicken Wrap, Smoked Chipotle Paneer Sandwich, +2 more"
OUT003,ABNAH Cafe Saket Premium,Saket,Tomato,kg,2.67,5,69,ING031,Produce,Raw Material,"Hummus and Pita Platter, Pepper Chicken Sandwich, Pesto Veg Sandwich, Smoked Chipotle Paneer Sandwich, Tandoori Chicken Sandwich"
OUT003,ABNAH Cafe Saket Premium,Saket,Chipotle Sauce,kg,2.665,5,89,ING033,Syrups & Sauces,Raw Material,"Pepper Chicken Sandwich, Shredded Chicken Wrap, Smoked Chipotle Paneer Sandwich, Spicy Paneer Wrap, Tandoori Chicken Sandwich"
