activity_date,outlet_code,outlet_name,market_area,net_sales,sold_qty,sales_line_count,po_value,open_or_partial_po_count,pending_or_partial_po_count,remaining_value_est,receipt_value,inventory_value,low_stock_item_count,watch_stock_item_count,event_count,event_names,health_note
2026-01-05,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,16573.88,63,47,0.0,0.0,0.0,0.0,12059.91,413089.81,1,3,0.0,,Normal
2026-01-05,OUT003,ABNAH Cafe Saket Premium,Saket,17740.27,69,51,0.0,0.0,0.0,0.0,1297.07,394726.3,0,7,0.0,,Normal
2026-01-06,OUT001,ABNAH Cafe Connaught Place,Connaught Place,20049.75,76,48,0.0,0.0,0.0,0.0,15055.92,429990.8,0,4,0.0,,Normal
2026-01-06,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,19896.61,75,57,0.0,0.0,0.0,0.0,10639.52,412354.17,1,3,0.0,,Normal
2026-01-06,OUT003,ABNAH Cafe Saket Premium,Saket,19049.6,76,58,0.0,0.0,0.0,0.0,0.0,389290.97,0,7,0.0,,Normal
2026-01-07,OUT001,ABNAH Cafe Connaught Place,Connaught Place,24921.010000000002,95,51,35041.14,2.0,2.0,4035.5529477216533,2582.22,422978.96,0,4,0.0,,Normal
2026-01-07,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,16548.3,62,41,44631.51,2.0,2.0,9664.5957057257,48534.08,454706.26,1,3,0.0,,Normal
2026-01-07,OUT003,ABNAH Cafe Saket Premium,Saket,18919.29,71,51,55924.24,1.0,1.0,7107.221295403408,11215.05,396928.3,1,6,0.0,,Normal
2026-01-08,OUT001,ABNAH Cafe Connaught Place,Connaught Place,20773.77,79,51,0.0,0.0,0.0,0.0,19768.83,441125.97,0,4,0.0,,Normal
2026-01-08,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,15874.47,62,47,0.0,0.0,0.0,0.0,17532.48,463578.02999999997,1,3,0.0,,Normal
2026-01-08,OUT003,ABNAH Cafe Saket Premium,Saket,14704.87,58,48,0.0,0.0,0.0,0.0,7356.93,394104.27,1,6,0.0,,Normal
2026-01-09,OUT001,ABNAH Cafe Connaught Place,Connaught Place,26256.34,104,59,0.0,0.0,0.0,0.0,3169.35,437667.32,0,4,0.0,,Normal
2026-01-09,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,24662.989999999998,94,58,0.0,0.0,0.0,0.0,4438.56,463461.9,1,3,0.0,,Normal
2026-01-09,OUT003,ABNAH Cafe Saket Premium,Saket,25499.86,97,67,0.0,0.0,0.0,0.0,24156.68,412991.17,1,5,0.0,,Normal
2026-01-10,OUT001,ABNAH Cafe Connaught Place,Connaught Place,14982.48,59,39,43992.08,1.0,1.0,4123.88,8102.76,442643.69,0,4,0.0,,Normal
2026-01-10,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,22928.510000000002,92,57,49261.36,1.0,1.0,5892.21,13438.8,474442.17,1,3,0.0,,Normal
2026-01-10,OUT003,ABNAH Cafe Saket Premium,Saket,27953.62,107,65,39078.14,0.0,0.0,0.0,16636.36,427831.5,1,5,0.0,,Normal
2026-01-11,OUT001,ABNAH Cafe Connaught Place,Connaught Place,8522.47,32,29,0.0,0.0,0.0,0.0,11507.439999999999,446881.01,0,4,0.0,,Normal
2026-01-11,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,19756.83,80,49,0.0,0.0,0.0,0.0,11438.52,483644.86,1,4,0.0,,Normal
2026-01-11,OUT003,ABNAH Cafe Saket Premium,Saket,22649.78,90,54,0.0,0.0,0.0,0.0,25394.32,442054.68,1,5,0.0,,Normal
2026-01-12,OUT001,ABNAH Cafe Connaught Place,Connaught Place,22517.14,87,56,0.0,0.0,0.0,0.0,0.0,443470.55,0,4,0.0,,Normal
2026-01-12,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,15889.42,63,44,0.0,0.0,0.0,0.0,5771.38,491551.31,1,4,0.0,,Normal
2026-01-12,OUT003,ABNAH Cafe Saket Premium,Saket,14994.99,59,42,0.0,0.0,0.0,0.0,0.0,439300.53,1,5,0.0,,Normal
2026-01-13,OUT001,ABNAH Cafe Connaught Place,Connaught Place,23376.16,92,55,50127.24,2.0,2.0,10007.982169197396,28155.42,465208.74,0,4,0.0,,Normal
2026-01-13,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,19494.87,76,53,53812.2,1.0,1.0,4963.701570614313,25220.27,513423.93,2,3,0.0,,Normal
2026-01-13,OUT003,ABNAH Cafe Saket Premium,Saket,20035.27,77,49,26039.78,2.0,2.0,2726.9459972626933,6127.11,439445.11,1,4,0.0,,Normal
2026-01-14,OUT001,ABNAH Cafe Connaught Place,Connaught Place,23081.33,89,55,0.0,0.0,0.0,0.0,5995.7,465062.9,1,3,0.0,,Normal
2026-01-14,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,19135.79,78,51,0.0,0.0,0.0,0.0,19714.43,527045.17,2,3,0.0,,Normal
2026-01-14,OUT003,ABNAH Cafe Saket Premium,Saket,24317.74,93,62,0.0,0.0,0.0,0.0,5461.34,439639.27,1,4,0.0,,Normal
2026-01-15,OUT001,ABNAH Cafe Connaught Place,Connaught Place,22969.73,91,53,0.0,0.0,0.0,0.0,18703.22,477860.98,1,3,1.0,Coffee Subscription Launch,Event Day
2026-01-15,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,18924.71,72,49,0.0,0.0,0.0,0.0,28294.14,552717.08,2,2,0.0,,Normal
2026-01-15,OUT003,ABNAH Cafe Saket Premium,Saket,19814.09,76,48,0.0,0.0,0.0,0.0,0.0,437769.08,1,4,1.0,Coffee Subscription Launch,Event Day
2026-01-16,OUT001,ABNAH Cafe Connaught Place,Connaught Place,30632.15,119,62,48670.74,2.0,2.0,1854.5956918593656,15273.71,482309.3,1,3,1.0,Coffee Subscription Launch,Event Day
2026-01-16,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,20544.64,79,54,62928.53999999999,1.0,1.0,3705.1399999999994,0.0,545074.89,2,2,0.0,,Normal
2026-01-16,OUT003,ABNAH Cafe Saket Premium,Saket,25305.55,97,58,66785.24,0.0,0.0,0.0,17889.1,451269.19,1,4,1.0,Coffee Subscription Launch,Event Day
2026-01-17,OUT001,ABNAH Cafe Connaught Place,Connaught Place,15356.28,59,40,0.0,0.0,0.0,0.0,24585.27,502775.75,1,3,0.0,,Normal
2026-01-17,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,25320.12,96,61,0.0,0.0,0.0,0.0,10017.41,546614.78,2,2,0.0,,Normal
2026-01-17,OUT003,ABNAH Cafe Saket Premium,Saket,29737.2,113,71,0.0,0.0,0.0,0.0,28085.120000000003,471139.05,1,4,0.0,,Normal
2026-01-18,OUT001,ABNAH Cafe Connaught Place,Connaught Place,9652.0,38,31,0.0,0.0,0.0,0.0,2843.11,502208.25,1,3,0.0,,Normal
2026-01-18,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,20580.05,80,49,0.0,0.0,0.0,0.0,5475.38,550165.42,1,3,0.0,,Normal
2026-01-18,OUT003,ABNAH Cafe Saket Premium,Saket,29589.84,111,65,0.0,0.0,0.0,0.0,14782.69,478832.59,1,4,0.0,,Normal
2026-01-19,OUT001,ABNAH Cafe Connaught Place,Connaught Place,22600.23,86,54,42902.88,2.0,2.0,3208.5805097336215,19067.32,514019.35,1,3,0.0,,Normal
2026-01-19,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,21066.55,82,47,52815.37,1.0,1.0,12965.1,24818.49,573224.81,2,1,0.0,,Normal
2026-01-19,OUT003,ABNAH Cafe Saket Premium,Saket,17581.77,68,44,58385.200000000004,3.0,3.0,5400.230505932225,20747.6,497716.69,1,3,0.0,,Normal
2026-01-20,OUT001,ABNAH Cafe Connaught Place,Connaught Place,23701.75,92,52,0.0,0.0,0.0,0.0,13233.75,524764.76,1,3,0.0,,Normal
2026-01-20,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,17654.51,68,47,0.0,0.0,0.0,0.0,11709.24,583396.6,1,2,0.0,,Normal
2026-01-20,OUT003,ABNAH Cafe Saket Premium,Saket,17743.62,67,53,0.0,0.0,0.0,0.0,2908.7,493419.14,1,3,0.0,,Normal
2026-01-21,OUT001,ABNAH Cafe Connaught Place,Connaught Place,19369.12,77,47,0.0,0.0,0.0,0.0,17888.920000000002,534866.1900000001,1,3,0.0,,Normal
2026-01-21,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,18494.98,73,45,0.0,0.0,0.0,0.0,15203.47,594050.74,2,1,0.0,,Normal
2026-01-21,OUT003,ABNAH Cafe Saket Premium,Saket,18555.62,71,54,0.0,0.0,0.0,0.0,44857.270000000004,529233.59,1,3,0.0,,Normal
2026-01-22,OUT001,ABNAH Cafe Connaught Place,Connaught Place,23324.07,91,60,54575.090000000004,3.0,3.0,22507.947351403567,8434.37,541425.27,1,3,0.0,,Normal
2026-01-22,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,17917.01,71,44,61452.43,1.0,1.0,11612.240000000002,12924.91,604071.08,2,1,0.0,,Normal
2026-01-22,OUT003,ABNAH Cafe Saket Premium,Saket,19426.39,72,48,44622.15,2.0,2.0,5809.186070339165,4909.8,531249.97,1,3,0.0,,Normal
2026-01-23,OUT001,ABNAH Cafe Connaught Place,Connaught Place,24007.12,94,56,0.0,0.0,0.0,0.0,4463.17,541436.61,1,3,0.0,,Normal
2026-01-23,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,22023.46,86,55,0.0,0.0,0.0,0.0,39120.01,637298.89,2,1,0.0,,Normal
2026-01-23,OUT003,ABNAH Cafe Saket Premium,Saket,23891.7,91,57,0.0,0.0,0.0,0.0,27476.18,555447.01,1,4,0.0,,Normal
2026-01-24,OUT001,ABNAH Cafe Connaught Place,Connaught Place,19289.68,74,52,0.0,0.0,0.0,0.0,6099.08,543250.62,1,3,0.0,,Normal
2026-01-24,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,22752.88,89,58,0.0,0.0,0.0,0.0,6807.05,636036.9,2,1,0.0,,Normal
2026-01-24,OUT003,ABNAH Cafe Saket Premium,Saket,32760.63,123,70,0.0,0.0,0.0,0.0,8325.83,555234.33,1,3,0.0,,Normal
2026-01-25,OUT001,ABNAH Cafe Connaught Place,Connaught Place,10568.28,41,31,64653.96,2.0,2.0,2871.9598822605094,20478.17,558052.4,1,3,0.0,,Normal
2026-01-25,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,26711.79,105,61,69296.91,2.0,2.0,24008.099395037636,3283.44,637338.05,2,2,0.0,,Normal
2026-01-25,OUT003,ABNAH Cafe Saket Premium,Saket,28267.77,109,59,28583.28,1.0,1.0,11673.85,2337.39,553361.02,1,4,0.0,,Normal
2026-01-26,OUT001,ABNAH Cafe Connaught Place,Connaught Place,14984.34,56,44,0.0,0.0,0.0,0.0,4004.41,566859.17,1,3,1.0,Republic Day Leisure/Corporate Contrast,Event Day
2026-01-26,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,18700.06,73,51,0.0,0.0,0.0,0.0,25853.239999999998,660389.74,2,2,1.0,Republic Day Leisure/Corporate Contrast,Event Day
2026-01-26,OUT003,ABNAH Cafe Saket Premium,Saket,25393.57,99,56,0.0,0.0,0.0,0.0,0.0,558032.03,2,3,1.0,Republic Day Leisure/Corporate Contrast,Event Day
2026-01-27,OUT001,ABNAH Cafe Connaught Place,Connaught Place,25958.28,99,57,0.0,0.0,0.0,0.0,13194.24,570035.58,1,3,0.0,,Normal
2026-01-27,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,18261.12,70,46,0.0,0.0,0.0,0.0,8370.08,661435.46,2,2,0.0,,Normal
2026-01-27,OUT003,ABNAH Cafe Saket Premium,Saket,18894.68,71,51,0.0,0.0,0.0,0.0,10236.63,555255.35,2,3,0.0,,Normal
2026-01-28,OUT001,ABNAH Cafe Connaught Place,Connaught Place,19516.54,79,48,41537.58,3.0,3.0,20785.870000000003,42335.35,600955.64,1,3,0.0,,Normal
2026-01-28,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,17258.4,67,40,26085.71,1.0,1.0,254.88826,10726.29,664682.52,2,2,0.0,,Normal
2026-01-28,OUT003,ABNAH Cafe Saket Premium,Saket,14909.17,56,44,63191.03,0.0,0.0,0.0,6549.530000000001,551859.86,2,3,0.0,,Normal
2026-01-29,OUT001,ABNAH Cafe Connaught Place,Connaught Place,23162.48,91,51,0.0,0.0,0.0,0.0,12668.75,612789.15,1,3,0.0,,Normal
2026-01-29,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,17903.01,70,46,0.0,0.0,0.0,0.0,11555.45,666303.28,2,2,0.0,,Normal
2026-01-29,OUT003,ABNAH Cafe Saket Premium,Saket,16604.33,64,40,0.0,0.0,0.0,0.0,0.0,550974.81,2,3,0.0,,Normal
2026-01-30,OUT001,ABNAH Cafe Connaught Place,Connaught Place,22029.15,85,57,0.0,0.0,0.0,0.0,0.0,608374.64,1,3,0.0,,Normal
2026-01-30,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,26383.28,103,70,0.0,0.0,0.0,0.0,0.0,664824.1699999999,2,2,0.0,,Normal
2026-01-30,OUT003,ABNAH Cafe Saket Premium,Saket,24279.14,93,60,0.0,0.0,0.0,0.0,25035.02,570558.23,2,3,0.0,,Normal
2026-01-31,OUT001,ABNAH Cafe Connaught Place,Connaught Place,15073.66,59,42,48551.83,1.0,1.0,1414.873509329099,7835.31,613176.88,1,3,0.0,,Normal
2026-01-31,OUT002,ABNAH Cafe Hauz Khas,Hauz Khas,23864.12,91,58,59076.56,3.0,3.0,12428.86800914531,14049.06,677065.68,2,2,0.0,,Normal
2026-01-31,OUT003,ABNAH Cafe Saket Premium,Saket,26426.85,102,64,49137.47,2.0,2.0,1520.5456980139859,37778.24,601927.16,2,3,0.0,,Normal
