outlet_code,outlet_name,super_category,category,net_sales,qty,line_count,sales_share_pct
OUT002,ABNAH Cafe Hauz Khas,Beverage,Shake,25082.2,77,64,4.003269624682978
OUT002,ABNAH Cafe Hauz Khas,Food,Sandwiches,24567.29,83,56,3.921086898987245
OUT002,ABNAH Cafe Hauz Khas,Food,Baked Goods,23033.23,98,75,3.6762417179249307
OUT002,ABNAH Cafe Hauz Khas,Food,Wraps,16977.77,61,40,2.709753966392658
OUT002,ABNAH Cafe Hauz Khas,Food,Snacks,16120.08,71,50,2.5728614958599954
OUT002,ABNAH Cafe Hauz Khas,Dessert,Baked Goods,15904.15,75,55,2.5383977721811397
OUT002,ABNAH Cafe Hauz Khas,Food,Breakfast,13144.33,52,43,2.097913939997656
OUT002,ABNAH Cafe Hauz Khas,Beverage,Smoothie,9441.06,29,23,1.5068498266822477
OUT002,ABNAH Cafe Hauz Khas,Beverage,Kids Beverage,4728.88,21,19,0.7547576234449466
OUT002,ABNAH Cafe Hauz Khas,Food,Toasts,4617.18,15,11,0.7369296331938089
OUT002,ABNAH Cafe Hauz Khas,Beverage,Espresso,2088.02,13,11,0.3332605210759244
OUT002,ABNAH Cafe Hauz Khas,Food,Platter,1841.25,6,6,0.2938745483429497
OUT003,ABNAH Cafe Saket Premium,Beverage,Coffee Classics,159033.22,663,333,22.971834166389122
OUT003,ABNAH Cafe Saket Premium,Beverage,Signature Coffee,133544.24,457,292,19.290033460659785
OUT003,ABNAH Cafe Saket Premium,Beverage,Cold Coffee,80522.72,272,171,11.631246417991063
OUT003,ABNAH Cafe Saket Premium,Dessert,Desserts,50239.47,214,145,7.256928919928058
OUT003,ABNAH Cafe Saket Premium,Beverage,Cold Brew,41779.15,165,126,6.0348630645389445
OUT003,ABNAH Cafe Saket Premium,Beverage,Shake,34640.38,104,77,5.00369083151748
OUT003,ABNAH Cafe Saket Premium,Beverage,Tea,31396.56,130,98,4.53513152607415
OUT003,ABNAH Cafe Saket Premium,Food,Baked Goods,28528.829999999998,122,86,4.120897204502977
OUT003,ABNAH Cafe Saket Premium,Food,Sandwiches,25093.57,85,66,3.624685010356183
OUT003,ABNAH Cafe Saket Premium,Dessert,Baked Goods,22137.69,105,74,3.197717706444797
OUT003,ABNAH Cafe Saket Premium,Beverage,Iced Tea,21204.88,93,69,3.062976319527338
OUT003,ABNAH Cafe Saket Premium,Food,Wraps,15849.23,57,40,2.2893700022231798
OUT003,ABNAH Cafe Saket Premium,Food,Breakfast,15066.91,60,46,2.176366408979897
OUT003,ABNAH Cafe Saket Premium,Beverage,Smoothie,13852.0,42,35,2.000876589638455
OUT003,ABNAH Cafe Saket Premium,Food,Snacks,9601.53,42,34,1.3869099481454892
OUT003,ABNAH Cafe Saket Premium,Food,Toasts,4093.0299999999997,14,13,0.5912249428016088
OUT003,ABNAH Cafe Saket Premium,Beverage,Kids Beverage,3950.51,19,18,0.5706383898449764
OUT003,ABNAH Cafe Saket Premium,Food,Platter,900.2,3,3,0.13003097790878843
OUT003,ABNAH Cafe Saket Premium,Beverage,Espresso,862.45,5,5,0.12457811252769893
