report_id,report_name,page,section,schema_status,verification_status,layout_kind,workflow_status,field_count,table_count,is_archived
report:p1_main:06_misc:07_msr_reload_report,msr_reload_report,p1_main,06_misc,unavailable,reviewed,flat,published,0,1,False
report:p1_main:06_misc:10_online_orders_time_log,Online Orders Time Log,p1_main,06_misc,captured,needs_review,flat,published,27,1,False
report:p1_main:06_misc:19_refund_item_detail_report,Refund Item Detail Report,p1_main,06_misc,unavailable,reviewed,flat,published,0,1,False
report:p1_main:06_misc:25_removed_taxes_charges_report,Removed Taxes Charges Report,p1_main,06_misc,captured,needs_review,flat,published,14,1,False
report:p1_main:06_misc:06_sales_and_reload_report,sales_and_reload_report,p1_main,06_misc,captured,needs_review,flat,published,16,1,False
report:p1_main:06_misc:20_shift_report,Shift Report,p1_main,06_misc,captured,reviewed,grouped_columns,published,34,1,False
report:p1_main:06_misc:23_staff_meal_report,Staff Meal Report,p1_main,06_misc,captured,needs_review,flat,published,15,1,False
report:p1_main:06_misc:09_super_categories_dsr,Super Categories DSR,p1_main,06_misc,captured,reviewed,grouped_columns,published,40,1,False
report:p1_main:06_misc:26_unknown_miscellaneous_report_26,Unknown Miscellaneous Report 26,p1_main,06_misc,unavailable,reviewed,flat,published,0,1,True
report:p1_main:06_misc:27_unknown_miscellaneous_report_27,Unknown Miscellaneous Report 27,p1_main,06_misc,unavailable,reviewed,flat,published,0,1,True
report:p1_main:06_misc:01_void_bill_item_wise,Void Bill Item Wise,p1_main,06_misc,captured,needs_review,flat,published,24,1,False
report:p1_main:06_misc:05_voucher_report,Voucher Report,p1_main,06_misc,captured,needs_review,flat,published,21,1,False
report:p1_main:06_misc:16_whatsapp_message_report,Whatsapp Message Report,p1_main,06_misc,captured,reviewed,mixed,published,10,2,False
report:p2_reports:01_analytics:05_average_bill,Average Bill,p2_reports,01_analytics,captured,reviewed,flat,published,3,1,False
report:p2_reports:01_analytics:08_food_cost_report,Food Cost Report,p2_reports,01_analytics,partial,reviewed,grouped_columns,published,8,1,False
report:p2_reports:01_analytics:07_forecast_comparison_report,Forecast Comparison Report,p2_reports,01_analytics,captured,reviewed,mixed,published,8,1,False
report:p2_reports:01_analytics:04_growth_report,Growth Report,p2_reports,01_analytics,captured,reviewed,mixed,published,17,1,False
report:p2_reports:01_analytics:02_half_hourly_sales_report,half_hourly_sales_report,p2_reports,01_analytics,captured,reviewed,flat,published,15,1,False
report:p2_reports:01_analytics:03_hourly_sales_by_category,Hourly Sales By Category,p2_reports,01_analytics,captured,reviewed,mixed,published,5,2,False
report:p2_reports:01_analytics:01_hourly_sales_report,Hourly Sales Report,p2_reports,01_analytics,captured,reviewed,mixed,published,10,2,False
report:p2_reports:01_analytics:06_income_analysis_report,Income Analysis Report,p2_reports,01_analytics,captured,reviewed,grouped_columns,published,23,1,False
report:p2_reports:01_analytics:09_kds_report,KDS Report,p2_reports,01_analytics,captured,reviewed,flat,published,15,1,False
report:p2_reports:01_analytics:10_location_wise_sales,Location Wise Sales,p2_reports,01_analytics,captured,reviewed,flat,published,4,1,False
report:p2_reports:02_attendance:02_single_user_attendance_report,Single User Attendance Report,p2_reports,02_attendance,pending,needs_review,flat,published,0,1,False
report:p2_reports:02_attendance:01_user_attendance_report,User Attendance Report,p2_reports,02_attendance,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:38_aggregator_status_report,Aggregator Status Report,p2_reports,03_audit,captured,reviewed,flat,published,8,1,False
report:p2_reports:03_audit:41_audit_report,audit_report,p2_reports,03_audit,captured,reviewed,flat,published,4,1,False
report:p2_reports:03_audit:35_bi_logs_report,BI Logs Report,p2_reports,03_audit,captured,reviewed,flat,published,10,1,False
report:p2_reports:03_audit:40_bill_transfer_in_report,Bill Transfer In Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:44_bill_reprint_report,bill_reprint_report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:43_billwise_distribution,billwise_distribution,p2_reports,03_audit,captured,reviewed,flat,published,10,1,False
report:p2_reports:03_audit:45_billwise_sale_gst,Billwise_sale_GST,p2_reports,03_audit,captured,reviewed,flat,published,31,1,False
report:p2_reports:03_audit:50_bts_itemwise_report,BTS Itemwise Report,p2_reports,03_audit,captured,reviewed,grouped_rows,published,9,1,False
report:p2_reports:03_audit:48_button_disc_detail_report,button_disc_detail_report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:23_call_center_report,Call Center Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:27_charity_report,Charity Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:05_complimentary_detail_report_headwi,Complimentary Detail Report Headwise,p2_reports,03_audit,captured,reviewed,grouped_rows,published,10,1,False
report:p2_reports:03_audit:04_complimentary_report,Complimentary Report,p2_reports,03_audit,partial,reviewed,grouped_rows,published,10,1,False
report:p2_reports:03_audit:46_cred_note_issued,cred_note_issued,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:39_custom_group_report,Custom Group Report,p2_reports,03_audit,captured,reviewed,flat,published,6,1,False
report:p2_reports:03_audit:02_day_opening_variance_report,Day Opening Variance Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:47_day_part_daily_sales,day_part_daily_sales,p2_reports,03_audit,captured,reviewed,mixed,published,24,5,False
report:p2_reports:03_audit:24_delivery_audit_report,Delivery Audit Report,p2_reports,03_audit,captured,reviewed,mixed,published,15,2,False
report:p2_reports:03_audit:06_discount_report,Discount Report,p2_reports,03_audit,captured,reviewed,flat,published,28,1,False
report:p2_reports:03_audit:07_discount_and_voucher_report,discount_and_voucher_report,p2_reports,03_audit,captured,reviewed,flat,published,16,1,False
report:p2_reports:03_audit:29_edited_bills_report,Edited Bills Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:17_feedback_followup_report,Feedback Followup Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:13_feedback_report,Feedback Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:16_feedback_report_advance,Feedback Report Advance,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:18_feedback_without_bill_report,Feedback Without Bill Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:30_food_bills_void_tax_report,Food Bills Void Tax Report,p2_reports,03_audit,captured,reviewed,flat,published,7,1,False
report:p2_reports:03_audit:32_happy_hour_report,Happy Hour Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:33_item_based_offer_report,Item Based Offer Report,p2_reports,03_audit,captured,reviewed,grouped_columns,published,11,1,False
report:p2_reports:03_audit:03_kot_delete_history_report,KOT Delete History Report,p2_reports,03_audit,captured,reviewed,grouped_rows,published,12,1,False
report:p2_reports:03_audit:01_kot_detail_report,KOT Detail Report,p2_reports,03_audit,captured,reviewed,flat,published,12,1,False
report:p2_reports:03_audit:10_kot_tracking_report,KOT Tracking Report,p2_reports,03_audit,captured,reviewed,mixed,published,14,3,False
report:p2_reports:03_audit:42_msr_card_report,msr_card_report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:22_negative_orders_report,Negative Orders Report,p2_reports,03_audit,captured,reviewed,mixed,published,12,2,False
report:p2_reports:03_audit:14_no_feedback_report,No Feedback Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:28_non_taxable_item_report,Non Taxable Item Report,p2_reports,03_audit,captured,reviewed,flat,published,5,1,False
report:p2_reports:03_audit:08_offers_report,Offers Report,p2_reports,03_audit,captured,reviewed,flat,published,6,1,False
report:p2_reports:03_audit:37_offline_log_report,Offline Log Report,p2_reports,03_audit,captured,reviewed,flat,published,8,1,False
report:p2_reports:03_audit:20_oms_report_analysis,OMS Report Analysis,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:19_oms_report_detail,OMS Report Detail,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:31_online_orders_time_log,Online Orders Time Log,p2_reports,03_audit,captured,reviewed,flat,published,26,1,False
report:p2_reports:03_audit:11_removed_taxes_charges_report,Removed Taxes Charges Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:12_report_by_time,Report By Time,p2_reports,03_audit,partial,reviewed,mixed,published,7,3,False
report:p2_reports:03_audit:09_reprint_report,Reprint Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:21_revenue_report,Revenue Report,p2_reports,03_audit,captured,reviewed,flat,published,4,1,False
report:p2_reports:03_audit:36_rms_error_logs_report,RMS Error Logs Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:25_service_charge_report,Service Charge Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:49_staff_meal_report,staff_meal_report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:26_tips_report,Tips Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:34_virtual_user_report,Virtual User Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:03_audit:15_wis_report,Wis Report,p2_reports,03_audit,pending,needs_review,flat,published,0,1,False
report:p2_reports:04_category_item:15_addon_report,AddOn Report,p2_reports,04_category_item,captured,reviewed,mixed,published,14,2,False
report:p2_reports:04_category_item:14_assorted_items_report,assorted_items_report,p2_reports,04_category_item,pending,needs_review,flat,published,0,1,False
report:p2_reports:04_category_item:13_combo_report,Combo Report,p2_reports,04_category_item,captured,reviewed,mixed,published,14,2,False
report:p2_reports:04_category_item:17_hourly_item_detail_billwise_with_s,Hourly Item Detail Billwise With Settlement Mode,p2_reports,04_category_item,captured,reviewed,flat,published,15,1,False
report:p2_reports:04_category_item:01_item_by_source_report,Item By Source Report,p2_reports,04_category_item,captured,reviewed,flat,published,11,1,False
report:p2_reports:04_category_item:04_item_comment_wise_consolidated_rep,Item Comment Wise Consolidated Report,p2_reports,04_category_item,captured,reviewed,flat,published,14,1,False
report:p2_reports:04_category_item:18_item_stock_status_report,Item Stock Status Report,p2_reports,04_category_item,captured,reviewed,flat,published,12,1,False
report:p2_reports:04_category_item:02_item_wise_enterprise_report,Item Wise Enterprise Report,p2_reports,04_category_item,captured,reviewed,grouped_columns,published,8,1,False
report:p2_reports:04_category_item:10_item_incidence_report,item_incidence_report,p2_reports,04_category_item,captured,reviewed,flat,published,11,1,False
report:p2_reports:04_category_item:05_itemwise_consolidate,Itemwise Consolidate,p2_reports,04_category_item,captured,reviewed,grouped_rows,published,16,1,False
report:p2_reports:04_category_item:08_itemwise_contribution,Itemwise Contribution,p2_reports,04_category_item,captured,reviewed,flat,published,18,1,False
report:p2_reports:04_category_item:09_menu_mix_report,Menu Mix Report,p2_reports,04_category_item,captured,reviewed,grouped_rows,published,15,1,False
report:p2_reports:04_category_item:16_product_price_variation_report,Product Price Variation Report,p2_reports,04_category_item,captured,reviewed,grouped_columns,published,22,1,False
report:p2_reports:04_category_item:12_product_report,Product Report,p2_reports,04_category_item,captured,reviewed,flat,published,4,1,False
report:p2_reports:04_category_item:03_sale_by_item_category,Sale By Item Category,p2_reports,04_category_item,captured,reviewed,flat,published,21,1,False
report:p2_reports:04_category_item:06_section_category_wise_report,Section Category Wise Report,p2_reports,04_category_item,captured,reviewed,grouped_rows,published,4,1,False
report:p2_reports:04_category_item:07_section_tabwise_sales_report,Section Tabwise Sales Report,p2_reports,04_category_item,captured,reviewed,grouped_rows,published,9,1,False
report:p2_reports:04_category_item:11_sessionwise_item_sale,Sessionwise Item Sale,p2_reports,04_category_item,captured,reviewed,grouped_rows,published,10,1,False
report:p2_reports:05_crm:02_bill_and_customer_consolidated_rep,Bill And Customer Consolidated Report,p2_reports,05_crm,pending,needs_review,flat,published,0,1,False
report:p2_reports:05_crm:03_call_details_report,Call Details Report,p2_reports,05_crm,pending,needs_review,flat,published,0,1,False
report:p2_reports:05_crm:01_crm_report,CRM Report,p2_reports,05_crm,pending,needs_review,flat,published,0,1,False
report:p2_reports:06_prepaid_card:01_card_report,Card Report,p2_reports,06_prepaid_card,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:27_advance_booking_report,Advance Booking Report,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:28_advance_booking_session_consolidat,Advance Booking Session Consolidated,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:06_bill_item_detail_report,Bill Item Detail Report,p2_reports,07_sales,captured,reviewed,grouped_rows,published,18,1,False
report:p2_reports:07_sales:25_bill_no_wise_report,Bill No Wise Report,p2_reports,07_sales,captured,reviewed,key_value,published,37,1,False
report:p2_reports:07_sales:26_bill_status_sales_report,Bill Status Sales Report,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:34_bill_wise_sales_gst_billwise,Bill Wise Sales GST BillWise,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:10_btc_settlement_report,BTC Settlement Report,p2_reports,07_sales,captured,reviewed,mixed,published,15,2,False
report:p2_reports:07_sales:05_category_wise_sales_report,Category Wise Sales Report,p2_reports,07_sales,captured,reviewed,matrix,published,18,1,False
report:p2_reports:07_sales:13_coupon_report,Coupon Report,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:32_daily_sales_breakup,Daily Sales Breakup,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:16_daily_sales_report,Daily Sales Report,p2_reports,07_sales,captured,reviewed,mixed,published,31,7,False
report:p2_reports:07_sales:19_daily_sales_report_detailed,Daily Sales Report Detailed,p2_reports,07_sales,captured,reviewed,mixed,published,42,11,False
report:p2_reports:07_sales:38_daily_sales_reversal,Daily Sales Revenue,p2_reports,07_sales,captured,reviewed,matrix,published,14,1,False
report:p2_reports:07_sales:17_daily_sales_summary_report,Daily Sales Summary Report,p2_reports,07_sales,captured,reviewed,mixed,published,35,10,False
report:p2_reports:07_sales:29_day_check_close_report,Day Check Close Report,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:20_day_closing_report,Day Closing Report,p2_reports,07_sales,captured,reviewed,mixed,published,28,5,False
report:p2_reports:07_sales:39_day_wise_revenue_report,Day Wise Revenue Report,p2_reports,07_sales,captured,reviewed,matrix,published,39,1,False
report:p2_reports:07_sales:18_day_wise_sales_report,Day Wise Sales Report,p2_reports,07_sales,captured,reviewed,matrix,published,71,1,False
report:p2_reports:07_sales:15_delivery_report,Delivery Report,p2_reports,07_sales,captured,reviewed,flat,published,28,1,False
report:p2_reports:07_sales:37_dsh_item_wise_report,DSH Item Wise Report,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:30_enterprise_settlement_report,Enterprise Settlement Report,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:36_gross_sale_wastage_report,Gross Sale Wastage Report,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:33_food_sold_report,Gross/Net Margin Report,p2_reports,07_sales,captured,reviewed,flat,published,26,1,False
report:p2_reports:07_sales:23_hourly_sales_summary,hourly_sales_summary,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:14_instance_wise_report,Instance Wise Report,p2_reports,07_sales,captured,reviewed,grouped_rows,published,18,1,False
report:p2_reports:07_sales:41_msr_card_reload_report,msr_card_reload_report,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:22_mtax_log_report,MTAX Log Report,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:40_online_order_payment_details_repor,Online Order Payment Details Report,p2_reports,07_sales,pending,needs_review,flat,published,0,1,False
report:p2_reports:07_sales:31_online_orders_report,Online Orders Report,p2_reports,07_sales,captured,reviewed,grouped_columns,published,30,1,False
report:p2_reports:07_sales:12_online_other_payment_consolidated,Online Other Payment Consolidated Report,p2_reports,07_sales,captured,reviewed,flat,published,5,1,False
report:p2_reports:07_sales:11_online_other_payment_detail_report,Online Other Payment Detail Report,p2_reports,07_sales,captured,reviewed,grouped_rows,published,8,1,False
report:p2_reports:07_sales:01_payment_details_report,Payment Details Report,p2_reports,07_sales,captured,reviewed,grouped_rows,published,18,1,False
report:p2_reports:07_sales:09_payments_breakup_report,Payments Breakup Report,p2_reports,07_sales,captured,reviewed,grouped_columns,published,29,1,False
report:p2_reports:07_sales:02_payments_breakup_detailed,payments_breakup_detailed,p2_reports,07_sales,captured,reviewed,flat,published,8,1,False
report:p2_reports:07_sales:07_settlement_report,Settlement Report,p2_reports,07_sales,captured,reviewed,flat,published,12,1,False
