id,source,target,type,label,status,confidence,rationale
edge:contains:page-p4-stock-admin:section-p4-stock-admin-10-catering,page:p4_stock_admin,section:p4_stock_admin:10_catering,contains,contains section,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-01-outlet-sales,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:01_outlet_sales,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-01-outlet-sales,domain:sales_revenue,report:p1_main:01_sales_analysis:01_outlet_sales,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-02-brand-order-type-sales,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:02_brand_order_type_sales,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-02-brand-order-type-sales,domain:sales_revenue,report:p1_main:01_sales_analysis:02_brand_order_type_sales,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-03-hourly-sales-analysis,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:03_hourly_sales_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-03-hourly-sales-analysis,domain:sales_revenue,report:p1_main:01_sales_analysis:03_hourly_sales_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-04-hourly-item-sales-analysis,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:04_hourly_item_sales_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-04-hourly-item-sales-analysis,domain:sales_revenue,report:p1_main:01_sales_analysis:04_hourly_item_sales_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-05-daily-item-sales-analysis,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:05_daily_item_sales_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-05-daily-item-sales-analysis,domain:sales_revenue,report:p1_main:01_sales_analysis:05_daily_item_sales_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-06-consolidated-hourly-sales,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:06_consolidated_hourly_sales,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-06-consolidated-hourly-sales,domain:sales_revenue,report:p1_main:01_sales_analysis:06_consolidated_hourly_sales,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-07-consolidated-hourly-sales-tabwise,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:07_consolidated_hourly_sales_tabwise,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-07-consolidated-hourly-sales-tabwise,domain:sales_revenue,report:p1_main:01_sales_analysis:07_consolidated_hourly_sales_tabwise,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-08-daily-sales,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:08_daily_sales,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-08-daily-sales,domain:sales_revenue,report:p1_main:01_sales_analysis:08_daily_sales,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-09-daily-sales-analysis,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:09_daily_sales_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-09-daily-sales-analysis,domain:sales_revenue,report:p1_main:01_sales_analysis:09_daily_sales_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-10-daily-sales-tabwise,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:10_daily_sales_tabwise,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-10-daily-sales-tabwise,domain:sales_revenue,report:p1_main:01_sales_analysis:10_daily_sales_tabwise,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-11-daily-sales-sourcewise,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:11_daily_sales_sourcewise,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-11-daily-sales-sourcewise,domain:sales_revenue,report:p1_main:01_sales_analysis:11_daily_sales_sourcewise,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-12-daily-sales-with-categories,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:12_daily_sales_with_categories,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-12-daily-sales-with-categories,domain:sales_revenue,report:p1_main:01_sales_analysis:12_daily_sales_with_categories,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-13-item-hourly-sales-by-tab,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:13_item_hourly_sales_by_tab,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-13-item-hourly-sales-by-tab,domain:sales_revenue,report:p1_main:01_sales_analysis:13_item_hourly_sales_by_tab,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-14-hourly-sales-by-source,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:14_hourly_sales_by_source,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-14-hourly-sales-by-source,domain:sales_revenue,report:p1_main:01_sales_analysis:14_hourly_sales_by_source,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-15-day-part-sales,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:15_day_part_sales,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-15-day-part-sales,domain:sales_revenue,report:p1_main:01_sales_analysis:15_day_part_sales,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-16-day-part-product-sales,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:16_day_part_product_sales,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-16-day-part-product-sales,domain:sales_revenue,report:p1_main:01_sales_analysis:16_day_part_product_sales,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-17-day-part-product-detailed,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:17_day_part_product_detailed,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-17-day-part-product-detailed,domain:sales_revenue,report:p1_main:01_sales_analysis:17_day_part_product_detailed,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-18-brand-sales,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:18_brand_sales,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-18-brand-sales,domain:sales_revenue,report:p1_main:01_sales_analysis:18_brand_sales,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-19-sales-contribution,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:19_sales_contribution,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-19-sales-contribution,domain:sales_revenue,report:p1_main:01_sales_analysis:19_sales_contribution,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-20-billwise-section-sales-analysis,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:20_billwise_section_sales_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-20-billwise-section-sales-analysis,domain:sales_revenue,report:p1_main:01_sales_analysis:20_billwise_section_sales_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-21-section-sales-analysis,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:21_section_sales_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-21-section-sales-analysis,domain:sales_revenue,report:p1_main:01_sales_analysis:21_section_sales_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-22-source-analysis-summary,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:22_source_analysis_summary,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-22-source-analysis-summary,domain:sales_revenue,report:p1_main:01_sales_analysis:22_source_analysis_summary,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-01-sales-analysis:report-p1-main-01-sales-analysis-23-source-wise-tab-wise-item-analysis,section:p1_main:01_sales_analysis,report:p1_main:01_sales_analysis:23_source_wise_tab_wise_item_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-01-sales-analysis-23-source-wise-tab-wise-item-analysis,domain:sales_revenue,report:p1_main:01_sales_analysis:23_source_wise_tab_wise_item_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-02-settlements:report-p1-main-02-settlements-01-settlement-analysis,section:p1_main:02_settlements,report:p1_main:02_settlements:01_settlement_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-02-settlements-01-settlement-analysis,domain:sales_revenue,report:p1_main:02_settlements:01_settlement_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-02-settlements:report-p1-main-02-settlements-02-settlement-analysis-consolidated,section:p1_main:02_settlements,report:p1_main:02_settlements:02_settlement_analysis_consolidated,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-02-settlements-02-settlement-analysis-consolidated,domain:sales_revenue,report:p1_main:02_settlements:02_settlement_analysis_consolidated,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-02-settlements:report-p1-main-02-settlements-03-daily-payments-breakup,section:p1_main:02_settlements,report:p1_main:02_settlements:03_daily_payments_breakup,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-02-settlements-03-daily-payments-breakup,domain:sales_revenue,report:p1_main:02_settlements:03_daily_payments_breakup,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-02-settlements:report-p1-main-02-settlements-04-daily-payments-breakup-consolidate,section:p1_main:02_settlements,report:p1_main:02_settlements:04_daily_payments_breakup_consolidate,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-02-settlements-04-daily-payments-breakup-consolidate,domain:sales_revenue,report:p1_main:02_settlements:04_daily_payments_breakup_consolidate,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-02-settlements:report-p1-main-02-settlements-05-billwise-settlement-analysis,section:p1_main:02_settlements,report:p1_main:02_settlements:05_billwise_settlement_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-02-settlements-05-billwise-settlement-analysis,domain:sales_revenue,report:p1_main:02_settlements:05_billwise_settlement_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-02-settlements:report-p1-main-02-settlements-06-enterprise-btc-report,section:p1_main:02_settlements,report:p1_main:02_settlements:06_enterprise_btc_report,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-02-settlements-06-enterprise-btc-report,domain:sales_revenue,report:p1_main:02_settlements:06_enterprise_btc_report,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-01-daily-item-wise-discount,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:01_daily_item_wise_discount,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-01-daily-item-wise-discount,domain:sales_revenue,report:p1_main:03_discounts_offers:01_daily_item_wise_discount,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-02-daily-discount-billwise,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:02_daily_discount_billwise,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-02-daily-discount-billwise,domain:sales_revenue,report:p1_main:03_discounts_offers:02_daily_discount_billwise,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-03-offers-analysis,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:03_offers_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-03-offers-analysis,domain:sales_revenue,report:p1_main:03_discounts_offers:03_offers_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-04-offer-budget,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:04_offer_budget,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-04-offer-budget,domain:sales_revenue,report:p1_main:03_discounts_offers:04_offer_budget,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-05-discount-billwise-analysis,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:05_discount_billwise_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-05-discount-billwise-analysis,domain:sales_revenue,report:p1_main:03_discounts_offers:05_discount_billwise_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-06-offer-code-report,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:06_offer_code_report,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-06-offer-code-report,domain:sales_revenue,report:p1_main:03_discounts_offers:06_offer_code_report,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-07-offer-code-usage-report,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:07_offer_code_usage_report,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-07-offer-code-usage-report,domain:sales_revenue,report:p1_main:03_discounts_offers:07_offer_code_usage_report,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-08-discount-and-complimentary-analysi,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:08_discount_and_complimentary_analysi,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-08-discount-and-complimentary-analysi,domain:sales_revenue,report:p1_main:03_discounts_offers:08_discount_and_complimentary_analysi,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-09-entp-item-based-offer,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:09_entp_item_based_offer,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-09-entp-item-based-offer,domain:sales_revenue,report:p1_main:03_discounts_offers:09_entp_item_based_offer,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-10-complimentary-head,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:10_complimentary_head,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-10-complimentary-head,domain:sales_revenue,report:p1_main:03_discounts_offers:10_complimentary_head,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-11-complimentary-head-itemwise,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:11_complimentary_head_itemwise,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-11-complimentary-head-itemwise,domain:sales_revenue,report:p1_main:03_discounts_offers:11_complimentary_head_itemwise,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-03-discounts-offers:report-p1-main-03-discounts-offers-12-consolidated-item-complimentary,section:p1_main:03_discounts_offers,report:p1_main:03_discounts_offers:12_consolidated_item_complimentary,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-03-discounts-offers-12-consolidated-item-complimentary,domain:sales_revenue,report:p1_main:03_discounts_offers:12_consolidated_item_complimentary,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-04-tax-analysis:report-p1-main-04-tax-analysis-01-daily-tax-analysis,section:p1_main:04_tax_analysis,report:p1_main:04_tax_analysis:01_daily_tax_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-04-tax-analysis-01-daily-tax-analysis,domain:sales_revenue,report:p1_main:04_tax_analysis:01_daily_tax_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-04-tax-analysis:report-p1-main-04-tax-analysis-02-daily-no-vat-analysis,section:p1_main:04_tax_analysis,report:p1_main:04_tax_analysis:02_daily_no_vat_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-04-tax-analysis-02-daily-no-vat-analysis,domain:sales_revenue,report:p1_main:04_tax_analysis:02_daily_no_vat_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-04-tax-analysis:report-p1-main-04-tax-analysis-03-super-category-wise-daily-taxes,section:p1_main:04_tax_analysis,report:p1_main:04_tax_analysis:03_super_category_wise_daily_taxes,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-04-tax-analysis-03-super-category-wise-daily-taxes,domain:sales_revenue,report:p1_main:04_tax_analysis:03_super_category_wise_daily_taxes,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-04-tax-analysis:report-p1-main-04-tax-analysis-04-super-category-wise-no-vat,section:p1_main:04_tax_analysis,report:p1_main:04_tax_analysis:04_super_category_wise_no_vat,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-04-tax-analysis-04-super-category-wise-no-vat,domain:sales_revenue,report:p1_main:04_tax_analysis:04_super_category_wise_no_vat,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-04-tax-analysis:report-p1-main-04-tax-analysis-05-tax-summary,section:p1_main:04_tax_analysis,report:p1_main:04_tax_analysis:05_tax_summary,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-04-tax-analysis-05-tax-summary,domain:sales_revenue,report:p1_main:04_tax_analysis:05_tax_summary,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-01-menu-mix,section:p1_main:05_performance,report:p1_main:05_performance:01_menu_mix,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-01-menu-mix,domain:sales_revenue,report:p1_main:05_performance:01_menu_mix,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-02-category-analysis,section:p1_main:05_performance,report:p1_main:05_performance:02_category_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-02-category-analysis,domain:sales_revenue,report:p1_main:05_performance:02_category_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-03-super-category-sourcewise-sales,section:p1_main:05_performance,report:p1_main:05_performance:03_super_category_sourcewise_sales,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-03-super-category-sourcewise-sales,domain:sales_revenue,report:p1_main:05_performance:03_super_category_sourcewise_sales,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-04-super-category-tabwise-sourcewise,section:p1_main:05_performance,report:p1_main:05_performance:04_super_category_tabwise_sourcewise,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-04-super-category-tabwise-sourcewise,domain:sales_revenue,report:p1_main:05_performance:04_super_category_tabwise_sourcewise,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-05-item-analysis,section:p1_main:05_performance,report:p1_main:05_performance:05_item_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-05-item-analysis,domain:sales_revenue,report:p1_main:05_performance:05_item_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-06-item-source-report,section:p1_main:05_performance,report:p1_main:05_performance:06_item_source_report,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-06-item-source-report,domain:sales_revenue,report:p1_main:05_performance:06_item_source_report,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-07-itemwise-enterprise,section:p1_main:05_performance,report:p1_main:05_performance:07_itemwise_enterprise,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-07-itemwise-enterprise,domain:sales_revenue,report:p1_main:05_performance:07_itemwise_enterprise,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-08-tab-wise-item-analysis,section:p1_main:05_performance,report:p1_main:05_performance:08_tab_wise_item_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-08-tab-wise-item-analysis,domain:sales_revenue,report:p1_main:05_performance:08_tab_wise_item_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-09-item-incidence,section:p1_main:05_performance,report:p1_main:05_performance:09_item_incidence,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-09-item-incidence,domain:sales_revenue,report:p1_main:05_performance:09_item_incidence,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-10-highest-and-lowest-selling-items,section:p1_main:05_performance,report:p1_main:05_performance:10_highest_and_lowest_selling_items,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-10-highest-and-lowest-selling-items,domain:sales_revenue,report:p1_main:05_performance:10_highest_and_lowest_selling_items,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-11-tab-wise-analysis,section:p1_main:05_performance,report:p1_main:05_performance:11_tab_wise_analysis,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-11-tab-wise-analysis,domain:sales_revenue,report:p1_main:05_performance:11_tab_wise_analysis,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-12-brand-performance-section-wise,section:p1_main:05_performance,report:p1_main:05_performance:12_brand_performance_section_wise,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-12-brand-performance-section-wise,domain:sales_revenue,report:p1_main:05_performance:12_brand_performance_section_wise,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-13-brand-performance-report,section:p1_main:05_performance,report:p1_main:05_performance:13_brand_performance_report,contains,contains report,current,1.0,
edge:classifies:domain-sales-revenue:report-p1-main-05-performance-13-brand-performance-report,domain:sales_revenue,report:p1_main:05_performance:13_brand_performance_report,classifies,analytical domain,current,1.0,
edge:contains:section-p1-main-05-performance:report-p1-main-05-performance-14-combo-report,section:p1_main:05_performance,report:p1_main:05_performance:14_combo_report,contains,contains report,current,1.0,
