page,section,report_name,report_folder,field_order,raw_header_text,normalized_field_name,source_kind,source_evidence,semantic_role,data_type_guess,grain_role,model_candidate,notes
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,10,EMPLOYEE MEAL BILLS,employee_meal_bills,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,11,NOOFCOVERS,noofcovers,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,12,NOOFITEMS,noofitems,p1_schema_ocr_word,,dimension,text_or_identifier,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,13,APT,apt,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,14,APC,apc,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,15,TAKEOUT%,takeout,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,16,DELIVERY%,delivery,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Brand Order Type Sales,p1_main/01_sales_analysis/02_brand_order_type_sales,17,TABLE%,table,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,1,OUTLET,outlet,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,2,DATE,date,p1_schema_ocr_word,,time,date_or_time,time,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,3,HOUR,hour,p1_schema_ocr_word,,time,date_or_time,time,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,4,SALE,sale,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,5,GST@5%,gst_5,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,6,GST@18%,gst_18,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,7,TOTAL,total,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,8,GROSS,gross,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,9,CLUSTER,cluster,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,10,FORMAT,format,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,11,DISCOUNT,discount,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,12,NET SALE,net_sale,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,13,NOB,nob,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,14,EMPLOYEE,employee,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,15,NAME,name,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,16,CHARGES,charges,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Sales Analysis,p1_main/01_sales_analysis/03_hourly_sales_analysis,17,MEALS,meals,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,1,B,b,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,2,OUTLET NAME,outlet_name,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,3,Date,date,p1_schema_ocr_word,,time,date_or_time,time,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,4,Hour,hour,p1_schema_ocr_word,,time,date_or_time,time,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,5,Day,day,p1_schema_ocr_word,,time,date_or_time,time,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,6,Item Number,item_number,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,7,ITEM NAME,item_name,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,8,CategorySuper Category,categorysuper_category,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,9,Qty,qty,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,10,Amount,amount,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,11,Discount,discount,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,12,Complimentary,complimentary,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,13,Total Discount,total_discount,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,14,NetSale,netsale,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,15,GST@5%,gst_5,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,16,GST@18%Total Tax,gst_18_total_tax,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,17,GrossSales,grosssales,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Hourly Item Sales Analysis,p1_main/01_sales_analysis/04_hourly_item_sales_analysis,18,Bills,bills,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Item Sales Analysis,p1_main/01_sales_analysis/05_daily_item_sales_analysis,1,OUTLET NAME,outlet_name,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Item Sales Analysis,p1_main/01_sales_analysis/05_daily_item_sales_analysis,2,DATE,date,p1_schema_ocr_word,,time,date_or_time,time,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Item Sales Analysis,p1_main/01_sales_analysis/05_daily_item_sales_analysis,3,SUPERCATEGORY,supercategory,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Item Sales Analysis,p1_main/01_sales_analysis/05_daily_item_sales_analysis,4,CATEGORY,category,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Item Sales Analysis,p1_main/01_sales_analysis/05_daily_item_sales_analysis,5,ITEMNUMBER,itemnumber,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Item Sales Analysis,p1_main/01_sales_analysis/05_daily_item_sales_analysis,6,ITEM NAME,item_name,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Item Sales Analysis,p1_main/01_sales_analysis/05_daily_item_sales_analysis,7,QTY,qty,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Item Sales Analysis,p1_main/01_sales_analysis/05_daily_item_sales_analysis,8,NET SALE,net_sale,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales,p1_main/01_sales_analysis/06_consolidated_hourly_sales,1,OUTLET NAME,outlet_name,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales,p1_main/01_sales_analysis/06_consolidated_hourly_sales,2,CLUSTER,cluster,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales,p1_main/01_sales_analysis/06_consolidated_hourly_sales,3,FORMAT,format,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales,p1_main/01_sales_analysis/06_consolidated_hourly_sales,4,TIMESLOT,timeslot,p1_schema_ocr_word,,time,date_or_time,time,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales,p1_main/01_sales_analysis/06_consolidated_hourly_sales,5,NET SALES,net_sales,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales,p1_main/01_sales_analysis/06_consolidated_hourly_sales,6,NO.OFBILLS,no_ofbills,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales Tabwise,p1_main/01_sales_analysis/07_consolidated_hourly_sales_tabwise,1,OUTLET NAME,outlet_name,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales Tabwise,p1_main/01_sales_analysis/07_consolidated_hourly_sales_tabwise,2,TAB,tab,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales Tabwise,p1_main/01_sales_analysis/07_consolidated_hourly_sales_tabwise,3,TIME SLOT,time_slot,p1_schema_ocr_word,,time,date_or_time,time,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales Tabwise,p1_main/01_sales_analysis/07_consolidated_hourly_sales_tabwise,4,SALES,sales,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales Tabwise,p1_main/01_sales_analysis/07_consolidated_hourly_sales_tabwise,5,DISCOUNT,discount,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales Tabwise,p1_main/01_sales_analysis/07_consolidated_hourly_sales_tabwise,6,NET SALES,net_sales,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales Tabwise,p1_main/01_sales_analysis/07_consolidated_hourly_sales_tabwise,7,TOTAL TAX,total_tax,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales Tabwise,p1_main/01_sales_analysis/07_consolidated_hourly_sales_tabwise,8,TOTALCHARGES,totalcharges,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales Tabwise,p1_main/01_sales_analysis/07_consolidated_hourly_sales_tabwise,9,GROSSSALES,grosssales,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Consolidated Hourly Sales Tabwise,p1_main/01_sales_analysis/07_consolidated_hourly_sales_tabwise,10,NO.OFBILLS,no_ofbills,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,1,CGST(,cgst,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,2,SGST(,sgst,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,3,CLUSTER,cluster,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,4,DATE,date,p1_schema_ocr_word,,time,date_or_time,time,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,5,NO OF,no_of,p1_schema_ocr_word,,unknown,text_or_identifier,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,6,OUTLET NAME,outlet_name,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,7,FORMAT,format,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,8,SALE,sale,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,9,DISCOUNT,discount,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,10,CHARGES,charges,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,11,NET SALE,net_sale,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,12,GST@18%,gst_18,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,13,GST@5%,gst_5,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,14,ITEMS,items,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,15,BILLS,bills,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,16,TOTAL,total,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,17,TAX,tax,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,18,NET SALES,net_sales,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,19,WITH,with,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,20,PRODUCT,product,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,21,ROUND,round,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,22,GROSS,gross,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,23,AMOUNT,amount,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,24,OFF,off,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales,p1_main/01_sales_analysis/08_daily_sales,25,LEVEL,level,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,1,Building Type,building_type,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,2,Area,area,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,3,Region,region,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,4,Cluster,cluster,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,5,Format,format,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,6,Outlet,outlet,p1_schema_ocr_word,,dimension,text,dimension,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,7,Sales,sales,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,8,AverageDailySales,averagedailysales,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,9,CurrentDay,currentday,p1_schema_ocr_word,,time,date_or_time,time,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,10,MTD,mtd,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,11,YTD,ytd,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,12,AverageDailySales Growth,averagedailysales_growth,p1_schema_ocr_word,,measure,numeric,measure,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,13,TransactionGrowth,transactiongrowth,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,14,WoW(CW/PW),wow_cw_pw,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,15,WTD (CW/PW),wtd_cw_pw,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
p1_main,01_sales_analysis,Daily Sales Analysis,p1_main/01_sales_analysis/09_daily_sales_analysis,16,MTD (CM/PM),mtd_cm_pm,p1_schema_ocr_word,,unknown,text,unknown,FACT_Sales or sales validation staging,
