ERP Doc ID,Vendor ID,Vendor Name,Outlet #,Outlet Name,Status,Published,Received On,Inserted By,Comment,Updated On,Item ID,UOM,Unit Price
EVP-month_01-00035,VEND011,TeaLeaf Traders NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING021,kg,2158.58
EVP-month_01-00036,VEND001,BeanCraft Roasters Delhi,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING001,kg,1005.57
EVP-month_01-00037,VEND008,ChocoCraft Ingredients,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING016,litre,259.88
EVP-month_01-00038,VEND003,Delhi Bakery Supply Co,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING009,pcs,11.8
EVP-month_01-00039,VEND003,Delhi Bakery Supply Co,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING010,pcs,27.87
EVP-month_01-00040,VEND003,Delhi Bakery Supply Co,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING011,pcs,15.49
EVP-month_01-00041,VEND003,Delhi Bakery Supply Co,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING012,pcs,42.24
EVP-month_01-00042,VEND003,Delhi Bakery Supply Co,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING014,pcs,45.71
EVP-month_01-00043,VEND002,FreshDairy Foods NCR,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING002,litre,71.95
EVP-month_01-00044,VEND002,FreshDairy Foods NCR,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING004,litre,216.47
EVP-month_01-00045,VEND002,FreshDairy Foods NCR,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING005,kg,364.16
EVP-month_01-00046,VEND002,FreshDairy Foods NCR,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING006,kg,469.21
EVP-month_01-00047,VEND002,FreshDairy Foods NCR,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING027,kg,532.62
EVP-month_01-00048,VEND009,FrozenBerry Traders,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING025,kg,415.72
EVP-month_01-00049,VEND005,GreenLeaf Produce Delhi,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING023,kg,105.67
EVP-month_01-00050,VEND005,GreenLeaf Produce Delhi,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING026,kg,72.02
EVP-month_01-00051,VEND005,GreenLeaf Produce Delhi,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING030,kg,84.8
EVP-month_01-00052,VEND010,Metro Wholesale Delhi,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING022,kg,12.23
EVP-month_01-00053,VEND007,NorthStar Poultry,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING007,kg,327.35
EVP-month_01-00054,VEND007,NorthStar Poultry,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING008,pcs,7.1
EVP-month_01-00055,VEND004,PackPro Disposables,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING036,pcs,3.3
EVP-month_01-00056,VEND004,PackPro Disposables,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING037,pcs,2.8
EVP-month_01-00057,VEND004,PackPro Disposables,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING038,pcs,1.12
EVP-month_01-00058,VEND004,PackPro Disposables,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING039,pcs,0.55
EVP-month_01-00059,VEND004,PackPro Disposables,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING040,pcs,0.32
EVP-month_01-00060,VEND004,PackPro Disposables,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING041,pcs,5.13
EVP-month_01-00061,VEND004,PackPro Disposables,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING042,pcs,6.85
EVP-month_01-00062,VEND004,PackPro Disposables,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING043,pcs,5.94
EVP-month_01-00063,VEND006,SpiceRoot Foods,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING033,kg,282.94
EVP-month_01-00064,VEND006,SpiceRoot Foods,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING034,kg,193.96
EVP-month_01-00065,VEND012,SweetBase Foods,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING018,litre,242.44
EVP-month_01-00066,VEND012,SweetBase Foods,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING019,litre,89.48
EVP-month_01-00067,VEND012,SweetBase Foods,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING024,litre,407.83
EVP-month_01-00068,VEND011,TeaLeaf Traders NCR,OUT002,ABNAH Cafe Hauz Khas,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING021,kg,2085.72
EVP-month_01-00069,VEND008,ChocoCraft Ingredients,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING013,pcs,33.38
EVP-month_01-00070,VEND008,ChocoCraft Ingredients,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING016,litre,256.62
EVP-month_01-00071,VEND003,Delhi Bakery Supply Co,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING011,pcs,14.42
EVP-month_01-00072,VEND003,Delhi Bakery Supply Co,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING012,pcs,42.48
EVP-month_01-00073,VEND003,Delhi Bakery Supply Co,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING014,pcs,45.74
EVP-month_01-00074,VEND003,Delhi Bakery Supply Co,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING015,pcs,74.97
EVP-month_01-00075,VEND002,FreshDairy Foods NCR,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING002,litre,72.86
EVP-month_01-00076,VEND002,FreshDairy Foods NCR,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING004,litre,211.82
EVP-month_01-00077,VEND002,FreshDairy Foods NCR,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING005,kg,365.9
EVP-month_01-00078,VEND002,FreshDairy Foods NCR,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING006,kg,486.87
EVP-month_01-00079,VEND002,FreshDairy Foods NCR,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING027,kg,530.62
EVP-month_01-00080,VEND005,GreenLeaf Produce Delhi,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING026,kg,73.42
EVP-month_01-00081,VEND005,GreenLeaf Produce Delhi,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING028,kg,96.06
EVP-month_01-00082,VEND005,GreenLeaf Produce Delhi,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING029,kg,42.33
EVP-month_01-00083,VEND005,GreenLeaf Produce Delhi,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING031,kg,54.29
EVP-month_01-00084,VEND010,Metro Wholesale Delhi,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING022,kg,12.48
EVP-month_01-00085,VEND007,NorthStar Poultry,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING007,kg,334.49
EVP-month_01-00086,VEND007,NorthStar Poultry,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING008,pcs,7.09
EVP-month_01-00087,VEND004,PackPro Disposables,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING036,pcs,3.34
EVP-month_01-00088,VEND004,PackPro Disposables,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING037,pcs,2.92
EVP-month_01-00089,VEND004,PackPro Disposables,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING038,pcs,1.1
EVP-month_01-00090,VEND004,PackPro Disposables,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING039,pcs,0.55
EVP-month_01-00091,VEND004,PackPro Disposables,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING040,pcs,0.33
EVP-month_01-00092,VEND004,PackPro Disposables,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING041,pcs,5.15
EVP-month_01-00093,VEND004,PackPro Disposables,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING042,pcs,6.65
EVP-month_01-00094,VEND004,PackPro Disposables,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING043,pcs,5.69
EVP-month_01-00095,VEND006,SpiceRoot Foods,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING032,kg,340.43
EVP-month_01-00096,VEND006,SpiceRoot Foods,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING033,kg,290.76
EVP-month_01-00097,VEND006,SpiceRoot Foods,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING034,kg,187.35
EVP-month_01-00098,VEND012,SweetBase Foods,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING017,litre,252.66
EVP-month_01-00099,VEND012,SweetBase Foods,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING018,litre,240.0
EVP-month_01-00100,VEND012,SweetBase Foods,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING019,litre,91.16
EVP-month_01-00101,VEND012,SweetBase Foods,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING024,litre,376.43
EVP-month_01-00102,VEND011,TeaLeaf Traders NCR,OUT003,ABNAH Cafe Saket Premium,Approved,Yes,2026-01-31,synthetic.generator,Monthly approved synthetic vendor price,2026-01-31,ING020,kg,615.19
EVP-month_02-00103,VEND001,BeanCraft Roasters Delhi,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING001,kg,989.38
EVP-month_02-00104,VEND008,ChocoCraft Ingredients,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING013,pcs,34.75
EVP-month_02-00105,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING009,pcs,12.62
EVP-month_02-00106,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING010,pcs,28.77
EVP-month_02-00107,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING011,pcs,15.16
EVP-month_02-00108,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING012,pcs,41.05
EVP-month_02-00109,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING014,pcs,45.62
EVP-month_02-00110,VEND003,Delhi Bakery Supply Co,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING015,pcs,71.1
EVP-month_02-00111,VEND002,FreshDairy Foods NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING002,litre,72.82
EVP-month_02-00112,VEND002,FreshDairy Foods NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING003,litre,195.24
EVP-month_02-00113,VEND002,FreshDairy Foods NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING004,litre,216.19
EVP-month_02-00114,VEND002,FreshDairy Foods NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING005,kg,374.31
EVP-month_02-00115,VEND002,FreshDairy Foods NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING006,kg,483.08
EVP-month_02-00116,VEND002,FreshDairy Foods NCR,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING027,kg,531.55
EVP-month_02-00117,VEND005,GreenLeaf Produce Delhi,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING026,kg,71.68
EVP-month_02-00118,VEND005,GreenLeaf Produce Delhi,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING030,kg,85.12
EVP-month_02-00119,VEND005,GreenLeaf Produce Delhi,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING031,kg,52.67
EVP-month_02-00120,VEND010,Metro Wholesale Delhi,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING022,kg,12.48
EVP-month_02-00121,VEND007,NorthStar Poultry,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING007,kg,321.49
EVP-month_02-00122,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING036,pcs,3.3
EVP-month_02-00123,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING038,pcs,1.09
EVP-month_02-00124,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING039,pcs,0.57
EVP-month_02-00125,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING040,pcs,0.32
EVP-month_02-00126,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING041,pcs,5.05
EVP-month_02-00127,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING042,pcs,6.59
EVP-month_02-00128,VEND004,PackPro Disposables,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING043,pcs,5.88
EVP-month_02-00129,VEND006,SpiceRoot Foods,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING033,kg,280.12
EVP-month_02-00130,VEND006,SpiceRoot Foods,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING035,kg,308.98
EVP-month_02-00131,VEND012,SweetBase Foods,OUT001,ABNAH Cafe Connaught Place,Approved,Yes,2026-02-28,synthetic.generator,Monthly approved synthetic vendor price,2026-02-28,ING018,litre,236.53
