DeploymentName,vendorCode,vendorName,subTotal,discount,totalTax,Total
ABNAH Cafe Saket Premium,VEND006,SpiceRoot Foods,46656.6,55.51,8406.18,55007.27
ABNAH Cafe Saket Premium,VEND007,NorthStar Poultry,60229.78,0.0,3011.5,63241.28
ABNAH Cafe Saket Premium,VEND008,ChocoCraft Ingredients,33511.259999999995,0.0,6050.030000000001,39561.29
ABNAH Cafe Saket Premium,VEND010,Metro Wholesale Delhi,6336.12,0.0,316.81,6652.93
ABNAH Cafe Saket Premium,VEND011,TeaLeaf Traders NCR,38551.229999999996,0.0,1927.56,40478.79
ABNAH Cafe Saket Premium,VEND012,SweetBase Foods,32250.329999999998,0.0,5805.0599999999995,38055.39
ABNAH Cafe Connaught Place,VEND001,BeanCraft Roasters Delhi,14415.71,144.16,713.58,14985.13
ABNAH Cafe Connaught Place,VEND002,FreshDairy Foods NCR,131514.84,48.04,9722.15,141188.95
ABNAH Cafe Connaught Place,VEND003,Delhi Bakery Supply Co,115934.74,114.88,13955.94,129775.8
ABNAH Cafe Connaught Place,VEND004,PackPro Disposables,63195.2,126.97000000000001,11406.29,74474.52
ABNAH Cafe Connaught Place,VEND005,GreenLeaf Produce Delhi,14876.0,0.0,743.8,15619.8
ABNAH Cafe Connaught Place,VEND006,SpiceRoot Foods,32189.309999999998,96.27,5776.74,37869.78
ABNAH Cafe Connaught Place,VEND007,NorthStar Poultry,30564.890000000003,39.31,1526.27,32051.85
ABNAH Cafe Connaught Place,VEND008,ChocoCraft Ingredients,6819.15,0.0,1227.45,8046.6
ABNAH Cafe Connaught Place,VEND009,FrozenBerry Traders,8353.46,0.0,1503.62,9857.08
ABNAH Cafe Connaught Place,VEND010,Metro Wholesale Delhi,7305.83,0.0,365.28999999999996,7671.119999999999
ABNAH Cafe Connaught Place,VEND011,TeaLeaf Traders NCR,34519.16,0.0,6231.450000000001,40750.61
ABNAH Cafe Connaught Place,VEND012,SweetBase Foods,24977.93,0.0,4496.030000000001,29473.96
ABNAH Cafe Hauz Khas,VEND001,BeanCraft Roasters Delhi,38255.59,0.0,1912.77,40168.36
ABNAH Cafe Hauz Khas,VEND002,FreshDairy Foods NCR,107904.68,0.0,5413.22,113317.9
ABNAH Cafe Hauz Khas,VEND003,Delhi Bakery Supply Co,42180.95,0.0,3351.35,45532.3
ABNAH Cafe Hauz Khas,VEND004,PackPro Disposables,53049.55,0.0,9602.93,62652.479999999996
ABNAH Cafe Hauz Khas,VEND005,GreenLeaf Produce Delhi,13383.439999999999,0.0,669.17,14052.61
ABNAH Cafe Hauz Khas,VEND006,SpiceRoot Foods,21428.52,0.0,3857.13,25285.65
ABNAH Cafe Hauz Khas,VEND007,NorthStar Poultry,36519.409999999996,0.0,1825.98,38345.39
ABNAH Cafe Hauz Khas,VEND008,ChocoCraft Ingredients,37172.47,55.39,6681.08,43798.159999999996
ABNAH Cafe Hauz Khas,VEND009,FrozenBerry Traders,42839.08,0.0,7711.030000000001,50550.11
ABNAH Cafe Hauz Khas,VEND010,Metro Wholesale Delhi,3283.2,0.0,164.16,3447.36
ABNAH Cafe Hauz Khas,VEND011,TeaLeaf Traders NCR,29917.86,226.32999999999998,1484.58,31176.11
ABNAH Cafe Hauz Khas,VEND012,SweetBase Foods,33692.87,0.0,6082.71,39775.58
ABNAH Cafe Saket Premium,VEND001,BeanCraft Roasters Delhi,12341.13,0.0,617.06,12958.19
ABNAH Cafe Saket Premium,VEND002,FreshDairy Foods NCR,169861.35,0.0,9861.369999999999,179722.72
ABNAH Cafe Saket Premium,VEND003,Delhi Bakery Supply Co,70981.26,148.27999999999997,7751.85,78584.83
ABNAH Cafe Saket Premium,VEND004,PackPro Disposables,39918.99,26.12,7216.72,47109.590000000004
ABNAH Cafe Saket Premium,VEND005,GreenLeaf Produce Delhi,26719.07,90.95,1331.41,27959.53
ABNAH Cafe Saket Premium,VEND006,SpiceRoot Foods,34895.2,0.0,6299.13,41194.33
ABNAH Cafe Saket Premium,VEND007,NorthStar Poultry,7813.63,0.0,408.68,8222.31
ABNAH Cafe Saket Premium,VEND008,ChocoCraft Ingredients,7654.0,0.0,1377.72,9031.72
ABNAH Cafe Saket Premium,VEND009,FrozenBerry Traders,10349.21,0.0,1862.86,12212.07
ABNAH Cafe Saket Premium,VEND010,Metro Wholesale Delhi,4473.47,0.0,223.67000000000002,4697.14
ABNAH Cafe Saket Premium,VEND011,TeaLeaf Traders NCR,9202.84,0.0,460.14,9662.98
ABNAH Cafe Saket Premium,VEND012,SweetBase Foods,20194.65,63.21,3623.6600000000003,23755.1
