source_period_code,source_outlet_code,source_outlet_name,source_period_start,source_period_end,deployment_name,store_kitchen_name,user_name,opening_date,transaction_number,item_code,item_name,category_name,super_category_name,comment,opening_qty,unit,unit_price,opening_subtotal,source
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING034,ING034,Salsa,Syrups & Sauces,Raw Material,,18.0,kg,0,0,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING035,ING035,Aioli,Syrups & Sauces,Raw Material,,18.0,kg,0,0,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING036,ING036,Cold Cup,Packaging,Consumable,,1540.0,pcs,0,0,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING037,ING037,Hot Cup,Packaging,Consumable,,1540.0,pcs,0,0,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING038,ING038,Lid,Packaging,Consumable,,1728.9,pcs,0,0,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING039,ING039,Straw,Packaging,Consumable,,1100.0,pcs,0,0,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING040,ING040,Napkin,Packaging,Consumable,,2490.3,pcs,0,0,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING041,ING041,Dessert Box,Packaging,Consumable,,396.0,pcs,0,0,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING042,ING042,Sandwich Box,Packaging,Consumable,,396.0,pcs,0,0,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-01,OPEN-OUT001-01-ING043,ING043,Wrap Packaging,Packaging,Consumable,,396.0,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING001,ING001,Coffee Beans,Coffee Inputs,Raw Material,,27.797,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING002,ING002,Milk,Dairy,Raw Material,,232.9479,litre,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING003,ING003,Oat Milk,Dairy Alternative,Raw Material,,30.8,litre,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING004,ING004,Cream,Dairy,Raw Material,,22.5,litre,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING005,ING005,Paneer,Dairy,Raw Material,,26.4,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING006,ING006,Cheese,Dairy,Raw Material,,22.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING007,ING007,Chicken,Protein,Raw Material,,33.75,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING008,ING008,Egg,Protein,Raw Material,,300.0,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING009,ING009,Bread,Bakery,Raw Material,,337.5,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING010,ING010,Bagel,Bakery,Raw Material,,135.0,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING011,ING011,Tortilla,Bakery,Raw Material,,225.0,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING012,ING012,Croissant Base,Bakery,Raw Material,,150.0,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING013,ING013,Brownie Base,Dessert Inputs,Raw Material,,165.0,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING014,ING014,Cake Base,Dessert Inputs,Raw Material,,144.225,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING015,ING015,Cheesecake Base,Dessert Inputs,Raw Material,,82.5,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING016,ING016,Chocolate Sauce,Syrups & Sauces,Raw Material,,27.0,litre,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING017,ING017,Caramel Syrup,Syrups & Sauces,Raw Material,,24.0,litre,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING018,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,,24.0,litre,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING019,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,,39.6,litre,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING020,ING020,Tea Leaves,Tea Inputs,Raw Material,,13.5,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING021,ING021,Matcha Powder,Tea Inputs,Raw Material,,6.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING022,ING022,Ice,Beverage Inputs,Raw Material,,300.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING023,ING023,Lemon,Produce,Raw Material,,27.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING024,ING024,Hibiscus Concentrate,Beverage Inputs,Raw Material,,12.0,litre,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING025,ING025,Mixed Berry Pulp,Fruit Inputs,Raw Material,,22.5,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING026,ING026,Banana,Produce,Raw Material,,45.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING027,ING027,Butter,Dairy,Raw Material,,18.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING028,ING028,Lettuce,Produce,Raw Material,,18.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING029,ING029,Onion,Produce,Raw Material,,45.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING030,ING030,Capsicum,Produce,Raw Material,,27.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING031,ING031,Tomato,Produce,Raw Material,,45.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING032,ING032,Pesto Sauce,Syrups & Sauces,Raw Material,,18.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING033,ING033,Chipotle Sauce,Syrups & Sauces,Raw Material,,18.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING034,ING034,Salsa,Syrups & Sauces,Raw Material,,18.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING035,ING035,Aioli,Syrups & Sauces,Raw Material,,18.0,kg,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING036,ING036,Cold Cup,Packaging,Consumable,,1540.0,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING037,ING037,Hot Cup,Packaging,Consumable,,1540.0,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING038,ING038,Lid,Packaging,Consumable,,1630.8,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING039,ING039,Straw,Packaging,Consumable,,1100.0,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING040,ING040,Napkin,Packaging,Consumable,,2543.4,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING041,ING041,Dessert Box,Packaging,Consumable,,396.0,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING042,ING042,Sandwich Box,Packaging,Consumable,,396.0,pcs,0,0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-01,OPEN-OUT002-01-ING043,ING043,Wrap Packaging,Packaging,Consumable,,396.0,pcs,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING001,ING001,Coffee Beans,Coffee Inputs,Raw Material,,30.7889,kg,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING002,ING002,Milk,Dairy,Raw Material,,266.8581,litre,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING003,ING003,Oat Milk,Dairy Alternative,Raw Material,,30.8,litre,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING004,ING004,Cream,Dairy,Raw Material,,22.5,litre,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING005,ING005,Paneer,Dairy,Raw Material,,26.4,kg,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING006,ING006,Cheese,Dairy,Raw Material,,22.0,kg,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING007,ING007,Chicken,Protein,Raw Material,,33.75,kg,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING008,ING008,Egg,Protein,Raw Material,,300.0,pcs,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING009,ING009,Bread,Bakery,Raw Material,,337.5,pcs,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING010,ING010,Bagel,Bakery,Raw Material,,135.0,pcs,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING011,ING011,Tortilla,Bakery,Raw Material,,225.0,pcs,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING012,ING012,Croissant Base,Bakery,Raw Material,,150.0,pcs,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING013,ING013,Brownie Base,Dessert Inputs,Raw Material,,165.0,pcs,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING014,ING014,Cake Base,Dessert Inputs,Raw Material,,196.335,pcs,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING015,ING015,Cheesecake Base,Dessert Inputs,Raw Material,,82.5,pcs,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING016,ING016,Chocolate Sauce,Syrups & Sauces,Raw Material,,27.0,litre,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING017,ING017,Caramel Syrup,Syrups & Sauces,Raw Material,,24.0,litre,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING018,ING018,Vanilla Syrup,Syrups & Sauces,Raw Material,,24.0,litre,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING019,ING019,Sugar Syrup,Syrups & Sauces,Raw Material,,39.6,litre,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING020,ING020,Tea Leaves,Tea Inputs,Raw Material,,13.5,kg,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING021,ING021,Matcha Powder,Tea Inputs,Raw Material,,6.0,kg,0,0,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-01,OPEN-OUT003-01-ING022,ING022,Ice,Beverage Inputs,Raw Material,,300.0,kg,0,0,
