source_period_code,source_outlet_code,source_outlet_name,source_period_start,source_period_end,deployment_name,store_kitchen_name,user_name,physical_date,transaction_number,item_code,item_name,item_brand,category_name,super_category_name,comment,physical_qty,unit,unit_price,physical_amt,source
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING011,ING011,Tortilla,,Bakery,Raw Material,Month-end physical stock take,667.096,pcs,15.24,10166.54,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING012,ING012,Croissant Base,,Bakery,Raw Material,Month-end physical stock take,37.818,pcs,0.0,0.0,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING013,ING013,Brownie Base,,Dessert Inputs,Raw Material,Month-end physical stock take,640.836,pcs,33.56,21506.46,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING014,ING014,Cake Base,,Dessert Inputs,Raw Material,Month-end physical stock take,324.5111,pcs,46.49,15086.52,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING015,ING015,Cheesecake Base,,Dessert Inputs,Raw Material,Month-end physical stock take,316.622,pcs,70.96,22467.5,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING016,ING016,Chocolate Sauce,,Syrups & Sauces,Raw Material,Month-end physical stock take,13.7673,litre,254.25,3500.34,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING017,ING017,Caramel Syrup,,Syrups & Sauces,Raw Material,Month-end physical stock take,100.4079,litre,243.9,24489.49,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING018,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,Month-end physical stock take,21.4272,litre,240.0,5142.53,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING019,ING019,Sugar Syrup,,Syrups & Sauces,Raw Material,Month-end physical stock take,42.0548,litre,89.51,3764.33,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING020,ING020,Tea Leaves,,Tea Inputs,Raw Material,Month-end physical stock take,25.2787,kg,615.77,15565.87,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING021,ING021,Matcha Powder,,Tea Inputs,Raw Material,Month-end physical stock take,13.288,kg,2158.58,28683.21,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING022,ING022,Ice,,Beverage Inputs,Raw Material,Month-end physical stock take,217.3175,kg,12.0,2607.81,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING023,ING023,Lemon,,Produce,Raw Material,Month-end physical stock take,71.6012,kg,116.37,8332.23,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING024,ING024,Hibiscus Concentrate,,Beverage Inputs,Raw Material,Month-end physical stock take,46.8809,litre,391.4,18349.18,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING025,ING025,Mixed Berry Pulp,,Fruit Inputs,Raw Material,Month-end physical stock take,18.7977,kg,420.0,7895.03,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING026,ING026,Banana,,Produce,Raw Material,Month-end physical stock take,42.069,kg,72.0,3028.97,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING027,ING027,Butter,,Dairy,Raw Material,Month-end physical stock take,42.2055,kg,525.55,22181.1,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING028,ING028,Lettuce,,Produce,Raw Material,Month-end physical stock take,14.9599,kg,95.0,1421.19,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING029,ING029,Onion,,Produce,Raw Material,Month-end physical stock take,260.7343,kg,41.9,10924.77,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING030,ING030,Capsicum,,Produce,Raw Material,Month-end physical stock take,57.8796,kg,85.17,4929.61,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING031,ING031,Tomato,,Produce,Raw Material,Month-end physical stock take,140.5751,kg,54.97,7727.41,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING032,ING032,Pesto Sauce,,Syrups & Sauces,Raw Material,Month-end physical stock take,32.5732,kg,341.63,11127.98,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING033,ING033,Chipotle Sauce,,Syrups & Sauces,Raw Material,Month-end physical stock take,15.6122,kg,280.19,4374.38,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING034,ING034,Salsa,,Syrups & Sauces,Raw Material,Month-end physical stock take,36.0619,kg,187.86,6774.59,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING035,ING035,Aioli,,Syrups & Sauces,Raw Material,Month-end physical stock take,17.3959,kg,310.0,5392.73,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING036,ING036,Cold Cup,,Packaging,Consumable,Month-end physical stock take,5027.714,pcs,3.18,15988.13,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING037,ING037,Hot Cup,,Packaging,Consumable,Month-end physical stock take,2551.6,pcs,2.88,7348.61,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING038,ING038,Lid,,Packaging,Consumable,Month-end physical stock take,67.756,pcs,1.1,74.53,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING039,ING039,Straw,,Packaging,Consumable,Month-end physical stock take,1654.676,pcs,0.55,910.07,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING040,ING040,Napkin,,Packaging,Consumable,Month-end physical stock take,2530.193,pcs,0.33,834.96,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING041,ING041,Dessert Box,,Packaging,Consumable,Month-end physical stock take,1880.809,pcs,5.17,9723.78,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING042,ING042,Sandwich Box,,Packaging,Consumable,Month-end physical stock take,626.38,pcs,6.73,4215.54,
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ABNAH Cafe Connaught Place,Main Store,inventory.lead,2026-01-31,PHY-OUT001-01-ING043,ING043,Wrap Packaging,,Packaging,Consumable,Month-end physical stock take,1024.304,pcs,5.89,6033.15,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING001,ING001,Coffee Beans,,Coffee Inputs,Raw Material,Month-end physical stock take,6.8135,kg,1005.92,6853.84,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING002,ING002,Milk,,Dairy,Raw Material,Month-end physical stock take,10.0379,litre,71.95,722.23,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING003,ING003,Oat Milk,,Dairy Alternative,Raw Material,Month-end physical stock take,17.3195,litre,185.0,3204.11,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING004,ING004,Cream,,Dairy,Raw Material,Month-end physical stock take,33.7453,litre,215.36,7267.39,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING005,ING005,Paneer,,Dairy,Raw Material,Month-end physical stock take,88.1513,kg,362.26,31933.69,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING006,ING006,Cheese,,Dairy,Raw Material,Month-end physical stock take,15.037,kg,0.0,0.0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING007,ING007,Chicken,,Protein,Raw Material,Month-end physical stock take,182.7042,kg,327.71,59873.99,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING008,ING008,Egg,,Protein,Raw Material,Month-end physical stock take,657.292,pcs,7.1,4666.77,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING009,ING009,Bread,,Bakery,Raw Material,Month-end physical stock take,1162.032,pcs,11.84,13758.46,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING010,ING010,Bagel,,Bakery,Raw Material,Month-end physical stock take,676.056,pcs,27.8,18794.36,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING011,ING011,Tortilla,,Bakery,Raw Material,Month-end physical stock take,1492.065,pcs,15.47,23082.25,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING012,ING012,Croissant Base,,Bakery,Raw Material,Month-end physical stock take,587.11,pcs,42.5,24952.17,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING013,ING013,Brownie Base,,Dessert Inputs,Raw Material,Month-end physical stock take,163.679,pcs,34.0,5565.09,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING014,ING014,Cake Base,,Dessert Inputs,Raw Material,Month-end physical stock take,191.383,pcs,45.71,8748.12,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING015,ING015,Cheesecake Base,,Dessert Inputs,Raw Material,Month-end physical stock take,60.534,pcs,72.0,4358.45,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING016,ING016,Chocolate Sauce,,Syrups & Sauces,Raw Material,Month-end physical stock take,72.9135,litre,262.64,19150.0,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING017,ING017,Caramel Syrup,,Syrups & Sauces,Raw Material,Month-end physical stock take,19.4036,litre,250.0,4850.9,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING018,ING018,Vanilla Syrup,,Syrups & Sauces,Raw Material,Month-end physical stock take,73.466,litre,241.71,17757.47,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING019,ING019,Sugar Syrup,,Syrups & Sauces,Raw Material,Month-end physical stock take,49.35,litre,89.48,4415.84,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING020,ING020,Tea Leaves,,Tea Inputs,Raw Material,Month-end physical stock take,12.7627,kg,620.0,7912.87,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING021,ING021,Matcha Powder,,Tea Inputs,Raw Material,Month-end physical stock take,22.618,kg,2085.57,47171.42,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING022,ING022,Ice,,Beverage Inputs,Raw Material,Month-end physical stock take,986.5335,kg,12.14,11976.52,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING023,ING023,Lemon,,Produce,Raw Material,Month-end physical stock take,49.4892,kg,105.67,5229.52,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING024,ING024,Hibiscus Concentrate,,Beverage Inputs,Raw Material,Month-end physical stock take,28.1315,litre,405.03,11394.1,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING025,ING025,Mixed Berry Pulp,,Fruit Inputs,Raw Material,Month-end physical stock take,108.5661,kg,417.53,45329.6,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING026,ING026,Banana,,Produce,Raw Material,Month-end physical stock take,181.7283,kg,71.94,13073.53,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING027,ING027,Butter,,Dairy,Raw Material,Month-end physical stock take,26.3201,kg,537.38,14143.9,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING028,ING028,Lettuce,,Produce,Raw Material,Month-end physical stock take,14.4577,kg,95.0,1373.48,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING029,ING029,Onion,,Produce,Raw Material,Month-end physical stock take,43.672,kg,42.0,1834.22,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING030,ING030,Capsicum,,Produce,Raw Material,Month-end physical stock take,69.512,kg,84.33,5861.95,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING031,ING031,Tomato,,Produce,Raw Material,Month-end physical stock take,42.0315,kg,54.0,2269.7,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING032,ING032,Pesto Sauce,,Syrups & Sauces,Raw Material,Month-end physical stock take,16.994,kg,340.0,5777.96,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING033,ING033,Chipotle Sauce,,Syrups & Sauces,Raw Material,Month-end physical stock take,67.3151,kg,278.71,18761.39,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING034,ING034,Salsa,,Syrups & Sauces,Raw Material,Month-end physical stock take,40.5281,kg,192.56,7804.09,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING035,ING035,Aioli,,Syrups & Sauces,Raw Material,Month-end physical stock take,17.5013,kg,310.0,5425.4,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING036,ING036,Cold Cup,,Packaging,Consumable,Month-end physical stock take,5242.3,pcs,3.33,17456.86,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING037,ING037,Hot Cup,,Packaging,Consumable,Month-end physical stock take,5537.32,pcs,2.8,15504.5,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING038,ING038,Lid,,Packaging,Consumable,Month-end physical stock take,2409.136,pcs,1.12,2698.23,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING039,ING039,Straw,,Packaging,Consumable,Month-end physical stock take,596.816,pcs,0.55,328.25,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING040,ING040,Napkin,,Packaging,Consumable,Month-end physical stock take,853.676,pcs,0.32,273.18,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING041,ING041,Dessert Box,,Packaging,Consumable,Month-end physical stock take,567.591,pcs,5.07,2877.69,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING042,ING042,Sandwich Box,,Packaging,Consumable,Month-end physical stock take,849.98,pcs,6.85,5822.36,
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ABNAH Cafe Hauz Khas,Main Store,inventory.lead,2026-01-31,PHY-OUT002-01-ING043,ING043,Wrap Packaging,,Packaging,Consumable,Month-end physical stock take,1216.816,pcs,5.94,7227.89,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-31,PHY-OUT003-01-ING001,ING001,Coffee Beans,,Coffee Inputs,Raw Material,Month-end physical stock take,1.3676,kg,980.0,1340.25,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-31,PHY-OUT003-01-ING002,ING002,Milk,,Dairy,Raw Material,Month-end physical stock take,52.5999,litre,72.86,3832.43,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-31,PHY-OUT003-01-ING003,ING003,Oat Milk,,Dairy Alternative,Raw Material,Month-end physical stock take,7.629,litre,185.0,1411.37,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-31,PHY-OUT003-01-ING004,ING004,Cream,,Dairy,Raw Material,Month-end physical stock take,84.6619,litre,210.37,17810.32,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-31,PHY-OUT003-01-ING005,ING005,Paneer,,Dairy,Raw Material,Month-end physical stock take,58.214,kg,360.28,20973.34,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-31,PHY-OUT003-01-ING006,ING006,Cheese,,Dairy,Raw Material,Month-end physical stock take,87.4409,kg,485.59,42460.43,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-31,PHY-OUT003-01-ING007,ING007,Chicken,,Protein,Raw Material,Month-end physical stock take,22.6677,kg,335.94,7614.99,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-31,PHY-OUT003-01-ING008,ING008,Egg,,Protein,Raw Material,Month-end physical stock take,262.512,pcs,7.09,1861.21,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-31,PHY-OUT003-01-ING009,ING009,Bread,,Bakery,Raw Material,Month-end physical stock take,93.26,pcs,12.0,1119.12,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-31,PHY-OUT003-01-ING010,ING010,Bagel,,Bakery,Raw Material,Month-end physical stock take,108.87,pcs,28.0,3048.36,
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ABNAH Cafe Saket Premium,Main Store,inventory.lead,2026-01-31,PHY-OUT003-01-ING011,ING011,Tortilla,,Bakery,Raw Material,Month-end physical stock take,524.893,pcs,14.44,7579.45,
