source_period_code,source_outlet_code,source_outlet_name,source_period_start,source_period_end,item_code,item_name,company_name,deployment_name,transaction_date,invoice_date,po_date,po_number,transaction_number,vendor_code,vendor_name,invoice_number,batch_number,category_code,category_name,super_category_code,super_category_name,po_qty,po_unit,po_unit_price,po_amount,po_comment,purchase_qty,purchase_unit,purchase_unit_price,purchase_amount,discount_amt,cgst_tax_amt,sgst_tax_amt,igst_tax_amt,other_tax_amt,total_amt
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING001,Coffee Beans,,ABNAH Cafe Connaught Place,2026-01-05,2026-01-05,2026-01-04,PO-20260104-OUT001-0004,GRN-OUT001-260105-00022,VEND001,BeanCraft Roasters Delhi,INV-2601-00022,,CAT-COF,Coffee Inputs,SUP-RAW,Raw Material,8.03,kg,956.95,7607.47,,8.03,kg,956.95,7684.31,76.84,190.19,190.18,0,0,7987.84
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING002,Milk,,ABNAH Cafe Connaught Place,2026-01-06,2026-01-06,2026-01-04,PO-20260104-OUT001-0004,GRN-OUT001-260106-00023,VEND002,FreshDairy Foods NCR,INV-2601-00023,,CAT-DAI,Dairy,SUP-RAW,Raw Material,152.82,litre,75.17,11487.48,,117.44,litre,75.17,8827.96,0.0,220.7,220.7,0,0,9269.36
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING008,Egg,,ABNAH Cafe Connaught Place,2026-01-08,2026-01-08,2026-01-04,PO-20260104-OUT001-0004,GRN-OUT001-260108-00024,VEND007,NorthStar Poultry,INV-2601-00024,,CAT-PRO,Protein,SUP-RAW,Raw Material,335.0,pcs,7.32,2452.2,,335.0,pcs,7.32,2452.2,0.0,61.3,61.31,0,0,2574.81
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING024,Hibiscus Concentrate,,ABNAH Cafe Connaught Place,2026-01-06,2026-01-06,2026-01-04,PO-20260104-OUT001-0004,GRN-OUT001-260106-00025,VEND012,SweetBase Foods,INV-2601-00025,,CAT-BEV,Beverage Inputs,SUP-RAW,Raw Material,17.71,litre,381.18,6750.7,,17.71,litre,381.18,6750.7,0.0,607.57,607.56,0,0,7965.83
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING036,Cold Cup,,ABNAH Cafe Connaught Place,2026-01-06,2026-01-06,2026-01-04,PO-20260104-OUT001-0004,GRN-OUT001-260106-00026,VEND004,PackPro Disposables,INV-2601-00026,,CAT-PAC,Packaging,SUP-CON,Consumable,1555.0,pcs,3.2,4976.0,,1555.0,pcs,3.2,4976.0,0.0,447.84,447.84,0,0,5871.68
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING005,Paneer,,ABNAH Cafe Hauz Khas,2026-01-07,2026-01-07,2026-01-04,PO-20260104-OUT002-0005,GRN-OUT002-260107-00027,VEND002,FreshDairy Foods NCR,INV-2601-00027,,CAT-DAI,Dairy,SUP-RAW,Raw Material,30.98,kg,371.83,11519.29,,30.98,kg,371.83,11519.29,0.0,287.98,287.98,0,0,12095.25
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING014,Cake Base,,ABNAH Cafe Hauz Khas,2026-01-06,2026-01-06,2026-01-04,PO-20260104-OUT002-0005,GRN-OUT002-260106-00028,VEND003,Delhi Bakery Supply Co,INV-2601-00028,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,215.0,pcs,45.71,9729.37,,215.0,pcs,45.71,9827.65,0.0,884.49,884.49,0,0,11596.63
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING018,Vanilla Syrup,,ABNAH Cafe Hauz Khas,2026-01-07,2026-01-07,2026-01-04,PO-20260104-OUT002-0005,GRN-OUT002-260107-00029,VEND012,SweetBase Foods,INV-2601-00029,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,23.77,litre,254.12,6040.43,,23.77,litre,254.12,6040.43,0.0,543.64,543.64,0,0,7127.71
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING021,Matcha Powder,,ABNAH Cafe Hauz Khas,2026-01-07,2026-01-07,2026-01-04,PO-20260104-OUT002-0005,GRN-OUT002-260107-00030,VEND011,TeaLeaf Traders NCR,INV-2601-00030,,CAT-TEA,Tea Inputs,SUP-RAW,Raw Material,8.69,kg,2082.5,18096.92,,8.69,kg,2082.5,18096.92,0.0,1628.72,1628.73,0,0,21354.37
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING025,Mixed Berry Pulp,,ABNAH Cafe Hauz Khas,2026-01-06,2026-01-06,2026-01-04,PO-20260104-OUT002-0005,GRN-OUT002-260106-00031,VEND009,FrozenBerry Traders,INV-2601-00031,,CAT-FRU,Fruit Inputs,SUP-RAW,Raw Material,22.55,kg,408.33,9207.84,,22.55,kg,408.33,9207.84,0.0,828.71,828.7,0,0,10865.25
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING026,Banana,,ABNAH Cafe Hauz Khas,2026-01-08,2026-01-08,2026-01-04,PO-20260104-OUT002-0005,GRN-OUT002-260108-00032,VEND005,GreenLeaf Produce Delhi,INV-2601-00032,,CAT-PRO,Produce,SUP-RAW,Raw Material,68.08,kg,73.69,5016.82,,68.08,kg,73.69,5016.82,0.0,125.42,125.42,0,0,5267.66
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING034,Salsa,,ABNAH Cafe Hauz Khas,2026-01-09,2026-01-09,2026-01-04,PO-20260104-OUT002-0005,GRN-OUT002-260109-00033,VEND006,SpiceRoot Foods,INV-2601-00033,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,23.04,kg,192.56,4436.58,,23.04,kg,192.56,4436.58,0.0,399.29,399.29,0,0,5235.16
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING005,Paneer,,ABNAH Cafe Saket Premium,2026-01-07,2026-01-07,2026-01-04,PO-20260104-OUT003-0006,GRN-OUT003-260107-00034,VEND002,FreshDairy Foods NCR,INV-2601-00034,,CAT-DAI,Dairy,SUP-RAW,Raw Material,23.25,kg,377.98,8788.03,,10.75,kg,377.98,4063.29,0.0,101.58,101.58,0,0,4266.45
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING033,Chipotle Sauce,,ABNAH Cafe Saket Premium,2026-01-07,2026-01-07,2026-01-04,PO-20260104-OUT003-0006,GRN-OUT003-260107-00035,VEND006,SpiceRoot Foods,INV-2601-00035,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,21.02,kg,290.76,6111.78,,21.02,kg,290.76,6111.78,0.0,550.06,550.06,0,0,7211.9
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING038,Lid,,ABNAH Cafe Saket Premium,2026-01-07,2026-01-07,2026-01-04,PO-20260104-OUT003-0006,GRN-OUT003-260107-00036,VEND004,PackPro Disposables,INV-2601-00036,,CAT-PAC,Packaging,SUP-CON,Consumable,1130.0,pcs,1.16,1310.8,,926.46,pcs,1.16,1074.69,0.0,96.72,96.72,0,0,1268.13
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING004,Cream,,ABNAH Cafe Connaught Place,2026-01-11,2026-01-11,2026-01-07,PO-20260107-OUT001-0007,GRN-OUT001-260111-00037,VEND002,FreshDairy Foods NCR,INV-2601-00037,,CAT-DAI,Dairy,SUP-RAW,Raw Material,21.44,litre,219.86,4690.23,,21.44,litre,219.86,4713.8,0.0,117.84,117.85,0,0,4949.49
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING010,Bagel,,ABNAH Cafe Connaught Place,2026-01-08,2026-01-08,2026-01-07,PO-20260107-OUT001-0007,GRN-OUT001-260108-00038,VEND003,Delhi Bakery Supply Co,INV-2601-00038,,CAT-BAK,Bakery,SUP-RAW,Raw Material,100.0,pcs,29.55,2955.0,,100.0,pcs,29.55,2955.0,0.0,73.88,73.87,0,0,3102.75
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING019,Sugar Syrup,,ABNAH Cafe Connaught Place,2026-01-10,2026-01-10,2026-01-07,PO-20260107-OUT001-0007,GRN-OUT001-260110-00039,VEND012,SweetBase Foods,INV-2601-00039,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,56.62,litre,89.51,5068.06,,35.63,litre,89.51,3189.24,0.0,287.03,287.03,0,0,3763.3
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING027,Butter,,ABNAH Cafe Connaught Place,2026-01-10,2026-01-10,2026-01-07,PO-20260107-OUT001-0007,GRN-OUT001-260110-00040,VEND002,FreshDairy Foods NCR,INV-2601-00040,,CAT-DAI,Dairy,SUP-RAW,Raw Material,26.76,kg,537.38,14380.29,,26.76,kg,537.38,14380.29,0.0,862.82,862.81,0,0,16105.92
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING029,Onion,,ABNAH Cafe Connaught Place,2026-01-10,2026-01-10,2026-01-07,PO-20260107-OUT001-0007,GRN-OUT001-260110-00041,VEND005,GreenLeaf Produce Delhi,INV-2601-00041,,CAT-PRO,Produce,SUP-RAW,Raw Material,53.03,kg,41.81,2217.18,,53.03,kg,41.81,2217.18,0.0,55.43,55.43,0,0,2328.04
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING039,Straw,,ABNAH Cafe Connaught Place,2026-01-08,2026-01-08,2026-01-07,PO-20260107-OUT001-0007,GRN-OUT001-260108-00042,VEND004,PackPro Disposables,INV-2601-00042,,CAT-PAC,Packaging,SUP-CON,Consumable,1165.0,pcs,0.55,640.75,,1165.0,pcs,0.55,640.75,0.0,57.66,57.67,0,0,756.08
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING004,Cream,,ABNAH Cafe Hauz Khas,2026-01-11,2026-01-11,2026-01-07,PO-20260107-OUT002-0008,GRN-OUT002-260111-00043,VEND002,FreshDairy Foods NCR,INV-2601-00043,,CAT-DAI,Dairy,SUP-RAW,Raw Material,30.04,litre,221.53,6654.76,,19.05,litre,221.53,4220.15,0.0,105.5,105.51,0,0,4431.16
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING007,Chicken,,ABNAH Cafe Hauz Khas,2026-01-12,2026-01-12,2026-01-07,PO-20260107-OUT002-0008,GRN-OUT002-260112-00044,VEND007,NorthStar Poultry,INV-2601-00044,,CAT-PRO,Protein,SUP-RAW,Raw Material,38.57,kg,327.72,12640.16,,38.57,kg,327.72,12640.16,0.0,316.0,316.01,0,0,13272.17
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING016,Chocolate Sauce,,ABNAH Cafe Hauz Khas,2026-01-07,2026-01-07,2026-01-07,PO-20260107-OUT002-0008,GRN-OUT002-260107-00045,VEND008,ChocoCraft Ingredients,INV-2601-00045,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,42.48,litre,266.55,11323.04,,42.48,litre,266.55,11323.04,0.0,1019.08,1019.07,0,0,13361.19
month_01,OUT002,ABNAH Cafe Hauz Khas,2026-01-01,2026-01-31,ING022,Ice,,ABNAH Cafe Hauz Khas,2026-01-10,2026-01-10,2026-01-07,PO-20260107-OUT002-0008,GRN-OUT002-260110-00046,VEND010,Metro Wholesale Delhi,INV-2601-00046,,CAT-BEV,Beverage Inputs,SUP-RAW,Raw Material,295.67,kg,12.57,3716.57,,295.67,kg,12.57,3716.57,0.0,92.92,92.91,0,0,3902.4
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING002,Milk,,ABNAH Cafe Saket Premium,2026-01-08,2026-01-08,2026-01-07,PO-20260107-OUT003-0009,GRN-OUT003-260108-00047,VEND002,FreshDairy Foods NCR,INV-2601-00047,,CAT-DAI,Dairy,SUP-RAW,Raw Material,102.59,litre,72.86,7474.71,,102.59,litre,72.86,7474.71,0.0,186.87,186.87,0,0,7848.45
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING006,Cheese,,ABNAH Cafe Saket Premium,2026-01-12,2026-01-12,2026-01-07,PO-20260107-OUT003-0009,GRN-OUT003-260112-00048,VEND002,FreshDairy Foods NCR,INV-2601-00048,,CAT-DAI,Dairy,SUP-RAW,Raw Material,31.11,kg,483.83,15051.95,,17.12,kg,483.83,8283.17,0.0,207.08,207.08,0,0,8697.33
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING026,Banana,,ABNAH Cafe Saket Premium,2026-01-12,2026-01-12,2026-01-07,PO-20260107-OUT003-0009,GRN-OUT003-260112-00049,VEND005,GreenLeaf Produce Delhi,INV-2601-00049,,CAT-PRO,Produce,SUP-RAW,Raw Material,61.24,kg,71.81,4397.64,,61.24,kg,71.81,4397.64,0.0,109.94,109.94,0,0,4617.52
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING027,Butter,,ABNAH Cafe Saket Premium,2026-01-10,2026-01-10,2026-01-07,PO-20260107-OUT003-0009,GRN-OUT003-260110-00050,VEND002,FreshDairy Foods NCR,INV-2601-00050,,CAT-DAI,Dairy,SUP-RAW,Raw Material,28.36,kg,531.94,15085.82,,28.36,kg,531.94,15085.82,0.0,905.15,905.15,0,0,16896.12
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING032,Pesto Sauce,,ABNAH Cafe Saket Premium,2026-01-10,2026-01-10,2026-01-07,PO-20260107-OUT003-0009,GRN-OUT003-260110-00051,VEND006,SpiceRoot Foods,INV-2601-00051,,CAT-SYR,Syrups & Sauces,SUP-RAW,Raw Material,19.86,kg,338.5,6722.61,,19.86,kg,338.5,6722.61,0.0,605.03,605.04,0,0,7932.68
month_01,OUT003,ABNAH Cafe Saket Premium,2026-01-01,2026-01-31,ING042,Sandwich Box,,ABNAH Cafe Saket Premium,2026-01-07,2026-01-07,2026-01-07,PO-20260107-OUT003-0009,GRN-OUT003-260107-00052,VEND004,PackPro Disposables,INV-2601-00052,,CAT-PAC,Packaging,SUP-CON,Consumable,350.0,pcs,6.84,2394.0,,350.0,pcs,6.84,2394.0,0.0,215.46,215.46,0,0,2824.92
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING004,Cream,,ABNAH Cafe Connaught Place,2026-01-15,2026-01-15,2026-01-10,PO-20260110-OUT001-0010,GRN-OUT001-260115-00053,VEND002,FreshDairy Foods NCR,INV-2601-00053,,CAT-DAI,Dairy,SUP-RAW,Raw Material,21.42,litre,214.42,4592.88,,21.42,litre,214.42,4592.88,0.0,114.82,114.82,0,0,4822.52
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING013,Brownie Base,,ABNAH Cafe Connaught Place,2026-01-12,2026-01-12,2026-01-10,PO-20260110-OUT001-0010,GRN-OUT001-260112-00054,VEND008,ChocoCraft Ingredients,INV-2601-00054,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,250.0,pcs,33.68,8420.0,,250.0,pcs,33.68,8420.0,0.0,757.8,757.8,0,0,9935.6
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING014,Cake Base,,ABNAH Cafe Connaught Place,2026-01-12,2026-01-12,2026-01-10,PO-20260110-OUT001-0010,GRN-OUT001-260112-00055,VEND003,Delhi Bakery Supply Co,INV-2601-00055,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,115.0,pcs,46.41,5337.15,,115.0,pcs,46.41,5337.15,0.0,480.35,480.34,0,0,6297.84
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING015,Cheesecake Base,,ABNAH Cafe Connaught Place,2026-01-14,2026-01-14,2026-01-10,PO-20260110-OUT001-0010,GRN-OUT001-260114-00056,VEND003,Delhi Bakery Supply Co,INV-2601-00056,,CAT-DES,Dessert Inputs,SUP-RAW,Raw Material,105.0,pcs,69.42,7289.1,,105.0,pcs,69.42,7289.1,0.0,656.02,656.02,0,0,8601.14
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING031,Tomato,,ABNAH Cafe Connaught Place,2026-01-12,2026-01-12,2026-01-10,PO-20260110-OUT001-0010,GRN-OUT001-260112-00057,VEND005,GreenLeaf Produce Delhi,INV-2601-00057,,CAT-PRO,Produce,SUP-RAW,Raw Material,62.15,kg,55.22,3397.6,,62.15,kg,55.22,3431.92,0.0,85.8,85.8,0,0,3603.52
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING037,Hot Cup,,ABNAH Cafe Connaught Place,2026-01-10,2026-01-10,2026-01-10,PO-20260110-OUT001-0010,GRN-OUT001-260110-00058,VEND004,PackPro Disposables,INV-2601-00058,,CAT-PAC,Packaging,SUP-CON,Consumable,880.0,pcs,2.96,2604.8,,880.0,pcs,2.96,2604.8,0.0,234.43,234.43,0,0,3073.66
month_01,OUT001,ABNAH Cafe Connaught Place,2026-01-01,2026-01-31,ING042,Sandwich Box,,ABNAH Cafe Connaught Place,2026-01-12,2026-01-12,2026-01-10,PO-20260110-OUT001-0010,GRN-OUT001-260112-00059,VEND004,PackPro Disposables,INV-2601-00059,,CAT-PAC,Packaging,SUP-CON,Consumable,445.0,pcs,6.73,2994.85,,445.0,pcs,6.73,2994.85,0.0,269.54,269.53,0,0,3533.92
